TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3
0.0;0.0;0.0;0.0;0.0;2.36311573974733;0.0;-0.889925538947874;0.0;0.264724060312255;0.0;-0.790409625248404;0.0;0.933965138072771;0.0;0.556830533071557;0.0;2.8053507963149
5.0;0.0;5.0;0.0;5.0;-0.865240434762232;5.0;-1.33598953735093;5.0;-1.53870368434554;5.0;-1.85644566234451;5.0;0.0382863167865955;5.0;-7.99735724920029;5.0;-1.69528970590606
10.0;0.0;10.0;0;10.0;-1.33013543232526;10.0;-0.353472536980828;10.0;-1.39417731475054;10.0;-2.02026557708243;10.0;172.80692638597;10.0;242.969560671581;10.0;96.8947612893391
15.0;0.0;15.0;0.0;15.0;-0.377259502409878;15.0;1.75092986801747;15.0;1.72814045752751;15.0;-0.122986997416273;15.0;505.272623804211;15.0;529.380661713551;15.0;474.765077978242
20.0;0.0;20.0;0.0;20.0;0.381548492555576;20.0;1.36826551606702;20.0;19.3995164173796;20.0;-5.65082993982148;20.0;655.027809119036;20.0;669.294619681561;20.0;656.857171875577
25.0;0.0;25.0;0.0;25.0;0.984478738150944;25.0;249.845567368541;25.0;236.91330196584;25.0;214.592154338693;25.0;741.353818970277;25.0;701.122209127755;25.0;707.001503417253
30.0;0.0;30.0;0.0;30.0;1.40924669822701;30.0;431.841034051837;30.0;423.071686274719;30.0;418.854540007646;30.0;750.496123781144;30.0;758.019940558246;30.0;753.602232858058
35.0;0.0;35.0;0.0;35.0;1.48732009902771;35.0;477.292967391712;35.0;480.805601748887;35.0;475.034179816758;35.0;787.601707540857;35.0;748.295514994428;35.0;749.314477947655
40.0;0.0;40.0;0.0;40.0;1.22735309596942;40.0;495.064893614867;40.0;503.2359760227;40.0;502.4548551656;40.0;788.507642230611;40.0;781.040413321976;40.0;839.47141679484
45.0;0.0;45.0;0.0;45.0;-0.0724288329393747;45.0;514.666089110815;45.0;526.59501050125;45.0;531.978893716769;45.0;760.304360075959;45.0;767.315186927002;45.0;802.683865962544
50.0;0.0;50.0;0.0;50.0;-1.20045077526469;50.0;531.952062855254;50.0;529.702906654809;50.0;498.519250685944;50.0;804.17164292305;50.0;779.07331298134;50.0;800.296979391035
55.0;0.0;55.0;0.0;55.0;-0.0087395875586051;55.0;521.085020769657;55.0;523.173529620218;55.0;533.570175644347;55.0;785.97974327431;55.0;743.106779460788;55.0;758.500524748666
60.0;0.0;60.0;0.0;60.0;-1.84278784954204;60.0;524.39474237473;60.0;531.966204013249;60.0;512.842666767635;60.0;785.394197338086;60.0;753.271327366609;60.0;823.47646622035
65.0;0.0;65.0;0.0;65.0;-2.52861690625197;65.0;532.13560826035;65.0;538.269527820651;65.0;537.875979533403;65.0;814.811203869853;65.0;815.14918233433;65.0;799.934209495124
70.0;0.0;70.0;0.0;70.0;-1.44484054069869;70.0;537.81567346705;70.0;551.887344078793;70.0;539.008534482734;70.0;779.554962057666;70.0;772.225536780847;70.0;798.9278460444
75.0;0.0;75.0;0.0;75.0;-0.689973011234857;75.0;528.294864251736;75.0;543.117599505982;75.0;549.38882298789;75.0;804.117275010141;75.0;810.296076230547;75.0;842.732618714046
80.0;0.0;80.0;0.0;80.0;2.89804907235969;80.0;528.704437778805;80.0;542.920494476849;80.0;542.854183579372;80.0;829.134127363098;80.0;767.316827233085;80.0;795.148776856201
85.0;4.61623516142104;85.0;0.432682891326469;85.0;4.57406253098294;85.0;535.640918442656;85.0;551.68772512049;85.0;557.924960080171;85.0;792.402233209899;85.0;827.259816940163;85.0;887.103534231364
