TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3
0.0;10.2103736234708;0.0;15.7988958779721;0.0;11.2185787642086;0.0;8.11249030809366;0.0;5.5125289180364;0.0;4.05796087436695;0.0;5.09416698898281;0.0;13.2585495259934;0.0;3.8587864042419
5.0;6.84536237428402;5.0;13.3997181371253;5.0;8.11007224884728;5.0;4.74102173836225;5.0;8.99444837288159;5.0;2.99146053819311;5.0;15.6824687031483;5.0;11.1754640597984;5.0;24.876807386124
10.0;2.95449945989962;10.0;9.80514568834415;10.0;5.42713508334205;10.0;2.93500726222;10.0;13.3650579840043;10.0;1.31290257088767;10.0;280.639285533719;10.0;159.899824137144;10.0;299.643758807656
15.0;-0.801482264692829;15.0;5.80702088103408;15.0;3.54893424063534;15.0;3.28513232750256;15.0;16.4621704474343;15.0;-3.37144146025901;15.0;510.03873587293;15.0;431.483171976547;15.0;548.181914336096
20.0;-3.38875181604705;20.0;5.48340244501794;20.0;3.91332017191453;20.0;72.8701645003847;20.0;205.497163289556;20.0;175.153143956029;20.0;635.563428007416;20.0;603.573061752916;20.0;630.015566530212
25.0;-3.30641609468027;25.0;3.35486064932856;25.0;6.74601408067704;25.0;261.845346695706;25.0;327.801725281355;25.0;325.554207220093;25.0;680.040879815681;25.0;676.727974457108;25.0;725.330080823372
30.0;-1.75000322934847;30.0;1.44932373243321;30.0;6.61432671876715;30.0;352.65634955424;30.0;403.15605937399;30.0;408.164104963722;30.0;728.952767816343;30.0;715.232654127255;30.0;739.953782830289
35.0;0.332720705827498;35.0;0.338005373535192;35.0;6.34973197190247;35.0;411.124190965937;35.0;444.504674388555;35.0;449.775827143747;35.0;717.28453511812;35.0;761.41914024595;35.0;734.000392906113
40.0;-2.57357712953935;40.0;1.45096076935328;40.0;4.01245454535651;40.0;437.660229507645;40.0;479.605043063448;40.0;476.525436600227;40.0;763.058594808007;40.0;793.202160158108;40.0;732.930099992453
45.0;-3.59617828112336;45.0;2.78524238207007;45.0;3.57947759690445;45.0;474.996589448554;45.0;487.95904663343;45.0;469.821043437188;45.0;770.713795901948;45.0;783.916006445269;45.0;743.802417444373
50.0;-4.62858377761741;50.0;4.12803897459859;50.0;7.51006228459041;50.0;492.358913797663;50.0;494.852035005641;50.0;490.03254244095;50.0;779.157828452576;50.0;802.82833696462;50.0;737.332314782638
