TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3;TIME_75_4;HRR_75_4
0.0;-0.0104733939975697;0.0;0.74601450963169;0.0;2.10126449928707;0.0;3.19211268438374;0.0;3.6575666623884;0.0;-0.203958660409336;0.0;1.21706453145025;0.0;0.239110183683356;0.0;-0.280680697086526;0.0;0.531926157817646
5.0;-0.162383164446601;5.0;-0.235387316921482;5.0;1.3586611897116;5.0;0.800765670531532;5.0;0.663099906504957;5.0;0.0019655373273234;5.0;-3.50045942758101;5.0;-6.36120621151486;5.0;3.23011315302873;5.0;1.29565474792652
10.0;0.98324966236146;10.0;-0.231827542229133;10.0;0.0443299358836904;10.0;0.867623211674397;10.0;0.534902076965881;10.0;1.22594440399514;10.0;192.065330679346;10.0;203.102731785145;10.0;281.81433191452;10.0;173.867135734298
15.0;1.80257182219027;15.0;1.72627971536124;15.0;-0.174771977753428;15.0;0.648319754709881;15.0;1.03787013664028;15.0;-1.59219836229428;15.0;534.641740459409;15.0;563.829819261562;15.0;535.578175278711;15.0;551.233665920874
20.0;1.61495132578696;20.0;4.09309607011672;20.0;0.821264141991273;20.0;33.1903301888295;20.0;3.31117148361711;20.0;99.2330331313865;20.0;699.497939526161;20.0;702.532572917635;20.0;668.217620231801;20.0;680.78856648033
25.0;0.268084507296874;25.0;4.42961455241824;25.0;-0.0914030836914078;25.0;261.561987894274;25.0;198.891252259876;25.0;328.878340113462;25.0;793.623511488764;25.0;754.947238975712;25.0;680.014736602268;25.0;727.564558533432
30.0;-0.544635233467351;30.0;1.04474643867024;30.0;0.134854083950162;30.0;397.121229368173;30.0;371.955338873609;30.0;437.70444551158;30.0;818.942306452627;30.0;781.545937390213;30.0;728.645647595989;30.0;766.403044351324
35.0;-0.279007505027665;35.0;0.860049402184569;35.0;-0.802084260670558;35.0;452.43255670697;35.0;438.252547018755;35.0;492.310391061928;35.0;785.991701687983;35.0;807.666475344957;35.0;745.460616823667;35.0;763.465454615619
40.0;1.13123023616528;40.0;0.72960440382709;40.0;-0.576364975411227;40.0;478.3756569746;40.0;467.862142059781;40.0;493.361718958043;40.0;843.942148049115;40.0;809.591518120134;40.0;763.795736165941;40.0;772.826765703923
45.0;-1.11576019538811;45.0;0.742335052596288;45.0;-0.79162044158852;45.0;483.851899381124;45.0;495.243923390553;45.0;518.850367379566;45.0;811.28527778036;45.0;814.520367992286;45.0;781.589113751654;45.0;806.482608222893
50.0;-1.41822446308175;50.0;1.50860281020188;50.0;0.0995002520492375;50.0;480.881766329932;50.0;497.351168296121;50.0;519.01298959399;50.0;824.000526379581;50.0;816.293459709872;50.0;734.260673080402;50.0;813.273834215873
55.0;-1.4966427481296;55.0;2.11505082922886;55.0;-1.01281847102225;55.0;506.456345606739;55.0;516.835690969512;55.0;520.783323610002;55.0;809.968436008392;55.0;833.153373900211;55.0;747.467514784404;55.0;798.630784888292
60.0;-1.53898525562552;60.0;2.27712635165556;60.0;-1.13953241557504;60.0;507.278476926481;60.0;509.066265042659;60.0;512.393434241394;60.0;893.891121819591;60.0;827.145767290777;60.0;760.287915772426;60.0;806.722615449818
65.0;-1.38684757355121;65.0;0.88609759886731;65.0;-1.94587558195649;65.0;494.880708955624;65.0;508.212737748808;65.0;523.125805739958;65.0;823.894946926672;65.0;848.947442886193;65.0;785.784699051075;65.0;778.638733247388
70.0;-1.95945312057475;70.0;0.671736642422848;70.0;-1.63399486149425;70.0;512.740021580752;70.0;510.896275439952;70.0;548.054650066526;70.0;842.745618474707;70.0;812.383213254254;70.0;751.046478386083;70.0;810.962225702314
