Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Interliner;Foam;;F3;Mattresse upholstery;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 13:10:41
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;;;55.37;;;;23.74;;;;;82.76;;;;F3_2;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g)
0;7.918218636;29.2
5;4.583146699;29.442886
10;9.625317806;29.1831
15;17.99073883;29.594438
20;18.11654143;29.904113
25;19.04814281;29.405794
30;49.31939094;29.485069
35;100.0921589;29.315473
40;130.7046939;29.110035
45;151.721237;28.778314
50;155.5924356;28.431267
55;156.4534593;28.100345
60;144.7423355;27.540686
65;128.4571189;27.223048
70;107.4697977;26.823077
75;87.15259475;26.513442
80;58.66976813;26.199756
85;31.03178107;26.005884
90;7.562906103;25.817558
95;-0.456032855;25.805364
100;3.193783886;25.685895
105;10.67627276;25.794959
110;9.373400162;25.77489
115;6.627732092;25.702179
120;7.307254845;25.690089
125;5.291520785;25.684336
130;7.531011855;25.573573
135;5.389562122;25.488249
140;2.171268403;25.485916
145;7.108712036;25.482115
150;12.67169292;25.399675
155;7.191866222;25.302015
160;5.63880811;25.371313
165;12.31791644;25.368269
170;10.32952332;25.277685
175;4.70322329;25.281918
180;8.886394557;25.278016
185;10.30345643;25.2773
190;4.944391091;25.28163
195;2.378365026;25.10626
200;0.845188672;25.196782
205;0.648350899;25.267611
210;0.472819601;25.280611
215;2.718697073;25.272329
220;4.8504178;25.281717
225;5.314765046;25.188216
230;5.423779326;25.151067
235;5.386412872;25.164205
240;5.197597728;25.095435
245;4.178780633;25.079476
250;4.408504507;25.084137
255;5.234429295;25.05522
260;6.075361203;25.07927
265;5.373899967;25.058715
270;6.117446362;24.990615
275;5.930756421;24.972522
280;6.906255864;24.895425
285;9.236205802;24.820666
290;20.94855439;24.868632
295;14.09671717;24.882672
300;7.535862203;24.881424
305;6.136218765;24.88948
310;5.762913536;24.895128
315;6.680702176;24.773261
320;6.632984873;24.773527
325;6.2637709;24.780115
330;5.449356923;24.692436
335;5.414384028;24.682132
340;5.180542085;24.680287
345;4.806118499;24.679819
350;5.729448142;24.589892
355;4.654834336;24.592401
360;4.849640455;24.590181
365;5.147749631;24.539704
370;5.488968706;24.413576
375;5.345460506;24.390857
380;5.247999719;24.467379
385;5.214344388;24.467051
390;4.361670797;24.461734
395;4.394055144;24.377084
400;5.636751738;24.361871
405;3.926488595;24.367678
410;4.605178078;24.267843
415;4.352714005;24.356656
420;5.324162174;24.247697
425;5.245522222;24.25467
430;5.529445187;24.166953
435;6.112736749;24.262625
440;5.963959714;24.245167
445;5.865379604;24.077785
450;5.518420927;24.041311
455;5.553539337;24.041367
460;5.477079534;24.139634
465;5.766780846;24.042638
470;5.558571869;24.043481
475;6.13149472;24.026064
480;5.884256536;23.950894
485;5.610303129;23.947476
490;6.578779307;23.947394
495;6.212418032;23.949684
500;8.023820096;23.863525
505;8.335582813;23.843119
510;8.199238238;23.826684
515;7.212428942;23.752435
520;6.912917501;23.746812
525;6.857216115;23.661878
530;5.726363909;23.655479
535;6.982216913;23.637951
540;6.095445565;23.557471
545;5.190699899;23.55547
550;5.803328458;23.571733
555;6.466763408;23.646316
560;5.456525186;23.562247
565;6.593750907;23.463216
570;6.644389365;23.446061
575;5.890797556;23.447324
580;6.12168504;23.35599
585;6.637578283;23.357807
590;6.819957031;23.361199
595;6.681915757;23.247129
600;5.815959598;23.359092
605;4.951901843;23.359956
610;5.885855255;23.169176
615;6.103265696;23.227651
620;5.893976115;23.15896
625;5.722713329;23.168471
630;5.775844942;23.278818
635;6.649400432;23.203011
640;6.832555887;23.160387
645;7.094636155;23.061387
650;7.244067897;23.051071
655;6.777522533;22.992902
660;6.581658082;22.972013
665;6.56094598;22.860784
670;6.550197579;22.855184
675;7.854803481;22.841156
680;7.98290489;22.841344
685;13.63126756;22.846185
690;27.79208751;22.753848
695;18.2410968;22.750123
700;9.968911818;22.660554
705;7.768101269;22.634646
710;8.894604417;22.640084
715;7.962955262;22.619356
720;6.955003709;22.641982
725;7.431642287;22.552385
730;9.194843992;22.530973
735;10.20178303;22.440191
740;13.04243485;22.433831
745;15.4726164;22.428575
750;18.58889404;22.434118
755;20.80681569;22.342312
760;22.85887599;22.230345
765;27.81541394;22.239509
770;29.36601836;22.155138
775;34.17475007;22.147921
780;38.75550396;22.040169
785;43.96575659;21.943535
790;46.91517387;21.832183
795;55.32574839;21.740254
800;60.943602;21.64861
805;64.38469906;21.542201
810;64.66282942;21.540014
815;65.83098451;21.242573
820;68.2888485;21.210442
825;69.58754706;20.948991
830;70.1565438;20.935666
835;72.96999823;20.844783
840;74.78219575;20.743381
845;78.49872664;20.553093
850;80.15167551;20.425252
855;81.17799729;20.218922
860;79.80792051;20.039494
865;81.9449129;19.931238
870;81.37432368;19.748457
875;80.26677419;19.640044
880;82.13851754;19.454566
885;81.57104483;19.329561
890;80.94775853;19.239998
895;83.8930497;19.128686
900;80.82100693;18.924849
905;79.22535087;18.832511
910;78.63718723;18.650217
915;82.05934782;18.518594
920;83.29721651;18.431181
925;83.97649884;18.227385
930;82.2476081;18.026738
935;84.79465105;17.826606
940;85.86578514;17.715398
945;84.14104816;17.632075
950;82.98193222;17.427685
955;86.65672963;17.295856
960;86.73107641;17.108614
965;86.11750451;17.014068
970;84.58752427;16.816099
975;85.50027074;16.632561
980;88.28841141;16.556727
985;89.05896821;16.464259
990;90.41399062;16.316974
995;89.50338801;16.053599
1000;89.88362567;15.92694
1005;90.85973701;15.836953
1010;90.91910657;15.642642
1015;89.69537678;15.449396
