Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Wool carpet "Velcro";Glue;Plywood;;IN16-4;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:47:41
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;34;110.61;22.76;;;126.37;29.43;6.81;;1358.26;;41.63;0.0088;Distortion of the surface. End flame at 90s. 2nd ignition at 234s. End flame at 713s.
;2010-08-05;c_LSFIRE_IN16-4_25a;24;24;;;;;;;;;;12.46;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.531452985;126.37;0.034453471
3;7.845301167;126.2225641;0.0747741
5;6.59399114;126.1192316;0.2238123
7;6.013846904;126.2139743;0.323802786
9;5.699239026;126.2147004;0.483177973
11;5.219229707;126.3632554;0.553029974
13;4.690135101;126.0882122;0.655028784
15;3.539610377;125.8498319;0.657191766
17;2.573277977;126.0280404;0.73679723
19;2.526311969;126.0294095;0.839651038
21;2.717904837;125.9881238;1.075969474
23;2.494201964;126.0243585;1.281198792
25;2.521152687;125.9350854;1.54665571
27;2.691912233;125.8471001;1.7880281
29;2.47370753;125.8964868;1.9264765
31;0.459228584;125.7625104;1.733405426
33;-2.710537712;125.830455;1.477497683
35;11.97574214;125.8495527;1.34120032
37;47.96795296;125.7248794;1.209388073
39;80.72512745;125.5679946;1.107401803
41;103.0643765;125.3800043;1.163247549
43;110.5298315;125.2945424;1.298571951
45;110.6053118;125.1287045;1.211697011
47;110.1516831;124.9802708;1.070951957
49;109.2534363;124.8384785;0.808960405
51;107.4178449;124.8023171;0.719221088
53;100.4700345;124.7305311;0.540831129
55;91.13543399;124.6665737;0.450229648
57;81.00371763;124.5911233;0.396307469
59;71.04449065;124.5078262;0.505613586
61;61.20969816;124.4815429;0.5030513
63;53.18697463;124.1081107;0.575281986
