Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:23:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;127;105.64;5.76;;;1.80;1.63;30.05;;276.35;;14.53;0.0088;Distortion. Melting. End flame at 169s.
;2010-07-23;c_LSFIRE_IN8-3_35a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
257;2.757415729;0.5481626;0.011360793
259;2.834234545;0.5531052;0.012448841
261;2.842392149;0.51818712;0.041901908
263;2.873695222;0.5571597;0.063009587
265;2.818883405;0.51079589;0.086585033
267;2.876622543;0.55463782;0.114487572
269;2.833107519;0.53781101;0.113399524
271;2.870921278;0.54901835;0.083946457
273;2.889322951;0.56096614;0.062838778
275;2.902147507;0.52499631;0.039263332
277;2.912867236;0.53931239;4.4964E-16
279;2.989611818;0.50509758;4.4964E-16
281;2.911659209;0.51695091;4.4964E-16
283;2.895551948;0.50768305;0.080396018
285;2.95881388;0.48953971;0.123179841
287;2.976866321;0.52627083;0.202529467
289;2.999385833;0.51563437;0.234396299
291;2.971281008;0.51344497;0.234396299
293;2.940191467;0.52385866;0.154000281
295;2.988342902;0.51527325;0.111216458
297;3.026114253;0.51755711;0.031866832
299;3.02591959;0.50725908;4.71845E-16
301;3.024082208;0.51574408;4.71845E-16
303;3.042758813;0.48776758;4.71845E-16
305;3.070697883;0.47031635;0.009225681
307;3.063981007;0.49082835;0.020068514
309;3.036909383;0.47852688;0.050040747
311;3.058779774;0.46872051;0.050040747
313;3.095734893;0.48326903;0.050040747
315;3.053115716;0.48276733;0.040815066
317;3.117966729;0.49081831;0.029972232
319;3.092678433;0.51880485;4.66294E-16
321;3.082482594;0.49180088;4.66294E-16
323;3.069556442;0.4903843;0.028077551
325;3.084036454;0.47544937;0.047196952
327;3.103741615;0.49067476;0.126854341
329;3.158940432;0.47124128;0.190224356
331;3.120706021;0.48781444;0.249642011
333;3.118666597;0.47312906;0.22156446
335;3.111693433;0.47047441;0.202445059
337;3.086720282;0.49012918;0.12278767
339;3.124980474;0.50080803;0.059417654
341;3.180208455;0.51188855;4.88498E-16
343;3.122227984;0.4843773;4.88498E-16
345;3.080390546;0.45634874;4.88498E-16
347;3.124790896;0.45345719;0.033510321
349;3.16667058;0.4236989;0.061081925
351;3.122886351;0.45922468;0.084663754
353;3.169419504;0.45682366;0.110695471
355;3.09168045;0.44072579;0.127319493
357;3.137802012;0.46934233;0.093809172
359;3.12366875;0.45398455;0.066237568
361;3.220173697;0.46114333;0.051508206
363;3.190289517;0.48886582;0.030735286
365;3.181797631;0.43151744;0.055941972
367;3.197190159;0.4266269;0.071555593
369;3.209945127;0.4513894;0.111019684
371;3.223043255;0.46325798;0.102167217
373;3.176888436;0.4065861;0.09690842
375;3.086229023;0.40724139;0.055077712
377;3.162931789;0.44904194;0.039464091
379;3.223075758;0.43244237;4.996E-16
381;3.157116025;0.42704418;0.011147248
383;3.197691685;0.40815516;0.079027618
385;3.140429367;0.41255367;0.120319836
387;3.150974696;0.4178879;0.171778082
389;3.121990672;0.44941124;0.171778082
391;3.134343359;0.42869357;0.160630834
393;3.153097883;0.45313884;0.092750464
395;3.184941023;0.4519335;0.051458246
397;3.153537326;0.44475909;5.21805E-16
399;3.185296884;0.41306653;0.014637639
401;3.192648263;0.39496;0.014637639
403;3.185350172;0.39039227;0.022193088
405;3.229023736;0.39991377;0.068748883
407;3.202850142;0.41154395;0.08693977
409;3.172436135;0.39480194;0.072302131
411;3.227419954;0.41370658;0.072302131
413;3.107101891;0.40491551;0.064746682
415;3.172782364;0.39786829;0.018190887
417;3.181625596;0.42943366;5.32907E-16
419;3.180894;0.42467031;5.32907E-16
421;3.16594403;0.41554081;5.32907E-16
423;3.199457771;0.38548649;0.011112486
