Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyurethane, type PUR B3;;;;Polyurethane thermal insulation board;;;ISO 5660;SURSHIP-FIRE project, VTT Research Report No. VTT-S-11586-09;test date 9.10.2008; Owner SPU Systems Oy, Finland;;1;2009-04-06 13:39:45
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;2;180;16.3;89;;14.0;10.3;22.1;1632;1031;0.00884;48;36
VectorData
Time (s);HRR (kW/m2);SPR (m2/s)
171;14.78145427;-0.000708811
172;14.90764252;-0.003163043
173;14.35932445;0.000919552
174;14.24119432;0.002635893
175;13.95779033;0.002642686
176;13.37393662;-0.000386316
177;12.59901223;-0.003086179
178;11.62653603;-0.000287092
179;11.41318517;0.001381105
180;10.77952523;0.003069732
181;10.17686457;0.000428211
182;9.81645724;-0.00212668
183;9.126047371;-0.002050764
184;8.903723047;0.001037617
185;8.434924046;0.002603571
186;8.142651535;0.001267705
187;8.254952573;-0.001333245
188;7.856558933;-0.003171331
189;7.366527066;-0.000619568
190;7.042312961;0.000958862
191;7.052088238;0.002659434
192;7.296057982;-0.000567827
193;6.826931405;-0.002371289
194;6.485461552;-0.002718019
195;6.20270774;-0.00026604
196;5.498300972;0.00295578
197;5.458005914;0.000422701
198;5.110025821;-0.000903595
199;4.705941517;-0.002345046
200;4.476419775;0.000254061
201;4.22178432;0.002292315
202;3.582614595;0.001604292
203;3.709944329;-0.001266998
204;4.07910263;-0.002567559
205;4.042543784;-0.00038539
206;3.688375085;0.00183952
207;3.823836958;0.001168889
208;3.716747;-0.001969776
209;3.795633965;-0.00264841
210;4.136547466;-0.001225344
211;4.046919327;0.002337853
212;4.018515951;0.00142222
213;3.692736487;-0.000917993
214;3.615869244;-0.003333735
215;3.071252018;-0.000855256
216;3.172664205;0.002268933
217;2.844055866;0.002179399
218;2.628012113;0.001103169
219;2.613335126;-0.002495528
220;2.715943645;-0.001250499
221;2.853764267;0.000689328
222;2.876097109;0.00284677
223;2.817440655;0.001852867
224;2.595875913;-0.001507803
225;2.595537872;-0.002804173
226;2.4969637;-0.001068511
227;2.628123592;0.002309072
228;2.658569573;0.002367559
229;2.560328446;0.000758809
230;2.257126305;-0.002860184
231;2.297198665;-0.002570212
232;2.276654587;-0.000283372
233;2.372541582;0.002850297
234;2.614086976;0.001285025
235;2.379239362;-0.002130484
236;2.215708839;-0.002716271
237;1.921590913;-0.002454269
238;2.1804213;0.001966257
239;2.356957345;0.0020009
240;2.377190417;0.000894121
241;2.283581956;-0.002208648
242;2.198368586;-0.002531905
