Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:39:20
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;11;98.53;4.26;;;1.81;1.73;21.82;;366.84;;50.10;0.0088;Distortion. End flame at 48s.
;2010-07-28;c_LSFIRE_IN8-3_75a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.434496087;1.81;0.281149601
3;8.094670524;1.83151626;0.216755805
5;8.941718791;1.80914453;0.144538245
7;8.808349208;1.79701729;0.11867266
9;5.541112203;1.77558866;0.288456937
11;-0.597718759;1.73957684;1.348503587
13;3.499857534;1.75794766;3.340080335
15;15.86150655;1.67575316;5.746426163
17;32.12947217;1.67823566;8.087511557
19;50.53199814;1.68947114;10.20909226
21;65.27698796;1.68063754;11.56991184
23;78.31035171;1.61835115;11.55381243
25;89.54659404;1.56332932;11.01375454
27;96.95418253;1.48669189;10.26025784
29;98.53026129;1.38150517;9.363566927
31;96.92526949;1.33400446;8.07813276
33;87.73796337;1.27612577;7.253921908
35;79.74574754;1.18511227;6.299429606
37;70.84058814;1.02004547;5.640027116
39;65.02129395;1.1318251;4.654721224
41;60.05518697;1.02191936;3.491685077
43;53.22850557;0.94874083;2.332594831
45;41.65442966;0.94671414;1.420799191
47;32.80069813;0.92719954;0.446261015
49;27.09002409;0.88101814;0.025471235
51;21.97807572;0.89767172;0.044114191
53;18.95558041;0.92089865;0.108152954
55;16.3427874;0.91890169;0.166029757
57;14.81729677;0.84133474;0.254100522
59;14.04478997;0.90316146;0.325283968
