Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:41:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;12;69.81;3.66;;;1.81;1.71;18.81;;410.23;;39.63;0.0088;Distortion. End flame at 95s.
;2010-07-28;c_LSFIRE_IN8-3_75b;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
259;0.629283297;0.75647279;0.376097776
261;0.639698339;0.56754679;0.315032197
263;0.635245801;0.6887152;0.277064776
265;0.633368302;0.64962348;0.161911905
267;0.638988275;0.53988652;0.072301001
269;0.631223331;0.62448309;0.000827463
271;0.631305068;0.61418076;0.029100128
273;0.630222841;0.64024724;0.048423921
275;0.635788476;0.6227308;0.134060123
277;0.644718096;0.67073843;0.205392628
279;0.62525131;0.69984483;0.239599432
281;0.642795666;0.59282832;0.211326767
283;0.630803056;0.61852865;0.209848226
285;0.636384187;0.60400626;0.12945106
287;0.640239682;0.63845939;0.081668417
289;0.637367736;0.68527195;0.04663415
291;0.648606781;0.5875812;0.103522726
293;0.626898812;0.77393441;0.118761103
295;0.640767055;0.61218988;0.159892609
297;0.635677178;0.63618813;0.221899725
299;0.643102331;0.63022691;0.266683293
301;0.63597566;0.63119914;0.286469454
303;0.638366704;0.5897504;0.293063063
305;0.638116453;0.66118956;0.247984088
307;0.637690843;0.66350451;0.16242711
309;0.643232723;0.58754348;0.118429337
311;0.633665853;0.57639648;0.087385423
313;0.630304541;0.60122826;0.047708186
315;0.636901919;0.57261124;0.076593044
317;0.629007224;0.55281513;0.08450679
319;0.632211457;0.59537914;0.168302776
321;0.631552094;0.66594296;0.164768034
323;0.635540015;0.61725189;0.184776464
325;0.648903252;0.54238658;0.172443857
327;0.63508531;0.60043001;0.193582506
329;0.632352765;0.58762056;0.113417909
331;0.645311158;0.58035163;0.079838078
333;0.627392015;0.58238457;0.059829647
335;0.636952199;0.60189623;0.041985829
337;0.641968303;0.57067953;0.027031123
339;0.637781345;0.58148264;0.041293445
341;0.639591417;0.57875106;0.072907462
343;0.641050728;0.56243837;0.112955857
345;0.641174644;0.54467494;0.167930358
347;0.629477565;0.57298336;0.199097066
349;0.632823644;0.57909061;0.205720969
351;0.635287391;0.54946362;0.193335536
353;0.637096544;0.57929797;0.153287141
355;0.644269717;0.56688995;0.101930509
357;0.639221421;0.54573131;0.081540165
359;0.64034061;0.59554905;0.086819977
361;0.632104895;0.48472911;0.099899953
363;0.640927788;0.59594342;0.213129581
365;0.639637577;0.59504393;0.261707371
367;0.63417656;0.5775739;0.265343776
369;0.633548964;0.52660561;0.234760555
371;0.638118822;0.53767525;0.193935747
373;0.649434092;0.57219461;0.080706119
375;0.643385583;0.46775959;0.069011632
377;0.638115414;0.57612994;0.090903431
379;0.651455999;0.54452755;0.160492382
381;0.637877743;0.40103176;0.203122417
383;0.632434744;0.57849131;0.272940972
385;0.638604407;0.62984095;0.232439799
387;0.632756525;0.55495583;0.182037541
389;0.639527958;0.57991518;0.112448591
391;0.624856263;0.51239617;0.069818555
393;0.631129134;0.5680583;0.037397856
395;0.62953267;0.54800732;0.136290459
397;0.645693613;0.44400833;0.214710457
399;0.62672696;0.40360918;0.285359859
401;0.643185654;0.38320824;0.316296468
403;0.625932023;0.3939436;0.278898612
405;0.641915276;0.47371228;0.180006009
407;0.63838856;0.55162251;0.101586012
409;0.652643769;0.50910871;0.04751181
411;0.636569852;0.57283597;0.063599794
413;0.640411852;0.55201254;0.112042642
415;0.636653208;0.53534917;0.158946399
417;0.642196207;0.49018794;0.166083124
419;0.64559476;0.57355687;0.149507924
421;0.636347005;0.53171376;0.10248333
423;0.640561825;0.50533894;0.060371393
425;0.645173814;0.51890458;0.083280557
427;0.639071749;0.51784386;0.159743671
429;0.6424402;0.445135;0.221568977
431;0.633885158;0.46742004;0.22766035
433;0.643858809;0.49784283;0.221329439
435;0.630440057;0.53098852;0.151516518
437;0.633714182;0.5195131;0.070210039
439;0.634944517;0.49660651;0.01765621
441;0.645249808;0.49924554;0.085183656
443;0.637567132;0.50365505;0.129897351
445;0.632069244;0.51180094;0.145364965
447;0.636267733;0.49249448;0.143071604
449;0.636685853;0.49429997;0.133800127
451;0.64217418;0.5086416;0.060181309
453;0.63774718;0.49542664;0.033003276
455;0.63311522;0.46746645;0.075308241
457;0.652346757;0.48843971;0.088192245
459;0.62967696;0.48563105;0.136674069
461;0.632647162;0.49475189;0.136674069
463;0.633800344;0.51490301;0.134270055
465;0.634436962;0.49442347;0.076497477
467;0.638562427;0.49819351;0.063613474
469;0.643658774;0.48643364;0.04067255
471;0.632232611;0.48239435;0.084564059
473;0.628626939;0.46371623;0.124818531
475;0.642286233;0.49304302;0.15035451
477;0.638354072;0.47819655;0.157388766
479;0.63248433;0.50507648;0.131847865
481;0.636818721;0.49708231;0.087956356
483;0.634142256;0.46548671;0.032570235
485;0.632248408;0.47795227;0.088781048
487;0.641669082;0.45437065;0.133376909
489;0.63563419;0.47673739;0.187151331
491;0.627153031;0.45118036;0.240428828
493;0.640368473;0.47872826;0.240428828
495;0.625335316;0.47091486;0.171479841
497;0.63197229;0.45670542;0.129967899
499;0.626265309;0.46956101;0.175277089
501;0.632548129;0.46361499;0.176620341
503;0.641059796;0.45582574;0.234767326
505;0.637249697;0.44494528;0.297740051
507;0.641224832;0.45730281;0.301950099
509;0.633129199;0.47279065;0.202866487
511;0.638372739;0.46402049;0.148245738
513;0.630888551;0.46034327;0.09368387
515;0.646244462;0.46298665;0.074374415
517;0.635015484;0.41564943;0.124348283
519;0.641966048;0.44736418;0.131755922
521;0.63241401;0.4512797;0.146216603
523;0.63483389;0.45649181;0.142631485
525;0.640389363;0.45477887;0.098631745
527;0.638367783;0.45729006;0.034329654
529;0.631578241;0.43081563;0.026922016
531;0.64010007;0.43830061;0.043445325
533;0.639206799;0.45316255;0.091397827
535;0.621481967;0.4139278;0.087718119
537;0.641370517;0.43791492;0.133714237
539;0.638179547;0.46323608;0.133714237
541;0.645967226;0.4556542;0.113175405
543;0.63638214;0.43177945;0.065222903
545;0.645326467;0.41330597;0.125462172
547;0.636185035;0.42185602;0.079466054
549;0.64360983;0.40646236;0.13008602
551;0.639140936;0.42235163;0.164723686
553;0.636961503;0.45154651;0.164723686
555;0.631244232;0.44087097;0.09570279
557;0.63822225;0.3918561;0.09570279
559;0.623890083;0.4217298;0.117635234
561;0.633404472;0.41228489;0.148175259
563;0.644075642;0.41277453;0.200378006
565;0.640385441;0.40858352;0.219359725
567;0.630269826;0.40162346;0.237444452
569;0.642262993;0.43557147;0.184471492
571;0.626640487;0.42918656;0.12072262
573;0.631513741;0.40748779;0.123697848
575;0.635986292;0.41283207;0.147705872
577;0.634850015;0.40074379;0.202336996
579;0.635344964;0.4008054;0.182757546
581;0.630249063;0.40155045;0.170883569
