Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Wool; Interliner: Polyester Wadding/Kevlar;CMHR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:53:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;272;7;;;11.1;5.340;0.0306;4.1505;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 4.7; 0.000; 0.0004
5; 3.1; 0.043; 0.0004
10; 6.9; 0.042; 0.0010
15; 121.9; 0.010; 0.0033
20; 267.0; 0.095; 0.0016
25; 271.8; 0.173; 0.0125
30; 213.5; 0.136; 0.0306
35; 150.1; 0.097; 0.0221
40; 111.2; 0.066; 0.0083
45; 88.6; 0.054; 0.0045
50; 68.5; 0.048; 0.0031
55; 49.7; 0.039; 0.0026
60; 33.1; 0.030; 0.0011
65; 17.7; 0.026; 0.0039
70; 10.1; 0.025; 0.0086
75; 5.7; 0.021; 0.0074
80; 1.8; 0.021; 0.0079
85; 0.0; 0.021; 0.0109
90; 0.0; 0.019; 0.0106
95; 0.0; 0.020; 0.0090
100; 0.0; 0.019; 0.0086
105; 0.0; 0.018; 0.0085
110; 0.0; 0.020; 0.0077
115; 0.0; 0.020; 0.0074
120; 0.0; 0.020; 0.0083
125; 0.0; 0.020; 0.0068
130; 0.0; 0.018; 0.0080
135; 0.0; 0.019; 0.0077
140; 0.0; 0.021; 0.0071
145; 0.0; 0.026; 0.0066
150; 0.0; 0.022; 0.0068
155; 0.0; 0.014; 0.0067
160; 0.0; 0.021; 0.0063
165; 0.0; 0.024; 0.0054
170; 0.0; 0.021; 0.0061
175; 0.0; 0.021; 0.0061
180; 0.0; 0.018; 0.0058
185; 0.0; 0.014; 0.0063
190; 0.0; 0.017; 0.0058
195; 0.0; 0.015; 0.0057
200; 0.0; 0.016; 0.0051
205; 0.0; 0.015; 0.0050
210; 0.0; 0.014; 0.0058
215; 0.0; 0.015; 0.0050
220; 0.0; 0.013; 0.0054
225; 0.0; 0.013; 0.0058
230; 0.0; 0.015; 0.0061
235; 0.0; 0.015; 0.0065
240; 0.0; 0.015; 0.0074
245; 0.0; 0.015; 0.0071
250; 0.0; 0.014; 0.0071
255; 0.0; 0.014; 0.0085
260; 0.0; 0.015; 0.0096
265; 0.0; 0.014; 0.0091
270; 0.0; 0.016; 0.0099
275; 0.0; 0.018; 0.0116
280; 0.0; 0.014; 0.0117
285; 0.0; 0.016; 0.0119
290; 0.0; 0.018; 0.0114
295; 0.0; 0.015; 0.0120
300; 0.0; 0.016; 0.0125
305; 0.0; 0.016; 0.0128
310; 0.0; 0.017; 0.0106
315; 0.0; 0.015; 0.0114
320; 0.0; 0.014; 0.0110
325; 0.0; 0.020; 0.0104
330; 0.0; 0.013; 0.0097
335; 0.0; 0.008; 0.0089
340; 0.0; 0.015; 0.0098
345; 0.0; 0.016; 0.0093
350; 0.0; 0.012; 0.0091
355; 0.2; 0.016; 0.0093
360; 0.3; 0.011; 0.0084
365; 0.1; 0.007; 0.0078
370; 0.0; 0.012; 0.0073
375; 0.0; 0.012; 0.0070
380; 0.0; 0.012; 0.0061
385; 0.0; 0.009; 0.0070
390; 0.0; 0.013; 0.0069
395; 0.0; 0.011; 0.0058
400; 0.0; 0.010; 0.0053
405; 0.0; 0.011; 0.0054
410; 0.0; 0.009; 0.0053
415; 0.0; 0.010; 0.0058
420; 0.0; 0.011; 0.0056
425; 0.0; 0.010; 0.0056
430; 0.0; 0.007; 0.0054
435; 0.0; 0.018; 0.0054
440; 0.0; 0.010; 0.0051
445; 0.0; 0.002; 0.0054
450; 0.5; 0.014; 0.0055
455; 0.5; 0.010; 0.0049
460; 0.4; 0.008; 0.0056
465; 0.4; 0.011; 0.0038
470; 0.5; 0.013; 0.0047
475; 0.5; 0.010; 0.0044
480; 0.9; 0.009; 0.0047
485; 0.7; 0.012; 0.0041
490; 1.0; 0.011; 0.0044
495; 1.1; 0.008; 0.0041
500; 1.0; 0.012; 0.0046
505; 1.0; 0.011; 0.0045
510; 0.9; 0.006; 0.0050
515; 1.2; 0.011; 0.0035
520; 1.0; 0.012; 0.0045
525; 1.1; 0.010; 0.0042
530; 1.1; 0.010; 0.0041
535; 1.5; 0.014; 0.0047
540; 1.4; 0.009; 0.0042
545; 1.5; 0.006; 0.0041
550; 1.7; 0.009; 0.0039
555; 1.5; 0.008; 0.0042
560; 1.5; 0.011; 0.0036
565; 1.1; 0.009; 0.0041
570; 1.2; 0.009; 0.0039
575; 1.1; 0.009; 0.0039
580; 1.3; 0.008; 0.0038
585; 1.4; 0.011; 0.0039
590; 1.4; 0.012; 0.0025
595; 1.5; 0.009; 0.0036
600; 1.7; 0.008; 0.0031
605; 1.4; 0.011; 0.0032
610; 1.7; 0.010; 0.0029
615; 1.6; 0.009; 0.0032
620; 1.6; 0.008; 0.0029
625; 1.8; 0.013; 0.0029
