Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Linoleum floor covering 2.5 mm;Minerit board;;;Floor;;;ISO 5660;SP Report 2007:29 The Influence of floor materials on room fires;;;1;2007-06-28 14:15:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;27;400;53.6;189.3;130.1;31.8;14.17;9.7;710;187;0.0088;2.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);MLR (g/s);SPR (m2/s)
0;-1.360568701;0.131359845;0.795476;0.000104494
2;-1.186953956;0;-0.0795025;-1.11E-05
4;-2.026002541;0;-0.043456;-0.000206178
6;-1.083527244;0;-0.157914833;-0.000882405
8;-0.160453132;0;-0.02957575;0.000392657
10;-0.210654559;-2.085749091;0.140255292;-0.000292537
12;-0.046004314;0;-0.002324958;0.00011643
14;-0.512315195;49.3844075;0.027729917;0.001369426
16;-0.369039067;0;-0.008318042;0.001161207
18;0.268175261;71.84435451;0.032886875;0.002362736
20;2.108153228;93.77443454;0.032800292;0.003075829
22;13.08626766;0;-0.015388375;0.00561082
24;56.67456848;529.11846;0.024206417;0.012808062
26;123.9008329;181.4657932;0.062162;0.011280277
28;205.2783294;0;-0.135983833;0.004945552
30;257.6203004;488.6056356;0.030668708;0.014984904
32;320.7176896;89.71072241;0.235314333;0.021110219
34;341.1581957;319.1664455;0.086086208;0.027475829
36;357.2253632;127.6666892;0.273997958;0.034980412
38;362.6756282;205.0040837;0.213829167;0.043835852
40;369.7402858;353.9223603;0.135586875;0.047987227
42;346.4540282;257.5363262;0.186195417;0.047952084
44;347.2844049;301.9616773;0.169389042;0.051148999
46;353.3865387;273.8374093;0.229784667;0.062923638
48;347.8390705;399.1412927;0.16132425;0.06439117
50;340.8300289;413.544975;0.153938292;0.063660407
52;352.4706746;637.5026816;0.115588;0.07368766
54;344.6739942;379.5432478;0.184749917;0.070120583
56;358.1255499;317.5259723;0.202553292;0.064315931
58;352.0752868;434.7960205;0.151405667;0.065830581
60;368.1396159;329.6167629;0.208510542;0.06872857
62;371.8762129;556.6911941;0.144875125;0.080650706
64;373.9337558;684.4384777;0.097430833;0.066685411
66;382.525304;264.7279702;0.293246833;0.077630639
68;385.3607469;223.9888339;0.295482208;0.066184715
70;390.2048234;4110.238234;0.018709292;0.076899646
72;392.2165621;357.7696436;0.231756667;0.0829155
74;401.4290095;297.109336;0.275778042;0.081936231
76;386.7164639;1864.685388;0.041378042;0.07715703
78;360.4193692;787.6861239;0.092476042;0.072842095
80;362.7438512;269.3592086;0.291798;0.078598478
82;349.1353516;359.1115108;0.228692292;0.082126034
84;331.0313506;1694.690551;0.050392583;0.085399835
86;324.0025378;693.6105557;0.112886708;0.078299412
88;298.2172679;416.3214483;0.193512375;0.080563352
90;290.0833492;441.036558;0.17949475;0.079163747
92;274.1103281;895.7890533;0.088705375;0.079461304
94;242.8992561;314.3941299;0.233244417;0.073330675
96;228.9196554;505.9174961;0.134517542;0.068054778
98;215.1762707;1923.660255;0.03653025;0.07027179
100;190.1173571;393.116124;0.142995167;0.056213706
102;182.5247269;859.4610033;0.076445833;0.065702213
104;169.0882039;720.7139731;0.074080958;0.053391182
106;167.2519153;386.6245002;0.143440917;0.055457773
108;162.1994722;466.6442512;0.110175958;0.051412978
110;156.7366709;1720.290746;0.025812667;0.044405292
112;152.8937871;181.7032138;0.238303;0.043300421
114;143.2317879;298.6302273;0.142668958;0.042605263
116;144.3743363;0;-0.082088042;0.053384031
118;139.0508247;472.6292703;0.076648625;0.036226384
120;131.9225439;274.436713;0.13075525;0.035884041
122;132.1186328;298.9620499;0.101726708;0.030412425
124;123.5462534;447.4999424;0.061508875;0.027525218
126;118.2256622;434.9661453;0.073547458;0.031990654
128;114.1226107;169.2917812;0.14692925;0.024873914
130;109.7047286;191.146691;0.10656125;0.02036883
132;104.4699265;399.6745094;0.04280975;0.017109966
134;103.5507266;530.6021866;0.032292167;0.017134294
136;96.77542366;302.7570128;0.049945833;0.015121451
138;93.44876139;96.73917302;0.133203333;0.01288598
140;88.84822843;125.3695328;0.094911;0.011898948
142;82.40503385;3326.555159;0.003041333;0.010117163
144;81.41694088;143.4886321;0.057822917;0.008296931
146;76.51714339;51.58656551;0.114512375;0.0059073
148;77.15602757;108.7241598;0.052059167;0.005660089
150;74.92071496;111.1270812;0.047997625;0.005333836
152;71.50399663;59.00380537;0.059738625;0.003524806
154;69.35717927;75.90115593;0.047461875;0.003602411
156;70.26870707;44.91138712;0.061961083;0.002782758
158;72.19398945;43.5808544;0.050156542;0.002185865
160;69.15500177;28.18399732;0.07303725;0.002058482
162;66.56634617;27.477463;0.078203833;0.002148843
164;64.94761518;73.42403217;0.0288635;0.002119275
166;65.34714357;26.3949781;0.060601708;0.001599581
168;62.70531899;13.65269633;0.129072292;0.001762185
170;62.26620075;15.11180375;0.118984792;0.001798075
172;63.76238639;85.05575329;0.011132125;0.000946851
174;63.24195609;0;-0.006935583;0.000627878
176;61.75373583;34.14843413;0.03653575;0.001247639
178;61.37763019;35.66479563;0.02960975;0.001056026
180;60.71049514;67.64812187;0.013807125;0.000934026
182;60.29078168;3.884264687;0.040674792;0.000157992
184;61.46983067;7.618027932;0.074785625;0.000569719
186;60.14057133;9.258075609;0.083615375;0.000774117
188;56.84755173;5.285529168;0.049210542;0.000260104
190;57.21546476;6.944623963;0.050080833;0.000347793
192;56.09422111;-5.831162684;0.047573542;-0.000277409
194;55.03119988;-6.579408273;0.038502208;-0.000253322
196;52.6239665;-22.13848505;0.049687583;-0.001100008
198;51.73191654;15.66211902;0.058749333;0.000920139
200;51.87446044;-5.614306211;0.086203833;-0.000483975
202;50.8618512;-5.03030567;0.050586708;-0.000254467
204;49.17094511;-62.3988421;0.016985958;-0.001059904
206;49.5047278;18.34297056;0.022779542;0.000417844
208;50.13463506;-13.41296794;0.071396708;-0.000957642
210;47.79433878;-19.49475161;0.04949275;-0.000964849
212;47.54491039;-5.580654988;0.037085083;-0.000206959
214;46.58341509;-57.86338134;0.015683667;-0.00090751
216;46.79199409;-26.93413053;0.023381167;-0.000629751
218;47.16025833;4.327459341;0.062757833;0.000271582
220;47.33721739;-4.374232392;0.050428583;-0.000220586
222;46.49848586;-26.5804366;0.030543708;-0.000811865
224;46.35864185;-37.84266493;0.025740458;-0.000974088
226;46.330535;-10.1197414;0.062565708;-0.000633149
228;44.9229972;-16.65632675;0.041371375;-0.000689095
230;45.26836501;-2.693584242;0.02731275;-7.36E-05
232;43.86682085;-4.889765061;0.059091583;-0.000288944
234;44.00960554;6.551176049;0.053931583;0.000353315
236;44.55912222;-74.47488962;0.019128208;-0.001424571
238;43.20693435;18.07805429;0.029212375;0.000528103
240;44.91412561;-54.23766087;0.023928583;-0.00129783
242;43.17887065;0.355571711;0.052640458;1.87E-05
244;42.49195947;5.401181488;0.053639792;0.000289718
246;41.82834747;3.079960119;0.01559675;4.80E-05
248;41.66720063;-14.63350553;0.057429417;-0.000840394
250;39.94963609;-20.00062797;0.024008167;-0.000480178
252;39.93013248;21.62757378;0.015889292;0.000343647
254;40.52050538;-10.01224969;0.058082917;-0.000581541
256;39.54308697;-52.75928738;0.02544875;-0.001342658
258;39.86791692;-26.63197916;0.015214167;-0.000405183
260;38.11274034;-9.102310556;0.054176792;-0.000493134
262;39.07730792;-0.159836773;0.050923167;-8.14E-06
264;39.61735328;-14.70823319;0.052482667;-0.000771927
266;40.36850562;-3.366743281;0.050779125;-0.00017096
268;41.73232372;-13.67275664;0.052621833;-0.000719486
270;42.34996712;-48.16355534;0.025870708;-0.001246025
272;42.53207625;-63.60503703;0.01786925;-0.001136574
274;41.02719161;-13.25596366;0.054066;-0.000716697
276;41.57256846;6.286994027;0.053118458;0.000333955
278;40.63767478;-1.498715187;0.021178333;-3.17E-05
280;40.96884232;0;-0.003459125;-0.000975316
282;40.46105241;0;-0.001284583;4.85E-05
284;40.41179618;-14.72820546;0.023529;-0.00034654
286;39.62225785;-6.408623743;0.085998792;-0.000551134
288;38.33729218;-13.13471761;0.054255333;-0.000712628
290;37.57895465;0;-0.010274958;-0.000140524
292;37.73281435;-38.55720501;0.021401625;-0.000825187
294;36.71893336;-10.69174368;0.052662375;-0.000563053
296;36.49190003;-6.707030177;0.024053;-0.000161324
298;36.97242687;-17.79288385;0.025739417;-0.000457978
300;37.32152109;-14.23761627;0.056505958;-0.00080451
302;36.23218797;-3.435854214;0.023473792;-8.07E-05
304;35.857208;-2.77734272;0.0232745;-6.46E-05
306;36.18917629;-9.366568256;0.051197875;-0.000479548
308;35.7003228;-14.5081802;0.049494042;-0.000718068
310;35.88503284;-36.29203574;0.023464125;-0.000851561
312;36.54225088;4.40739054;0.025401917;0.000111956
314;37.64701807;-5.801231359;0.054496833;-0.000316149
316;37.50950978;-4.916732358;0.046737;-0.000229793
318;38.27719018;1.079165035;0.023335917;2.52E-05
320;37.99318823;-23.19297228;0.027820333;-0.000645236
322;38.34083416;-14.14563072;0.023608875;-0.000333962
324;39.29865739;-31.97649513;0.020783667;-0.000664589
326;38.11399993;-7.335423445;0.084247792;-0.000617993
328;39.16750467;-9.146367658;0.053456667;-0.000488934
330;40.37904441;0;-0.009826417;-0.000488222
332;38.21295875;0;-0.001469208;-0.000952223
334;39.95111136;-9.487104138;0.055286833;-0.000524512
336;40.16003734;-14.30428677;0.057613333;-0.000824118
338;38.69549123;3.976021261;0.045762;0.000181951
340;38.64887306;-33.90352197;0.01572125;-0.000533006
342;38.96091188;0;-0.00254325;-0.000952234
344;38.18563347;-2.992174593;0.058657375;-0.000175513
346;38.72817473;-12.78538851;0.054599708;-0.000698078
348;38.45759691;3.312800001;0.023547125;7.80E-05
350;38.14032857;-19.67497236;0.016653042;-0.000327648
352;39.00546788;-6.564227821;0.056175708;-0.00036875
354;38.61301518;-9.912929346;0.056498458;-0.000560065
356;38.91921267;-19.35208968;0.049290125;-0.000953867
358;39.02210024;2.039482617;0.054478042;0.000111107
360;37.61069397;-0.330511613;0.023801417;-7.87E-06
362;37.20454271;-26.78241973;0.016703042;-0.000447348
364;38.99380475;-25.94127089;0.049130542;-0.001274509
366;39.31750098;-5.237616743;0.0275275;-0.000144178
368;38.21622134;-40.43694276;0.020868583;-0.000843862
370;37.70202291;-47.11932708;0.021062792;-0.000992465
372;37.19714727;5.652187253;0.019817;0.000112009
374;36.98104425;-66.48642974;0.005719125;-0.000380244
376;38.11584659;-13.36352203;0.026110208;-0.000348924
378;36.41934362;-19.12939058;0.024945917;-0.0004772
380;36.85415546;-19.88112673;0.029503708;-0.000586567
382;36.80553839;-4.879937677;0.084195875;-0.000410871
384;37.30399519;-8.541550684;0.042094708;-0.000359554
386;37.94054479;-6.40126922;0.074757583;-0.000478543
388;38.61942961;-14.24090135;0.053065125;-0.000755695
390;39.13660596;-53.06391842;0.01755625;-0.000931603
392;38.41206137;-32.4121045;0.022992042;-0.00074522
394;38.98277799;-50.05105413;0.018104417;-0.000906145
396;38.58264019;-88.76502065;0.007524292;-0.000667894
398;38.42285481;-7.639381351;0.024982417;-0.00019085
400;38.35000238;-6.673697549;0.036773167;-0.000245413
402;37.81127852;-19.03549542;0.050995458;-0.000970724
404;38.84559292;-10.39427437;0.060742625;-0.000631376
