Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;X;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 13:07:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;;;44.55;;;;13.30;;;;;81.51;;;;EX11-2_3;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g)
0;7.644673834;68.5
5;5.938247421;68.812587
10;3.593014745;68.677221
15;1.285111012;68.698009
20;-1.174818662;68.887821
25;-1.214405214;68.795028
30;-1.129704438;68.700197
35;0.255333025;68.612247
40;67.09684457;68.591052
45;147.6922372;68.50984
50;178.9648075;68.302442
55;234.9031306;68.007733
60;232.8839389;67.694938
65;160.6463495;67.313998
70;83.40343399;66.890829
75;43.12865898;66.707338
80;17.20839513;66.671901
85;0.966416634;66.584043
90;-7.699497359;66.581706
95;3.406047254;66.582464
100;11.6390154;66.491809
105;10.71830049;66.544191
110;8.472219569;66.492971
115;7.436313805;66.49203
120;5.778881281;66.489598
125;0.364419109;66.489844
130;-0.800845169;66.378993
135;0.083383893;66.397921
140;0.346461636;66.37568
145;0.372619009;66.376076
150;0.224916304;66.375008
155;0.190623662;66.34741
160;0.260764694;66.358716
165;0.654299367;66.276143
170;1.60049678;66.27904
175;2.380162641;66.277105
180;0.977921471;66.270127
185;0.872583677;66.190338
190;1.055329506;66.171008
195;5.615485647;66.196515
200;3.719115737;66.177792
205;2.978247934;66.198926
210;5.738536753;66.174176
215;7.509185136;66.156251
220;12.34666631;66.180578
225;14.09024814;66.088724
230;18.31764826;66.067498
235;21.48228295;65.998832
240;25.69413432;65.97243
245;30.04147125;65.972568
250;34.69562111;65.88501
255;39.07164612;65.883799
260;45.40387538;65.69511
265;50.54146342;65.683372
270;58.2800524;65.680032
275;63.63799516;65.567674
280;73.24842428;65.483088
285;81.48188327;65.28326
290;88.92441699;65.280972
295;97.33396986;65.064439
300;106.2285484;64.990888
305;118.1650166;64.703704
310;135.6810606;64.612803
315;151.8199768;64.482536
320;169.7103837;64.272045
325;200.6969476;64.000096
330;223.3979615;63.70174
335;238.8380882;63.388384
340;244.0050083;62.991491
345;248.6254936;62.673684
350;252.8881797;62.236903
355;253.8792076;61.811007
360;246.3969693;61.488858
365;237.5415383;61.1775
370;215.7097865;60.804635
375;217.3907737;60.386465
380;206.1493134;60.104336
385;184.5627648;59.795076
390;166.3206028;59.597898
395;167.7856478;59.304593
400;160.1109174;59.07082
405;160.0508602;58.778445
410;153.8926305;58.574335
415;145.7458477;58.373833
420;132.65996;58.176172
425;127.2268119;58.088758
430;121.0274132;57.796627
435;110.7576517;57.685364
440;94.92983763;57.48535
445;85.68934243;57.375776
450;78.83870493;57.17008
455;71.52079164;57.079458
460;66.62322565;56.992038
465;61.3191912;56.950203
470;58.78151401;56.792292
475;57.81945842;56.752166
480;52.01841579;56.660494
485;51.33684022;56.589296
490;47.56232519;56.497719
495;44.65356961;56.480851
500;39.94563368;56.39027
505;37.60977978;56.283457
510;34.89614501;56.264826
515;31.04699582;56.264523
520;28.31904078;56.20723
525;25.01874897;56.081034
530;21.21256866;56.011879
535;17.96264156;55.991596
540;15.64778414;55.992025
545;14.50323878;55.992916
550;13.88996945;55.969665
555;10.67278268;55.90342
560;9.403307879;55.871417
565;8.637440133;55.970217
570;8.996886749;55.99137
575;6.225521716;55.861454
580;5.877480688;55.879466
585;8.186848711;55.85951
590;7.127311037;55.787921
595;7.018027638;55.791011
600;7.585014653;55.791318
605;6.695937052;55.796011
610;6.951807299;55.793054
615;8.415031883;55.795796
620;5.678606336;55.793504
625;6.157260492;55.679148
630;5.529577583;55.678432
635;6.73067003;55.679413
640;6.810209397;55.696438
645;5.619071228;55.794159
650;6.115578957;55.792542
