Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:34:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;35;40.83;4.07;;;1.82;1.61;22.45;;379.10;;20.73;0.0088;Distortion. Melting. End flame at 123s.;2010-07-27;c_LSFIRE_IN8-3_50b;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.770502724;1.82;0.035313379
3;7.287245289;1.64355399;0.037537648
5;6.908078062;1.73814991;0.112226815
7;6.268710077;1.72102601;0.132973663
9;5.482007093;1.69824372;0.222532743
11;4.200795664;1.6716678;0.259910999
13;3.009475643;1.73664819;0.373858581
15;2.273825389;1.70620931;0.398718594
17;1.649161525;1.74764145;0.435571754
19;1.605537096;1.68781366;0.409346579
21;1.618383295;1.72863751;0.407949929
23;1.616598333;1.70028739;0.352292288
25;1.647854047;1.69507366;0.308543336
27;1.617037739;1.66936061;0.392991332
29;1.602243279;1.65001748;0.479363747
31;1.644684568;1.63910324;0.593508273
33;1.376672813;1.62289066;1.296365687
35;0.481340145;1.63445606;2.238339113
37;8.175294337;1.64701142;3.35087558
39;18.14523909;1.55723824;4.055089518
41;26.89188871;1.56432269;5.037079788
43;33.32713848;1.50297491;5.067395531
45;38.02461896;1.49757072;4.868978751
47;39.23021586;1.43081912;4.485398226
49;40.82546685;1.39173331;4.277969123
51;40.21803981;1.34193937;3.958749365
53;39.79588421;1.2867103;3.879902419
55;39.67358537;1.28946551;3.85174424
57;38.16076602;1.11042158;3.695576334
59;37.60135669;1.27549937;3.580394649
61;35.98593685;1.18511156;3.268492092
63;35.48112548;1.13353411;3.010762764
65;33.47929169;1.14414831;2.755924186
67;32.58693497;0.98157153;2.712038575
69;31.73731581;1.06169589;2.657707965
71;31.51258208;0.98952817;2.730285382
73;32.02867303;1.01239507;2.876195956
75;31.43635332;0.97679091;2.935434985
77;31.19980321;0.95594308;2.771375265
79;30.76554373;0.9170481;2.723565939
81;29.8150958;0.90764453;2.518455992
83;28.63543294;0.85201292;2.338284741
85;27.90426429;0.89351811;1.920099375
87;26.82739918;0.86010858;1.637509004
89;24.69510032;0.85607603;1.475626457
91;23.725215;0.83973039;1.284764049
93;22.36458452;0.79167076;1.120582986
95;20.82543426;0.80143476;1.224175178
97;19.91482637;0.72651779;1.212840665
99;18.92753715;0.72086536;1.091238949
101;17.77711651;0.7447226;1.028630512
103;16.98064639;0.72867962;0.863087831
105;15.9606278;0.73312403;0.671317671
107;14.32303379;0.72606679;0.470384498
109;13.01710625;0.76145886;0.324699227
111;12.27648294;0.80041162;0.19494856
113;11.12822591;0.73435329;0.101821886
115;10.41091303;0.7012289;0.051698297
117;9.607901039;0.69504645;0.123484948
119;8.691761439;0.6683643;0.195774297
121;8.026751713;0.65213047;0.251058338
123;7.002350707;0.69108322;0.280686933
125;6.268250534;0.7054672;0.261574712
127;5.164651824;0.70824365;0.190052956
129;4.453144901;0.72793192;0.117763607
131;3.674142654;0.80154993;0.053489214
133;3.011033234;0.80560373;0.052001647
135;2.819161913;0.66587894;0.142094621
