Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seat, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:18:42
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;7;428.44;93.00;;;39.75;39.17;20.90;;1578;;283.17;0.0088;Melting of the surface. Shrinkage. End flame at 304s.;2010-11-08;c_LSFIRE_F1A-2-2_75a;28.0;2;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
257;246.8001616;8.1786449;3.747358135
259;231.4522942;7.89714415;3.60195883
261;228.4920526;7.72178667;3.496206584
263;213.0500439;7.62196066;3.298910149
265;198.3991807;7.5087381;3.11793599
267;184.0061146;7.46363305;2.802498204
269;170.8387456;7.47184462;2.509036738
271;156.6608266;7.2202292;2.085770499
273;139.484199;7.2202292;1.720845836
275;121.3128942;7.2202292;1.285380717
277;106.2687611;7.11151475;0.909963932
279;93.38540124;7.01194525;0.569106042
281;80.83672885;6.99111971;0.362745901
283;74.83273538;6.91382869;0.242002824
285;68.81107331;6.97413342;0.214192603
287;63.72810795;6.89747568;0.231069441
289;60.35223302;6.87949939;0.272464552
291;56.49712405;6.87949939;0.260015138
293;54.81822304;6.92675578;0.232978466
295;51.99566993;6.85170178;0.253279212
297;49.77935097;6.85170178;0.266248735
299;48.01921646;6.76283789;0.272415347
301;46.90017441;6.82847639;0.297789221
303;45.97424701;6.75245393;0.328178758
305;44.55735199;6.74411359;0.326113366
307;43.14638339;6.75159921;0.305883467
309;43.48051288;6.70320301;0.306286057
311;42.05721994;6.72190576;0.280996138
313;41.42647412;6.66355999;0.283395126
315;41.3813004;6.59415388;0.274222549
317;40.56760573;6.56711079;0.285651159
319;40.71141668;6.82655401;0.249123132
321;39.93125354;6.62380423;0.247442403
323;39.40451619;6.50452695;0.262112303
325;38.91664139;6.50452695;0.290568653
327;39.13109751;6.75021691;0.275338516
329;38.88265636;6.49788905;0.287057043
331;38.58662885;6.49788905;0.310623365
333;38.02989743;6.38948773;0.288081611
335;38.48522269;6.39542872;0.263814092
337;38.90168572;6.43766298;0.261729352
339;37.64179805;6.33640608;0.255528279
341;37.85960246;6.34305901;0.251832537
343;37.54761154;6.31249681;0.254619133
345;37.53581235;6.3366135;0.251888472
347;36.94693012;6.30593106;0.227496623
349;37.35209865;6.25667313;0.234212319
351;36.36975921;6.21861179;0.244246983
353;36.72347328;6.17188296;0.25221605
355;36.4322343;6.06025978;0.259361095
357;36.92572345;5.95058968;0.26337098
359;36.32235743;5.97613131;0.268087476
361;35.75710334;5.94066214;0.262679713
363;35.09622491;5.90925374;0.273831088
365;35.00297129;5.80270122;0.268018456
367;34.9072573;5.7992758;0.279438128
369;34.8678594;5.6805336;0.272986465
371;34.137143;5.6939582;0.282915736
373;34.82020353;5.6939582;0.260399073
375;34.40867257;5.6994067;0.242975271
377;33.80207774;5.62528458;0.254164373
379;34.20673383;5.62528458;0.291313084
381;33.52763505;5.61383847;0.319191065
383;33.29401238;5.61201529;0.327985662
385;33.51122555;5.59084155;0.349578178
387;32.23559192;5.542517;0.367189969
389;32.15587311;5.52965503;0.352257818
391;32.67437512;5.63854034;0.32230761
393;33.21521026;5.98305228;0.303776175
395;32.19513595;5.57941899;0.310311372
397;31.56601409;5.41965899;0.324615535
399;31.68287821;5.40758612;0.333071059
401;32.07278467;5.40898194;0.343312807
403;30.84932931;5.85383895;0.347678956
405;30.8457396;5.4037619;0.329765964
407;30.78427925;5.34031683;0.308787545
409;30.02660895;5.30544594;0.302001668
411;30.15224416;5.29017611;0.294757413
413;29.76557823;5.29017611;0.318210346
415;29.27770782;5.29156542;0.32929082
417;29.23616238;5.36671963;0.315729389
419;29.0887945;5.2473216;0.304405671
421;29.2792532;5.20184631;0.285587025
423;29.42531307;5.16880561;0.292546052
425;28.26967438;5.21042162;0.326689993
427;28.95244636;5.29317567;0.323724076
429;27.91860691;5.21737315;0.32079262
431;28.24570749;5.16001787;0.347419361
433;28.23362351;5.10750587;0.361286304
435;27.82137867;5.14885033;0.334663919
437;28.44800455;5.20490348;0.376959376
439;28.0001517;5.1602323;0.354761169
441;27.91345482;5.08323337;0.310358803
443;27.94392592;5.1503248;0.281976463
445;27.31844699;5.08137462;0.312052635
447;27.29069257;5.05943833;0.305508124
449;27.08047336;5.17877223;0.319802919
451;26.65553985;5.06096341;0.325515456
453;27.00011096;4.96967113;0.327156212
455;26.48443291;4.96195054;0.311731138
457;26.64923776;4.9564805;0.308097871
459;26.26873251;4.98334573;0.33011169
461;25.99105131;4.9564304;0.341003813
463;25.95870214;4.90968654;0.342628918
465;25.87037091;4.87747201;0.315872418
467;25.1395853;4.88821219;0.311267705
469;25.79341442;4.85441747;0.313567701
471;25.09420639;4.86737362;0.314212415
473;25.4386287;4.84958972;0.311746683
475;24.9406062;4.84958972;0.314364063
477;24.74031909;4.75180183;0.287417576
479;24.89704347;4.72104023;0.262253457
481;24.03736803;4.6943744;0.266781622
483;23.78192655;4.71243686;0.267579803
485;24.18771453;4.74355317;0.276551166
487;24.61296192;4.75480639;0.279801118
489;24.23230334;4.81537416;0.274294861
491;24.13204383;4.54096773;0.301246285
493;23.51980796;4.59691366;0.356299383
495;24.03114659;4.57347384;0.379701289
497;24.15217062;4.67836358;0.388273601
499;24.29151966;4.68718889;0.384826992
501;23.88850249;4.68718889;0.387235609
503;23.38208487;4.53745013;0.367990676
505;22.74142014;4.51465912;0.370969971
507;23.89813083;4.69884092;0.373508474
509;23.51201234;4.71264478;0.385856971
511;23.52581124;4.60405107;0.354119473
513;23.48852207;4.60405107;0.324176293
515;22.68259905;4.50540895;0.311317932
517;22.38583218;4.50540895;0.301157081
519;22.57073363;4.52109962;0.291283016
521;22.92510315;4.52109962;0.265714218
523;22.68441871;4.39771355;0.282909734
525;22.64988095;4.38420979;0.297147138
527;22.78997495;4.58700165;0.325774175
529;22.96942814;4.37576825;0.333081382
531;22.46545303;4.28387775;0.370754444
533;22.53483174;4.30166165;0.370740706
535;21.9088646;4.3001015;0.348393955
537;22.18129847;4.32170461;0.355531693
539;22.67253319;4.31600711;0.374312209
541;22.25404892;4.23063177;0.3485926
543;21.53561113;4.27060847;0.33295765
545;21.6188372;4.27060847;0.34096251
547;21.14037527;4.22018969;0.303804272
549;22.11944249;4.21853084;0.27721779
551;21.43042267;4.20148744;0.288668932
553;21.3476637;4.18057021;0.305488072
555;21.10237822;4.18057021;0.303477158
557;21.33291128;4.19747083;0.323609537
559;21.56704663;4.12094234;0.327852122
561;21.01892638;4.12094234;0.327391439
563;20.84892839;4.08075322;0.307512125
565;20.43939404;4.07107368;0.316175092
567;21.0504499;4.15228912;0.321260039
569;20.96666929;4.15228912;0.313441646
571;20.63159259;4.15228912;0.322565021
573;20.28583409;4.12365131;0.33173999
575;20.62508098;4.03294872;0.342207548
577;20.49986445;4.00492214;0.33042098
579;20.60348383;4.04138775;0.341191988
581;20.20036572;3.96703165;0.360831603
583;20.51218049;4.01494337;0.375582264
585;19.6210719;3.93226197;0.363999522
587;20.06041152;3.96785131;0.350541674
589;20.03123368;3.92689062;0.349468825
591;20.04702153;3.86182127;0.325193002
593;20.25425135;3.90199737;0.311330705
595;19.71705569;3.91979029;0.298481665
597;19.86411368;3.91979029;0.337172848
599;20.15074187;3.82773546;0.346952851
601;19.51844353;3.81458893;0.343760809
603;18.94187274;3.80148397;0.329165782
605;19.00551286;3.78006022;0.367225693
607;19.70237712;3.82333508;0.360570943
609;19.37646222;3.7536925;0.361239472
611;18.95163747;3.72463384;0.381251181
613;18.89565274;3.73382239;0.399051219
615;18.9144706;3.72183519;0.370507832
617;19.24313809;3.72246195;0.354883506
619;18.98661128;3.72967602;0.367688907
621;18.8938469;3.67791804;0.361703263
623;18.58004935;3.69138723;0.368279375
625;18.67687395;3.69138723;0.356723609
627;19.15951015;3.65681694;0.356072903
629;18.45796393;3.65681694;0.342885738
631;18.53375599;3.52821083;0.350866521
633;18.51441665;3.60337105;0.360870968
635;18.3699343;3.62696668;0.381822311
637;18.47314177;3.60708154;0.3826644
639;18.42517516;3.5976009;0.377211358
641;17.79846737;3.51319702;0.414905733
643;18.48173361;3.51242146;0.393158029
645;18.2553866;3.50373192;0.368497326
647;18.24379362;3.51267747;0.360960339
649;18.52609938;3.47089713;0.361609051
651;17.48009574;3.45930223;0.316565728
653;17.27333466;3.41855648;0.323216869
655;17.41729447;3.43598516;0.348938957
657;17.54386786;3.450024;0.36867819
659;17.78731585;3.38682843;0.375145963
661;17.73685112;3.36876647;0.368784829
663;17.66158658;3.35363893;0.353973626
665;17.6460548;3.51547863;0.362279481
667;17.5771847;3.35640251;0.348393155
669;17.83122973;3.42488976;0.333617548
671;16.89283011;3.30597672;0.338105663
673;16.97136738;3.31554904;0.351694856
675;17.26218925;3.09829198;0.321099997
677;17.18539091;3.22070258;0.324385917
679;17.42323715;3.33063499;0.336793642
681;17.61119976;3.26672799;0.351712493
683;17.31676858;3.27556583;0.354616049
685;17.44113043;3.29434674;0.366860393
687;17.24981203;3.28936118;0.352782561
689;17.48163048;3.23515325;0.356371949
691;17.11656324;3.23515325;0.356796262
693;16.77754519;3.19139392;0.349540522
695;17.6147166;3.2169485;0.346117727
697;18.08858856;3.20551793;0.355057862
699;17.50321286;3.14505788;0.347670205
701;17.0211881;3.11214644;0.363957386
703;16.84616384;3.09117862;0.361932684
705;16.60446538;3.13054408;0.346027234
707;17.1987558;3.1249533;0.319053136
709;17.12871947;3.12570081;0.327695808
711;16.48171131;3.03878085;0.317657814
713;16.34995907;3.03495663;0.327836845
715;16.52985733;3.05840346;0.334515683
717;16.58503966;3.03808394;0.359574294
719;16.59332157;2.97071394;0.35806574
721;16.46939907;2.9720817;0.359439183
723;16.4201122;2.96595634;0.345412951
725;16.71585063;2.90507544;0.339527293
727;16.69102059;2.99381207;0.329571421
729;16.28215277;2.89635133;0.354554587
731;16.58623703;2.91894294;0.368445024
733;16.23962969;2.93937618;0.385977251
735;16.29131758;2.91241927;0.395863021
737;16.86392824;2.92068094;0.407590744
739;16.30266802;2.89575312;0.393229898
741;16.13431141;2.87482888;0.38872002
743;16.36209959;2.92208578;0.403183777
745;16.23856236;2.94563983;0.390621209
747;16.61192626;3.0179513;0.392703006
749;16.60940401;2.78579466;0.391985234
751;16.04326898;2.78579466;0.385954227
753;16.21174221;2.92927179;0.335098152
755;15.88055168;2.88608861;0.350806976
757;15.94682388;2.91571742;0.350838103
759;16.21000713;2.83680262;0.362506726
761;16.388269;2.75793241;0.374308115
763;16.35149401;2.74929999;0.401762037
765;16.22807061;2.71416656;0.392435271
767;16.31313425;2.68145503;0.392475217
769;16.08916033;2.63033935;0.393096237
771;16.22928937;2.64322285;0.36955254
773;16.05503213;2.69572784;0.345392702
775;16.16013883;2.6391837;0.349593732
777;15.78722812;2.6098049;0.346865104
779;15.71708606;2.54685081;0.344709824
781;15.24173084;2.55872428;0.357111481
783;15.43564201;2.57664396;0.406336628
785;15.57697448;2.57673564;0.416842592
787;15.78534333;2.58248424;0.415296049
789;16.22074022;2.535192279;0.386266419
791;16.09298048;2.515591712;0.376394271
793;15.98491909;2.475330439;0.374580747
795;15.85269811;2.533805479;0.393867964
797;16.14583402;2.494598334;0.404490533
799;15.78225521;2.494598334;0.414275934
801;15.73750476;2.399942257;0.419079576
803;15.56186561;2.427006891;0.39987711
805;15.61400792;2.466935493;0.393634892
807;15.52775715;2.517054165;0.421354919
809;15.81767133;2.447812891;0.419911491
811;15.89065445;2.38061374;0.400314051
813;15.33852475;2.368841476;0.400155163
815;15.48260689;2.381269063;0.385373796
817;14.98411743;2.333186;0.354153212
819;14.80642521;2.26661662;0.369942817
821;15.00404776;2.357404388;0.347322993
823;15.14277146;2.265720311;0.31535064
825;15.21592147;2.311993219;0.314310045
827;14.89727345;2.311993219;0.332121584
829;14.62715773;2.380635784;0.350741772
831;14.58290211;2.241729883;0.378788832
833;14.8376724;2.244072612;0.372680767
835;14.83880534;2.282070316;0.341819202
837;14.48839793;2.334268686;0.337025314
839;14.47547439;2.193504533;0.318350355
841;14.00803692;2.131062986;0.325531232
843;13.67996786;2.351533036;0.345504242
845;13.8049271;2.157323496;0.35097725
847;13.6922938;2.243775011;0.324657354
849;13.5637387;2.284786298;0.33820041
851;13.5824244;2.147304772;0.340065829
853;13.48375824;2.185793467;0.348336823
855;13.17578525;2.156079485;0.364784855
857;13.53404804;2.5681944;0.359881142
859;13.71954349;2.072109479;0.325226706
861;13.0503712;2.108540521;0.339305077
863;12.86191453;2.066769199;0.328678052
865;13.04616006;2.076575996;0.312677801
867;12.89398334;2.039812283;0.310279594
869;12.70206892;2.054376683;0.307849072
871;12.60361215;2.036393381;0.271339572
873;12.30151624;1.853722133;0.279706272
875;12.5185729;2.007996558;0.304342525
877;12.49651763;2.007996558;0.322811818
879;12.47108945;1.909373974;0.328374234
881;12.36120472;1.909373974;0.345563615
883;11.95133507;1.833017337;0.35441127
885;12.24744486;1.983900918;0.345613472
887;11.8788237;1.954956489;0.339348946
889;12.42367728;1.920301032;0.324690422
891;12.41622452;1.895265494;0.296567637
893;11.8787411;1.845517571;0.306511661
895;11.53037885;1.908528768;0.315619764
897;11.62392358;1.911171603;0.321384365
899;11.51313333;1.860831484;0.334484769
901;11.54829626;1.841459379;0.341080855
903;11.82963825;1.798197048;0.334457871
905;11.59772419;1.793211484;0.351504906
907;11.3647743;1.793211484;0.377896614
909;11.13463662;2.021221755;0.385956319
911;11.35560746;1.962983693;0.375977446
913;11.33792575;2.011294716;0.356583933
915;10.80066784;1.985199038;0.353464722
917;10.81809758;2.005967462;0.345249021
919;10.9342963;2.005967462;0.347540046
921;10.94638053;1.884775318;0.365870507
923;10.69763505;2.057861217;0.365788155
925;10.51733986;2.022807456;0.351479918
927;10.20716174;1.964575907;0.375021685
929;9.783264008;1.983008115;0.379103447
931;10.09744236;2.022436708;0.365531784
933;10.16406931;1.896863721;0.3564536
935;10.18932093;1.88714911;0.368211352
937;9.760590611;1.908936591;0.339614708
939;9.780256776;1.908879977;0.318624533
941;9.741762163;1.908879977;0.315766984
943;9.975457789;1.856659563;0.30485632
945;9.976837783;1.837315514;0.288153896
947;9.767961322;1.833554923;0.289238763
949;9.700610476;1.815841165;0.321683151
951;9.68235293;1.823049215;0.317170797
953;9.37400723;1.786782506;0.321415284
955;9.727648008;1.741998102;0.30500913
957;9.691291569;1.72977593;0.302620767
959;9.289370819;1.70575995;0.295644019
961;9.409626105;1.558272726;0.332145036
963;9.166476816;1.557981137;0.335326211
965;9.223482437;1.563929144;0.336675467
967;9.213422154;1.488911209;0.335000365
969;8.949309583;1.547620723;0.332121701
971;8.936359298;1.559506717;0.339643579
973;8.929277043;1.605921912;0.369323359
975;9.096065861;1.555189502;0.359567517
977;9.154890971;1.486695737;0.328039589
979;8.922063074;1.460514386;0.343008016
981;8.832361344;1.472964018;0.334332167
983;8.239251335;1.503361379;0.313050138
985;8.263481922;1.479807332;0.32779042
987;8.182294772;1.422145934;0.339886701
989;8.438051024;1.441774557;0.319754631
991;8.320806386;1.422687026;0.309205245
993;8.149675561;1.424339362;0.326101372
995;8.305393455;1.462052491;0.33154788
997;8.24787277;1.436662738;0.345577223
999;8.272888816;1.37304682;0.387330083
1001;7.805472256;0.480914923;0.382823077
1003;7.930909124;1.399386491;0.400098988
1005;7.940317347;1.355655714;0.418754413
1007;8.002094319;1.387819642;0.401080957
1009;8.1785905;1.371118929;0.352815883
1011;7.790761354;1.309304147;0.367127878
1013;7.632848694;1.365263108;0.361833438
1015;7.54235255;1.34144603;0.356473182
1017;7.494921064;1.331731419;0.379143246
1019;7.860190004;1.254270052;0.378011295
1021;7.534046086;1.333690875;0.379202078
1023;7.675282011;1.299861585;0.367541068
1025;7.652442876;1.287725587;0.3774416
1027;7.737147682;1.309497537;0.35741017
1029;7.609798279;1.281691907;0.343203765
1031;7.378075165;1.24895833;0.310677757
1033;7.353015945;1.214401071;0.332038964
1035;7.21748321;1.261657966;0.332833801
1037;7.097139931;1.208867902;0.350680632
1039;7.280229831;1.240012772;0.357493314
1041;7.317113808;1.207928004;0.355615638
1043;7.075617781;1.810497879;0.346833345
1045;6.985768062;1.242029343;0.349402311
1047;6.696737035;1.225163797;0.348488686
1049;7.088840899;1.209380937;0.366897117
1051;7.219437917;1.167138164;0.39365762
1053;7.055459168;1.183427547;0.389313482
1055;6.921038976;1.176789647;0.376203392
1057;6.833976417;1.166134638;0.376959227
1059;7.070185153;1.212109445;0.366324794
1061;7.083962874;1.127354856;0.336993569
1063;6.745342197;1.099343811;0.3175075
1065;6.684281867;1.120853231;0.334939534
1067;6.518678426;1.13199873;0.347424791
1069;6.74163956;1.124955512;0.334214682
1071;6.616366132;1.11045474;0.358190206
1073;6.638201806;1.067464458;0.372967903
1075;6.298936424;1.064530536;0.358090339
1077;6.350847268;1.117177812;0.347788938
1079;6.257386519;1.117177812;0.352526677
1081;6.614378224;1.075406991;0.336987143
1083;6.559103862;1.020217584;0.35331329
1085;6.334415503;1.039612235;0.366976486
1087;6.041085559;1.022148481;0.370888394
1089;6.113724145;1.066831681;0.391364412
1091;6.27070541;1.030292922;0.405406222
1093;6.122914833;1.100040217;0.373719379
1095;5.896586487;0.955771991;0.357930186
1097;5.761302861;1.005706792;0.353822077
1099;5.974969865;0.988556672;0.378226909
1101;5.971293902;0.988556672;0.384159887
1103;5.982640941;0.96013079;0.384839676
1105;6.033323971;0.898110593;0.381994561
1107;5.671215468;0.953692293;0.396009765
1109;5.190773643;0.928900747;0.354151973
1111;5.554031768;0.908866806;0.338678271
1113;5.654312942;0.909145368;0.320335698
1115;5.50390129;0.910057209;0.312891496
1117;5.508365307;0.889873966;0.309942178
1119;5.442660825;0.916960645;0.312212779
1121;5.226255992;0.912807761;0.296722773
1123;5.140579386;0.834726142;0.304229377
1125;5.109247188;0.831832802;0.290935839
1127;5.013483849;0.86414553;0.304298115
1129;4.741428233;0.847792519;0.323302562
1131;4.71481025;0.87203696;0.347317367
1133;4.953476507;0.899152196;0.349430444
1135;4.887247433;0.831810256;0.377846863
1137;4.776880337;0.807388958;0.377419963
1139;4.571298955;0.819063525;0.368457089
1141;4.416462101;0.816014871;0.372709724
1143;4.677713709;0.831193511;0.379209817
1145;4.67463631;0.8059235;0.354823546
1147;4.397709789;0.773617285;0.332396793
1149;4.320825877;0.781771245;0.34355443
1151;4.201021334;0.761651631;0.338339849
1153;4.351154208;0.8469413;0.320510854
1155;4.229868225;0.761338499;0.308612209
1157;4.226587222;0.752209571;0.277586377
1159;3.939763803;0.737145161;0.282766014
1161;3.885065631;0.762078994;0.29124205
1163;3.854430262;0.791365613;0.310917536
1165;3.947797783;0.739310031;0.31384679
1167;3.893656206;0.734609543;0.333840753
1169;3.904297942;0.668993086;0.314970871
1171;3.440766884;0.750072757;0.312700165
1173;3.391224027;0.716057092;0.305863744
1175;3.594745416;0.742744965;0.313653948
1177;3.332696976;0.671060259;0.304567536
1179;3.435077945;0.662364706;0.308998125
1181;3.177281283;0.68127538;0.303435821
1183;3.265545332;0.720026605;0.302893977
1185;3.103023576;0.697846331;0.303785492
1187;3.111295167;0.630612109;0.324534584
1189;2.752714582;0.58440333;0.327104226
1191;2.702817492;0.628903159;0.338882634
1193;2.854420543;0.67433036;0.348637131
1195;2.833245048;0.72865853;0.340904096
1197;2.934068742;0.643077772;0.316382176
1199;2.642278528;0.564397946;0.290293649
1201;2.369568695;0.556249998;0.264727462
