Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR Particle board;;;;;;;ISO 5660;EUREFIC;CDK9302_EUREFIC9;;1;2003-08-06 10:17:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;17;259;25;143;87;NA;13.7;NA;NA;1195;0.01;79;170
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; -8.96144; -0.0133148; 0
5; -8.87112; 0.00443827; 0
10; 41.865; -0.00443827; 0
15; 127.257; 0.0192327; -83.6263
20; 89.2345; 0.103559; 91.7092
25; 58.2039; 0.14646; 970.941
30; 85.2805; 0.0872803; 543.957
35; 169.352; 0.0429001; 749.306
40; 228.185; 0.0739726; 786.708
45; 259.408; 0.143499; 976.356
50; 253.487; 0.201193; 1036.45
55; 250.725; 0.220429; 1066.05
60; 232.315; 0.183442; 1341.05
65; 224.267; 0.176048; 1314.34
70; 213.753; 0.180486; 1240.58
75; 209.347; 0.156813; 1373.75
80; 201.168; 0.158292; 1266
85; 201.344; 0.171609; 1153.18
90; 195.265; 0.159771; 1148.99
95; 191.749; 0.150897; 1284.61
100; 196.177; 0.142024; 1219.43
105; 181.643; 0.131662; 1317.87
110; 168.671; 0.1361; 1195.8
115; 160.194; 0.110956; 1346.74
120; 159.784; 0.128705; 1135.01
125; 150.986; 0.107995; 1341.64
130; 151.367; 0.0739685; 1941.76
135; 141.82; 0.091718; 1433.91
140; 128.81; 0.0813695; 1405.26
145; 105.072; 0.0606542; 1930.27
150; 91.4504; 0.0547348; 1653.55
155; 77.6566; 0.0340286; 1843.52
160; 63.526; 0.0251505; 1946.45
165; 49.4092; 0.0281052; 1364.88
170; 35.1961; 0.0162725; 1455.06
