Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted paper plasterboard;plasterboard;;;;;;ISO 5660;EUREFIC;CS000015_EUREFIC1;;1;2003-08-05 13:06:16
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;49;98;2.5;14;NA;6.6;3.7;NA;NA;19;0.01;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.278; 0.7548; -26.1115; -0.0022
3.282; 2.3206; -26.2926; -0.0143
5.76; 5.1424; -8.3007; -0.0245
7.74; 6.9797; -2.0529; -0.2101
10.002; 7.2899; -0.8364; -0.7761
12; 4.9476; -0.2951; -1.8626
13.998; 3.1703; -0.0998; -10.4578
16.482; 2.5637; -0.0301; -22.6587
18.48; 2.3865; -0.0059; -6.1027
20.46; 2.3132; -0.0044; 5.964
22.458; 1.5265; 0.0043; 20.4574
24.462; 1.4529; 0.0056; 35.1098
26.922; 2.5136; 0.0041; 67.8773
28.92; 1.9481; 0.0147; 65.443
30.9; 2.5994; 0.0067; 67.1469
33.12; 1.7426; 0.0131; 79.4576
35.1; 1.2219; 0.0217; 110.796
37.722; 1.522; 0.0177; 130.947
39.72; 1.6465; 0.0199; 145.262
41.742; 1.6067; 0.028; 172.927
43.74; 3.2486; 0.0408; 167.881
45.738; 2.7652; 0.0413; 137.125
48.3; 2.1683; 0.0632; 98.2258
50.298; 5.1035; 0.0798; 70.6289
52.302; 21.1988; 0.0908; 30.9825
54.498; 70.9063; 0.0831; 15.5873
56.478; 97.5398; 0.0864; 13.8361
58.938; 94.0064; 0.0774; 14.9152
60.918; 68.2458; 0.0607; 15.9081
62.898; 48.1177; 0.0564; 15.2655
64.902; 29.074; 0.0545; 9.9668
66.9; 23.0062; 0.0559; 4.6856
69.402; 19.5517; 0.0464; 1.0634
71.4; 17.748; 0.0502; -1.5486
73.44; 16.8031; 0.0478; -3.4015
75.438; 14.9847; 0.0506; -4.5393
77.682; 14.7566; 0.0478; -4.9565
80.16; 13.3231; 0.0531; -4.7794
82.14; 14.1915; 0.0525; -4.4891
84.12; 13.6926; 0.0503; -4.0313
86.142; 13.4605; 0.0512; -3.7053
88.14; 12.6489; 0.0507; -3.4225
90.6; 12.5149; 0.0503; -3.2871
92.598; 12.8724; 0.0494; -3.2108
94.578; 13.1484; 0.0504; -2.9248
96.582; 12.8104; 0.049; -2.6503
98.58; 12.701; 0.0486; -2.8976
101.298; 12.6501; 0.0485; -3.3842
103.302; 12.5719; 0.0481; -3.4217
105.282; 12.3103; 0.0486; -3.8355
107.298; 13.3804; 0.0486; -4.135
109.278; 13.237; 0.0482; -4.1061
111.738; 12.5735; 0.0492; -4.0115
113.742; 11.8632; 0.05; -4.6336
115.722; 12.2208; 0.047; -4.8346
117.72; 13.0025; 0.0481; -5.602
119.718; 13.1029; 0.0474; -6.1638
122.478; 12.1598; 0.0447; -7.166
124.458; 12.2203; 0.046; -7.4515
126.48; 13.0327; 0.0467; -7.2742
128.478; 12.4177; 0.0451; -6.6686
130.482; 12.7719; 0.0462; -6.389
132.978; 12.2211; 0.0467; -5.8715
135; 12.1323; 0.0439; -5.5206
136.98; 12.6904; 0.0447; -6.2263
138.978; 11.8089; 0.0458; -6.63
140.982; 12.6901; 0.0448; -6.9303
143.478; 12.2086; 0.0463; -6.7152
145.74; 13.2759; 0.0458; -7.0071
147.738; 13.1061; 0.0454; -6.6375
149.718; 12.2203; 0.0449; -6.3879
151.722; 12.2665; 0.0449; -6.501
154.242; 12.6448; 0.0434; -7.2459
156.222; 11.6707; 0.0439; -7.786
158.22; 11.4608; 0.0431; -8.255
160.218; 11.3432; 0.0417; -8.8202
162.222; 10.6688; 0.0412; -8.9866
164.742; 10.9739; 0.0403; -8.762
166.74; 11.2019; 0.0384; -8.5297
168.84; 10.2849; 0.0389; -7.945
170.862; 9.968; 0.0392; -7.9546
172.86; 9.3463; 0.0384; -8.0334
175.338; 9.3476; 0.0384; -8.3608
177.378; 8.7307; 0.038; -8.2715
179.358; 8.809; 0.0385; -8.7417
181.362; 8.9271; 0.0392; -8.496
183.36; 8.2431; 0.0379; -8.096
185.802; 7.464; 0.0375; -7.8088
187.758; 7.5567; 0.0397; -7.8133
190.002; 7.0857; 0.0393; -7.4305
192; 6.2101; 0.036; -7.4892
