Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber;;;;IN2-2;Limited surfaces;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 15:53:03
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;21;330.6;62.2;;;29.0;23.2;23.8;;1256;;222.0;0.00884;;2010-08-20;C_LNE_IN2-2_1a;2.2;;;;;;;;;;2.85;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;3.3;29.0;0.0
2;4.1;29.1;0.0
4;4.9;29.1;0.0
6;5.7;29.1;0.0
8;7.0;29.1;0.0
10;10.2;29.1;0.1
12;15.9;29.2;0.3
14;23.1;29.2;0.7
16;30.4;29.2;0.7
18;35.8;29.3;0.8
20;39.3;29.2;0.9
22;41.4;29.1;1.7
24;41.3;28.9;2.7
26;41.2;28.7;4.1
28;52.3;28.5;5.8
30;79.2;28.3;8.7
32;115.4;28.0;9.7
34;158.8;27.8;10.6
36;203.7;27.6;11.1
38;249.7;27.4;11.3
40;292.1;27.2;11.1
42;319.0;26.9;10.5
44;328.7;26.7;8.9
46;330.6;26.4;9.1
48;325.9;26.1;9.1
50;320.7;25.8;9.1
52;315.6;25.5;9.0
54;311.2;25.3;8.8
56;308.3;25.1;8.5
58;307.1;24.8;8.4
60;306.7;24.6;8.7
62;304.7;24.3;8.7
64;303.3;24.0;8.5
66;298.4;23.8;8.5
68;291.9;23.5;8.2
70;284.1;23.3;8.1
72;275.5;23.0;7.9
74;265.1;22.7;7.3
76;256.4;22.5;6.9
78;246.1;22.3;6.7
80;237.8;22.1;6.3
82;231.1;21.9;6.1
84;226.5;21.7;5.9
86;223.4;21.5;5.6
88;221.8;21.3;5.3
90;221.1;21.1;5.2
92;222.4;20.9;5.1
94;224.1;20.7;5.2
96;225.9;20.5;5.2
98;228.4;20.3;5.4
100;230.1;20.1;5.7
102;231.9;19.9;6.0
104;233.6;19.8;6.3
106;235.3;19.5;6.6
108;238.0;19.3;6.6
110;242.3;19.2;6.9
112;246.8;19.0;7.0
114;251.9;18.8;7.1
116;257.3;18.6;7.3
118;263.8;18.4;7.4
120;270.5;18.2;7.9
122;275.7;18.0;8.3
124;280.6;17.8;8.5
126;285.8;17.5;8.8
128;289.1;17.3;9.0
130;294.1;17.1;9.3
132;298.0;16.9;9.5
134;301.1;16.7;9.4
136;304.6;16.5;9.4
138;308.1;16.3;9.6
140;308.8;16.1;9.6
142;309.4;15.9;9.8
144;305.1;15.7;9.5
146;300.4;15.4;9.5
148;292.9;15.2;9.2
150;283.3;15.0;9.0
152;272.7;14.8;8.7
154;262.6;14.6;8.2
156;253.1;14.4;7.6
158;246.0;14.3;7.2
160;239.2;14.1;6.7
162;234.7;14.0;6.3
164;231.7;13.9;6.1
166;228.7;13.7;5.7
168;226.9;13.6;5.5
170;224.5;13.4;5.4
172;221.2;13.2;5.3
174;216.9;13.1;5.2
176;211.0;12.9;5.0
178;204.2;12.8;4.7
180;196.2;12.7;4.4
182;186.8;12.6;4.1
184;177.0;12.5;3.8
186;167.2;12.4;3.4
188;156.8;12.3;3.1
190;146.5;12.3;2.7
192;136.6;12.2;2.4
194;126.2;12.1;2.1
196;116.8;12.0;1.7
198;107.9;11.9;1.3
200;100.0;11.9;1.1
202;93.6;11.8;0.8
204;88.5;11.7;0.6
206;83.7;11.6;0.4
208;80.4;11.6;0.4
210;77.6;11.5;0.3
212;75.8;11.5;0.2
214;74.3;11.4;0.2
216;72.9;11.4;0.2
