Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:26:11
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;51;95.54;4.04;;;1.83;1.69;21.13;;332.11;;24.17;0.0088;Distortion. Melting. End flame at 95s.
;2010-07-23;c_LSFIRE_IN8-3_35b;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.307830388;1.83;0.190677845
3;5.349389869;1.89404778;0.223946362
5;5.15649497;1.8223376;0.24634856
7;4.772857787;1.83626585;0.304128639
9;3.682708449;1.86350094;0.241619524
11;2.558009003;1.90682709;0.197720167
13;1.480648176;1.90682709;0.145945305
15;1.487671238;1.88177221;0.105036763
17;1.517762997;1.83728694;0.02875034
19;1.476474148;1.84163378;0.02875034
21;1.490177288;1.84616751;-3.88578E-17
23;1.512959719;1.89532456;-3.88578E-17
25;1.496937136;1.83619067;0.037577856
27;1.486510364;1.85142968;0.064374667
29;1.447091241;1.82355279;0.095562989
31;1.49839892;1.80191414;0.136745996
33;1.52444667;1.80230703;0.1984179
35;1.487343266;1.8350137;0.230896795
37;1.488152399;1.88942528;0.268173426
39;1.471862313;1.93128478;0.259206745
41;1.503310622;1.87274383;0.218023738
43;1.507962946;1.82479433;0.156351835
45;1.493076152;1.68860826;0.086295084
47;1.501623839;1.85533819;0.022221642
49;1.422332534;1.61217615;0.002588446
51;0.992898938;1.74060215;0.296791385
53;-1.824101629;1.78762359;0.962564234
55;1.312785463;1.80257292;1.68213623
57;10.45110335;1.76163087;2.686729182
59;18.7979184;1.71506859;3.854776557
