Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester wool;;;;IN14-1;Air Filter;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 15:45:56
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;NI;;;;;1.63;;;;;;2.9;0.00884;shrink to one corner;2011-08-16;BRD6011b2;10;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;2.06427292734252;-0.0140883632319396;1.63
2;2.48100478156634;-0.00828502568230112;2.318248
4;3.32498895497085;-0.0158662950292952;2.91321
6;3.65943979142503;-0.017295900947077;3.024639
8;2.33896385017429;-0.0110072320325116;3.226949
10;2.43953797465208;-0.0195251219820185;3.318094
12;1.76102728311773;-0.0112744243493996;3.42085
14;1.55449466966259;-0.0267631768176583;3.612461
16;1.26590513199488;-0.0136584262182571;3.511189
18;1.58093177259306;-0.0214115237859382;3.509014
20;1.37500680546591;-0.026531215089128;3.610902
22;1.49182080253041;-0.0176250537230069;3.428806
24;1.50832401388474;-0.0235423169207102;3.501206
26;1.43547846502623;-0.016121151356495;3.509732
28;0.818078137563803;-0.0114483897851665;3.507839
30;0.34623410499488;-0.0123662068688251;3.508403
32;-0.877566361779354;-0.0144262974264773;3.420081
34;-0.341513028968397;-0.00554413359773994;3.418768
36;-0.272905673077007;-0.00341780752550815;3.418766
38;-0.492157949293864;0.00975903090487658;3.421252
40;0.505032478982564;0.00327940357600644;3.420973
42;0.756651849600901;-0.00802908433515266;3.509185
44;1.6377698720623;0.00327855642988441;3.506799
46;1.33533707663843;0.00614119031970062;3.495247
48;2.09966634221131;0.0150196782669155;3.419944
50;1.94170425568981;0.00382217000907836;3.420294
52;2.64816524767402;0.0053965386544374;3.508263
54;0.957425058324297;-0.00261661105638438;3.418837
56;0.895445920623102;0.00557940454925536;3.467733
58;1.07376920827872;0.00160966163083263;3.420396
60;0.535079558068533;0.00652692470089359;3.508461
62;0.76624440614165;0.00243405458358587;3.436434
64;1.33132802081522;-0.00346111044823511;3.492503
66;0.783020254896941;0.000853809734458349;3.511353
68;0.73522966193565;-0.0010241750608075;3.439078
70;0.477996650294153;0.014635888966043;3.489389
72;0.656522400083438;0.00653476363407253;3.510797
74;0.803331820132846;0.00630636408959089;3.40554
76;1.27038207833952;0.0102042300799311;3.418794
78;0.97017291073689;0.00653134708982581;3.508956
80;1.11401582384548;0.0169635397961801;3.42056
82;1.49277108209111;0.015281886962819;3.50833
84;1.17297718546235;0.00938395748419498;3.489634
86;1.31683726061165;0.00741807972877614;3.508149
88;0.338065956309619;0.00625469131224994;3.508607
90;0.0105993269233784;0.0134923344032051;3.420703
92;-0.51275737919815;0.0164963543453945;3.486933
94;-0.774557725353354;0.00884408102789549;3.420163
96;-0.992408161861653;-0.000197035441627954;3.445482
98;-0.906238112314325;0.00187877141698281;3.420742
100;-0.780602692873299;0.0182418812268987;3.419607
102;-1.36951391831904;0.00306183894357435;3.42137
104;-0.871839756036536;0.0140994788798733;3.419904
106;-0.824594967427656;0.00643645832780345;3.41876
108;-0.987999087082811;0.0125653143432225;3.417999
110;-0.992863634243385;0.0155896386369377;3.419271
112;-1.15807558469356;0.000223746623631562;3.418688
114;-0.743487589572995;0.00845432023051313;3.422398
116;0.391238337977257;0.00784105452955521;3.419783
118;0.432128311463912;0.0136960398642986;3.421625
120;0.159733738752781;0.00716333083913768;3.420619
122;0.657030324442528;0.0086214589121002;3.384733
124;0.448841861197413;0.0110480672281246;3.419035
126;0.64767856019725;0.0069713789004855;3.42019
128;1.12850475588297;0.0117605037312523;3.422777
130;0.84656410296426;0.0145027004386497;3.421195
132;-0.274123647216521;0.00936819013176086;3.380573
134;0.412700114927271;0.00961910352835852;3.42028
136;-0.0277318408958269;0.0125997742015622;3.41969
138;-0.820187783132937;0.00669277867988209;3.419111
140;-0.908774593922507;0.0120872144919833;3.419585
142;0.187003461210209;0.011656873848789;3.476491
144;0.180120601621976;0.0110890620580898;3.420202
146;0.53728884873387;0.0161232545873519;3.419026
148;0.259200108924885;0.0118530300045802;3.474058
150;-0.145449692528117;0.00636644226099878;3.419021
152;0.260503260067509;0.00903581382524184;3.472356
154;-0.33071017167848;0.0137601936984568;3.419764
156;-1.08427888871134;0.0265855538383002;3.418268
158;-0.446145466778404;0.025079530873339;3.420918
160;-0.984277396195655;0.0243009252219263;3.421602
162;-1.14835497994746;0.0207152129664435;3.421725
164;-1.84477557018019;0.0092059705886437;3.421772
166;-2.32789072230124;0.0109503894591311;3.420769
168;-1.69785312055124;0.0119587111279689;3.422223
170;-0.677108565855488;0.0121353353338926;3.401797
172;-0.829234853086529;0.0210353880487221;3.419147
174;0.189187353685105;0.00533546404007538;3.362685
176;-0.336810649617956;0.0064344500876851;3.420807
178;-0.673722148460431;0.00277706771234391;3.419686
180;-1.04797699707949;0.0078934949888937;3.364964
182;-1.01332057251395;0.0130182732285507;3.41865
184;-2.30553624108134;0.0165332275272872;3.421315
186;-2.20622074393066;0.00924910441855067;3.421005
188;-0.610425680688586;0.0150303236630255;3.406994
190;-1.23816928623942;0.0171825091246808;3.4207
192;-0.924762649839637;0.0170523138012122;3.313323
194;-0.836545906203758;0.016279122234113;3.420993
196;-0.914225938276917;0.0221729079504777;3.365994
198;-0.14477070358871;0.0164891947354538;3.423122
200;-0.0579012518887588;0.0174897716556646;3.422714
202;-0.375503717169804;0.0166765080590648;3.422421
204;-0.75179788281425;0.012625867580779;3.4213
206;-0.921178182824191;0.0194114296608699;3.310421
208;-1.23337067148466;0.0164691763604656;3.420167
210;-1.16452268606851;0.0225736716961955;3.420562
212;-0.938854824441599;0.0186004183440299;3.358152
214;-1.18503136827913;0.0185617912223595;3.421091
216;-0.826351025705493;0.0217355154807044;3.420042
218;-0.724079527643443;0.0191413112681179;3.421099
220;-1.4237871479755;0.015779237225291;3.473185
222;-0.619009965341272;0.0229934099047116;3.419126
224;-0.556893970119875;0.01522763286049;3.421325
226;0.454497542715678;0.0245303671759177;3.356584
228;1.25175158638101;0.0165545659570893;3.421609
230;0.364880862869082;0.0221315684025963;3.420304
232;0.155301929986735;0.0148537632277187;3.424381
234;0.00311819236469222;0.0178540504837818;3.355571
236;-0.743674704432574;0.0227759649787412;3.419958
238;-0.973317913919488;0.00847890465122906;3.422715
240;0.228507962289516;0.0136803114998111;3.382553
242;0.232664523071496;0.00740309895288414;3.349652
244;-0.093231728422268;0.00659745802679647;3.380522
246;0.246478249525315;-0.00435581161724665;3.350929
248;-1.05549023944372;0.000341669163813075;3.383204
250;-1.50748463893295;0.00645734749564982;3.351479
252;-0.989582753083213;0.00442013689204218;3.420175
254;-1.38662298753332;0.0129337214524006;3.351585
256;-1.70080933098755;0.00939885308951516;3.348258
258;-0.895084831212764;0.00943025929015784;3.386053
260;-0.272835942344721;0.0194212144063282;3.348043
262;-1.2931634699921;0.0112717153130739;3.387119
264;-0.745623874424965;0.0161516815420272;3.413891
266;-1.00933938054722;0.00707580996785543;3.348803
268;-0.303175564399282;0.010342610368747;3.313787
270;1.081883318189;0.00471918502914081;3.313663
272;1.01991033236681;0.0061734369596625;3.387594
274;1.01996372976035;0.00559339443651054;3.423721
