Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seat, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:17:52
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;23;314.95;85.64;;;39.83;37.52;20.20;;1513;;170.1;0.0088;Melting of the surface. Shrinkage. End flame at 507s.;2010-11-03;c_LSFIRE_F1A-2-2_50c;28.0;3;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
1;5.916620039;39.83;0.270715147
3;5.754380839;39.83;0.266088553
5;5.393532093;39.7457066;0.254556512
7;5.23786329;39.75848548;0.275315608
9;4.255413207;39.64586171;0.422342946
11;3.991650207;39.15564103;0.626515113
13;3.461470954;39.63793944;0.929542855
15;2.879378858;39.64168251;1.31499119
17;2.487089003;39.49071037;1.735698711
19;2.229465529;39.48273685;2.105040201
21;0.476995831;39.45661165;2.367927211
23;-8.377670561;39.39857476;2.464153673
25;-6.884531772;39.35361034;3.962978376
27;21.75242297;39.35361034;5.928684479
29;75.90537441;39.09068223;8.719434932
31;140.1523797;38.72907239;12.34092014
33;197.1780835;38.25994789;15.29148276
35;243.8182942;37.80367272;17.03832898
37;260.310804;37.19721599;18.61580259
39;272.696364;36.75294247;18.41614955
41;293.2124148;36.36204088;17.11440282
43;303.7908277;35.81331783;16.32337376
45;307.5465069;35.38912732;14.76168002
47;314.9517437;34.92315016;12.80137941
49;311.6437166;34.53222775;11.65107077
51;297.6187243;34.11958087;11.03428005
53;291.3984224;33.7469943;10.16028202
55;286.7223973;33.37628781;9.383116754
57;274.1010411;33.06782784;8.251949188
59;260.0900137;32.69701192;7.201838093
61;248.4237307;32.45958124;5.67690807
63;242.5925788;32.25530657;4.622212437
65;227.9759359;31.99530426;3.890036679
67;224.9826311;31.80356879;3.525794754
69;221.1684679;31.54981686;3.138919811
71;217.2159021;31.54981686;3.094595521
73;212.6774984;31.12406869;2.949117735
75;210.3251616;30.92018797;2.794419246
77;206.5873973;30.7339865;2.657519102
79;200.2932729;30.57026484;2.554438308
81;195.8624846;30.35628923;2.279051161
83;191.2668283;30.12313811;2.011778771
85;175.6880864;30.01780031;1.747153169
87;173.6062168;29.87267659;1.463767417
89;166.0090849;29.64017244;1.143340556
91;159.9301391;29.51575948;0.836315324
93;155.5703289;29.38343652;0.621875514
95;152.5670057;29.21369562;0.504139566
97;149.3557386;29.09146808;0.381133555
99;148.9662597;28.88042416;0.288584432
101;141.9536537;28.77627889;0.240659557
103;137.0519956;28.66373413;0.244532544
105;131.89261;28.50469985;0.236643595
107;126.4251948;28.42158083;0.28263598
109;122.9544597;28.26139299;0.280460754
111;116.3030911;28.17325349;0.315232238
113;116.3601404;28.0882309;0.301301392
115;112.2113889;27.98071623;0.303142274
117;110.375458;27.85087389;0.278265736
119;114.4622302;27.71786178;0.26262036
121;116.6600835;27.71088008;0.28118224
123;118.1152184;27.52390725;0.298229281
125;122.360864;27.47494567;0.304204692
