Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Melamine face;Calcium silicate board;;;;;;ISO 5660;EUREFIC;CS000040_EUREFIC4;;1;2003-08-06 09:08:20
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;115;85;6.9;37;NA;9.1;7.6;NA;NA;31;0.01;12.5;1055
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.878; 0.42; -0.0603; -0.4123
3.882; -0.212; -0.0219; 7.7524
6.402; -0.4075; -0.0122; 24.7273
8.4; 0.5673; -0.0004; 22.8076
10.662; -0.1113; -0.0015; -0.6611
12.642; 0.3262; 0.0062; -2.6209
14.64; 0.2552; 0.0015; -14.9101
17.142; -0.2058; 0.0061; -33.9488
19.158; -0.2198; 0.0106; -32.7626
21.162; -0.341; 0.0154; -10.3472
23.142; -0.4867; 0.0223; 25.2915
25.14; -0.9666; 0.0355; 80.119
27.642; 0.0549; 0.0473; 129.684
29.64; 0.708; 0.061; 168.454
31.638; 0.2706; 0.0749; 202.339
33.882; 0.9111; 0.0939; 206.671
35.922; 1.3118; 0.1213; 202.127
38.418; 1.9802; 0.1433; 214.851
40.398; 2.4312; 0.177; 251.439
42.42; 4.5334; 0.1915; 293.167
44.46; 4.9307; 0.1994; 326.029
46.458; 4.6861; 0.2007; 334.807
48.96; 11.0819; 0.1993; 309.558
50.958; 18.0536; 0.1829; 275.232
52.962; 16.6835; 0.1723; 234.773
55.26; 12.2169; 0.1566; 195.538
57.258; 10.2425; 0.1393; 170.586
59.802; 6.8681; 0.1269; 159.976
61.782; 6.6385; 0.1146; 143.823
63.78; 6.0733; 0.1103; 129.913
65.778; 6.3719; 0.1078; 119.421
67.782; 7.0244; 0.1069; 111.091
70.26; 7.2316; 0.1046; 108.497
72.258; 7.4252; 0.1022; 109.587
74.262; 8.5888; 0.0988; 117.565
76.26; 8.9939; 0.0985; 126.849
78.6; 9.8014; 0.0952; 138.057
81.162; 10.5098; 0.0924; 151.391
83.142; 11.9803; 0.0917; 163.997
85.158; 11.3594; 0.0918; 177.061
87.162; 12.1204; 0.0902; 193.3
89.16; 12.2465; 0.0906; 207.777
91.638; 12.8944; 0.0899; 219.989
93.642; 14.1061; 0.0923; 233.807
95.622; 14.8289; 0.0944; 240.36
97.602; 14.9341; 0.0932; 244.399
99.618; 16.4038; 0.0944; 242.477
102.462; 18.3158; 0.0933; 241.482
104.442; 18.7202; 0.0926; 241.59
106.44; 20.3967; 0.0892; 242.534
108.438; 21.006; 0.0904; 241.807
110.442; 22.4411; 0.0888; 240.007
112.902; 25.4976; 0.0883; 221.206
114.9; 35.5272; 0.0892; 187.588
116.88; 50.9789; 0.0881; 155.103
118.878; 63.2037; 0.0958; 119.708
120.882; 71.997; 0.088; 90.2915
123.66; 77.0345; 0.0973; 77.0122
125.658; 79.8319; 0.0885; 74.174
127.638; 84.6179; 0.0941; 71.8318
129.618; 85.3488; 0.0796; 72.4892
131.58; 85.0603; 0.0877; 73.8709
134.1; 83.3726; 0.0787; 78.1002
136.08; 79.1869; 0.0815; 82.3524
138.078; 75.3665; 0.076; 89.3862
140.1; 72.5498; 0.0787; 91.3388
142.098; 71.3066; 0.0752; 88.3629
144.642; 66.6578; 0.0714; 80.6065
146.958; 63.4027; 0.0675; 70.4318
148.938; 61.6755; 0.0657; 56.2107
150.978; 61.303; 0.0618; 44.9658
152.958; 60.1705; 0.0574; 36.5614
155.502; 57.711; 0.0563; 28.8376
157.458; 56.0734; 0.0545; 22.9421
159.48; 54.774; 0.0517; 19.2985
161.478; 51.635; 0.0515; 17.4803
163.458; 48.783; 0.0499; 17.3685
165.96; 45.7198; 0.0477; 18.8039
167.958; 43.4942; 0.0477; 20.6034
170.262; 41.1802; 0.0465; 22.1907
172.242; 40.0793; 0.0451; 22.7852
174.222; 38.1775; 0.0445; 23.6647
176.778; 37.3857; 0.0445; 24.1501
178.782; 35.4837; 0.0421; 23.5305
180.78; 32.6279; 0.0424; 23.3802
182.76; 31.7099; 0.0414; 23.7624
184.758; 32.025; 0.042; 23.1211
187.218; 31.8749; 0.0406; 23.1864
189.24; 31.2185; 0.041; 23.3278
191.52; 29.4488; 0.0406; 23.5398
193.518; 29.5744; 0.0395; 23.374
195.522; 28.2423; 0.0376; 23.2633
198.018; 27.4025; 0.038; 22.6326
200.082; 26.8084; 0.0367; 21.4754
202.062; 25.9966; 0.0365; 20.0455
204.06; 26.0091; 0.0381; 18.4339
206.058; 25.4105; 0.0399; 16.8207
208.62; 24.6416; 0.0393; 14.8675
210.618; 24.5547; 0.0376; 14.228
212.622; 24.7766; 0.0384; 13.5516
214.902; 24.9289; 0.037; 12.3921
216.96; 23.9157; 0.037; 12.092
219.498; 23.2961; 0.0367; 11.2393
221.502; 23.1944; 0.0383; 10.0241
223.5; 22.6583; 0.0374; 9.0848
225.498; 21.9062; 0.0382; 8.193
227.502; 21.9159; 0.0369; 7.1342
229.962; 20.9971; 0.037; 6.6323
232.002; 20.8282; 0.0356; 5.7183
233.982; 20.9363; 0.0351; 4.9665
235.962; 21.2737; 0.0367; 4.5421
238.2; 21.8991; 0.0372; 3.3102
240.702; 20.5695; 0.0363; 2.4858
242.682; 20.8068; 0.0372; 2.1277
244.638; 20.2904; 0.0376; 1.2418
246.642; 20.3803; 0.0352; 0.5508
248.64; 20.0477; 0.0349; 0.7233
251.142; 20.2227; 0.0358; 0.8687
253.14; 21.2643; 0.0358; 0.8244
255.18; 21.0933; 0.0354; 1.0306
257.178; 21.7941; 0.0351; 1.1743
259.482; 21.3376; 0.0347; 1.953
262.002; 21.9566; 0.0338; 2.3524
263.982; 20.6903; 0.0335; 3.1642
265.998; 19.6771; 0.0346; 4.3814
267.978; 20.5055; 0.0346; 5.3688
269.958; 20.7839; 0.0337; 6.0453
272.442; 21.1089; 0.0341; 7.249
274.44; 21.2631; 0.0334; 8.2167
276.438; 20.8135; 0.0325; 8.8184
278.442; 21.5033; 0.0329; 9.6186
280.482; 20.6049; 0.0329; 10.628
283.38; 21.2962; 0.0334; 10.8907
285.402; 20.8155; 0.0326; 11.1583
287.4; 19.5731; 0.0334; 11.3305
289.398; 19.4445; 0.0345; 11.371
291.402; 20.0314; 0.0354; 10.5588
293.922; 19.7744; 0.0349; 9.9269
295.902; 19.2774; 0.0354; 14.2668
297.9; 19.2532; 0.0342; 12.1283
299.898; 19.496; 0.0109; 10.1178
