Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Interliner;Foam;;F3;Mattresse upholstery;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 13:11:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;;;56.11;;;;22.59;;;;;67.49;;;;F3_3;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g)
1015;20.54284797;7.92888
1020;20.89338888;8.016469
1025;20.56668477;7.837562
1030;19.32456931;7.904191
1035;15.25162591;7.83419
1040;15.01617802;7.835277
1045;14.82898645;7.722391
1050;15.18590395;7.72693
1055;15.83232891;7.706899
1060;17.54828593;7.722859
1065;20.40588983;7.739525
1070;19.31479259;7.661449
1075;13.55921155;7.665923
1080;12.58653207;7.56263
1085;12.67910281;7.554548
1090;13.05926755;7.474441
1095;13.31324923;7.556537
1100;13.3094629;7.559442
1105;13.41233051;7.462436
1110;13.71929648;7.373785
1115;12.85696078;7.466036
1120;13.03678542;7.452356
1125;12.41775229;7.287134
1130;12.14265055;7.36197
1135;12.81436535;7.352967
1140;12.24705522;7.35536
1145;12.22059107;7.263363
1150;11.65976586;7.262553
1155;10.78660981;7.266416
1160;11.93798049;7.252632
1165;12.42163669;7.270029
1170;12.80182943;7.154859
1175;11.88857378;7.132351
1180;11.85436105;7.150604
1185;11.5923562;7.15077
1190;12.11331574;7.060265
1195;11.20904223;7.071068
1200;11.05052702;7.067666
1205;11.82827517;6.957461
1210;12.16686475;6.956353
1215;10.76362047;6.973003
1220;11.01833127;6.951573
1225;11.24123761;6.954238
1230;10.38736002;6.951045
1235;10.23928457;6.959079
1240;9.440909413;6.955706
1245;8.87619152;6.864712
1250;11.06130125;6.865607
1255;10.4196339;6.880694
1260;10.47094801;6.86469
1265;10.65746813;6.768554
1270;10.43567465;6.846245
1275;10.451829;6.778778
1280;10.46940068;6.752722
1285;10.45130721;6.847602
1290;10.82818317;6.757471
1295;11.06222437;6.66272
1300;10.78856244;6.75457
1305;8.957956351;6.668705
1310;9.003514525;6.683117
1315;9.476683218;6.671427
1320;9.557755465;6.673536
1325;8.857768813;6.668319
1330;8.916114103;6.580586
1335;9.241717483;6.672452
1340;10.35455765;6.6712
1345;8.888425715;6.556234
1350;7.802748429;6.555641
1355;8.899585918;6.470085
1360;8.017609306;6.474708
1365;8.300208634;6.5629
1370;8.474907509;6.557701
1375;7.137035762;6.466655
1380;8.04230105;6.466879
1385;6.907264186;6.468678
1390;7.755433328;6.470168
1395;7.09159441;6.386972
1400;7.348216789;6.479692
1405;7.474328644;6.468962
1410;8.327636878;6.377488
1415;8.140752791;6.466056
1420;8.267778677;6.347405
1425;7.969412826;6.349151
1430;7.528767651;6.355954
1435;7.484035063;6.360597
1440;6.98256292;6.283007
1445;6.700796313;6.35577
1450;6.337706054;6.265195
1455;5.205077527;6.256528
1460;8.36549448;6.249836
1465;11.74225401;6.240465
1470;9.953831747;6.257318
1475;9.277929546;6.260447
1480;9.355336704;6.262801
1485;10.01867229;6.25472
1490;9.80795153;6.152904
1495;9.941478245;6.17173
1500;10.25485648;6.245195
1505;8.157175443;6.153922
1510;8.213448842;6.164472
1515;7.961467792;6.160951
1520;7.025527039;6.160869
1525;7.36182124;6.161769
1530;8.678788124;6.160542
1535;7.769081675;6.066056
1540;7.987792708;6.063234
1545;7.396598785;6.064991
1550;7.179070401;6.131638
1555;6.66311664;6.155902
1560;6.501045819;5.974701
1565;5.451967879;6.069403
1570;5.581744486;6.088809
1575;5.587800084;6.069879
1580;5.830310773;6.06025
1585;4.647937918;6.057179
1590;5.487940428;6.060002
1595;5.38897186;5.951799
1600;6.573099723;5.956568
1605;5.954657451;5.956972
1610;7.097776643;5.953948
1615;7.371412994;5.953556
1620;6.332474828;5.944477
1625;5.261765251;5.956713
1630;4.922876006;5.950594
1635;6.003357204;5.898677
1640;5.93348792;5.867066
1645;7.545635364;5.865043
1650;7.230142335;5.865305
1655;6.275052439;5.866191
1660;7.070170707;5.861302
1665;7.151950343;5.862893
1670;5.948723197;5.869376
1675;6.077997098;5.864082
1680;6.315190366;5.861464
