Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyamide PA12;;;;E2A-2;Cable containment;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 13:15:06
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;17;530.17;62.9;;;;;21.85;;910.42;;233.18;0.00943;;2011-06-18;c_EW_E2A-2_1;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
0;3.573250925;0.454042377
2;2.24609576;0.373939728
4;1.952166114;0.404273977
6;1.751205091;0.364598751
8;0.482887566;0.432977593
10;0.755212023;0.629781026
12;0.914599725;0.895949877
14;0.34093733;1.360019001
16;1.430421195;0.896055427
18;3.40908788;0.796857868
20;6.670847294;0.708727722
22;10.67808951;0.590863071
24;13.69673839;0.461937058
26;18.95398193;0.560150681
28;26.53319674;0.677577275
30;44.4247022;0.917444257
32;67.15013191;1.424606149
34;85.87705774;1.7410918
36;104.4804795;1.802089593
38;128.8944823;2.020083917
40;146.2157566;2.35187018
42;164.309954;2.268001278
44;174.4969556;2.478197849
46;192.3105925;2.44096508
48;205.8991346;2.763199053
50;213.3687577;2.682326052
52;220.4802063;2.726657048
54;222.3644863;2.612571512
56;221.2804147;2.545589419
58;221.8728889;2.615265364
60;221.1643606;2.775347706
62;219.0962997;2.77878338
64;216.3742702;2.845300306
66;216.5246533;3.016314677
68;216.0448968;3.158117005
70;217.1065439;3.29724133
72;218.5846531;3.259105307
74;221.0045716;3.272966007
76;224.1088569;3.083258983
78;225.0263179;3.244211805
80;229.2302154;3.013445751
