Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR particle board;;;;;;;ISO 5660;EUREFIC;Type B1, EUREFIC6;;1;2003-08-06 09:55:44
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;40;105;4.0;19;12;NA;3.4;NA;NA;110;0.01;16;628
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; -1.73309; -0.0917287; 0
5; -1.72365; -0.0517782; 0
10; 3.43031; 0.0147919; 0
15; -1.7165; 0.00739441; 0
20; -1.71127; 0.0177561; 0
25; 3.42031; 0.0295883; 0
30; 44.4069; 0.0147929; 0
35; 95.2962; 0.0221919; 0
40; 104.699; 0.0591751; 79.7818
45; 91.6262; 0.122787; -11.6478
50; 76.3961; 0.128706; -15.4229
55; 62.092; 0.105036; -18.3753
60; 52.1683; 0.099117; -17.9174
65; 42.9262; 0.0798859; -17.7246
70; 33.1118; 0.0591751; -28.9099
75; 13.3284; 0.0606542; 1.84808
80; 13.3562; 0.0754496; 62.6531
85; 8.40689; 0.0503011; 293.359
90; 8.43246; 0.0532557; 337.562
95; 8.44248; 0.0547353; 223.706
100; 8.47163; 0.041423; 331.99
105; 8.50122; 0.0532598; 264.66
110; 13.5559; 0.0636129; 201.086
115; 8.46995; 0.0636129; 167.524
120; 13.5463; 0.0503011; 206.222
125; 13.5502; 0.0636129; 169.062
130; 8.49877; 0.0636134; 161.775
135; 8.47502; 0.050297; 201.513
140; 8.5052; 0.0621338; 158.588
145; 13.5761; 0.0754501; 118.361
150; 13.5216; 0.0813609; 108.152
155; 13.5427; 0.00148671; 5757.71
