Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Acrylic Pile- FR Treated Backcoated- Cellulosic Ground; Interliner: Kevlar;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:47:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;353;40;;;22.6;17.670;0.1379;5.344;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 2.4; 0.016; 0.0002
5; 2.8; 0.000; 0.0002
10; 0.0; 0.010; 0.0002
15; 3.6; 0.000; 0.0081
20; 172.4; 0.094; 0.0191
25; 353.2; 0.267; 0.0999
30; 319.5; 0.237; 0.1379
35; 264.3; 0.146; 0.1054
40; 239.3; 0.139; 0.0683
45; 208.3; 0.121; 0.0578
50; 170.5; 0.099; 0.0494
55; 142.6; 0.086; 0.0399
60; 126.5; 0.071; 0.0337
65; 116.9; 0.070; 0.0275
70; 112.0; 0.071; 0.0228
75; 109.2; 0.068; 0.0226
80; 106.1; 0.067; 0.0204
85; 103.4; 0.063; 0.0192
90; 99.8; 0.071; 0.0160
95; 97.0; 0.059; 0.0158
100; 90.2; 0.049; 0.0128
105; 84.2; 0.055; 0.0105
110; 76.6; 0.049; 0.0094
115; 70.2; 0.046; 0.0069
120; 65.5; 0.045; 0.0073
125; 61.6; 0.047; 0.0067
130; 58.7; 0.039; 0.0060
135; 56.8; 0.037; 0.0074
140; 57.6; 0.046; 0.0074
145; 60.1; 0.046; 0.0072
150; 63.8; 0.043; 0.0063
155; 67.9; 0.043; 0.0072
160; 73.1; 0.048; 0.0069
165; 78.2; 0.051; 0.0076
170; 81.9; 0.049; 0.0077
175; 85.3; 0.050; 0.0083
180; 88.0; 0.054; 0.0080
185; 89.7; 0.046; 0.0079
190; 92.3; 0.046; 0.0073
195; 94.3; 0.051; 0.0070
200; 96.5; 0.048; 0.0079
