Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;IN6-1;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 15:26:48
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;38;463.9;44.56;;;22.5;18.4;21.44;;16;;230.09;0.0884;rise and touch the spark, mass error. grid used;2011-02-16;c_CID_IN6-1_50a;1.95;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
272;23.68791378;3.786114;0.046128559
274;23.49880988;3.880526;0.067160039
276;23.39730657;3.763833;0.0346308
278;23.46443562;3.765522;0.050842526
280;23.52228147;3.752827;0.055803872
282;23.85872429;3.702044;0.049240624
284;23.25447627;3.693421;0.063961484
286;22.12450584;3.76454;0.060870896
288;21.82457648;3.704131;0.040700079
290;22.1625126;3.691093;0.053170606
292;21.52408646;3.688552;0.036150793
294;21.39815221;3.688402;0.041392994
296;21.57335458;3.687859;0.042323426
298;21.03266801;3.690658;0.047373161
300;20.96663863;3.597652;0.060047212
302;21.39866538;3.689729;0.050525935
304;20.06294857;3.691563;0.044453662
306;19.30108804;3.691419;0.057841133
308;18.9744117;3.691907;0.050978719
310;17.76755735;3.593845;0.033174795
312;17.94756906;3.576053;0.055973685
314;18.38852688;3.577877;0.048308499
316;17.3905545;3.578504;0.044252359
318;17.36351805;3.486904;0.04543075
320;18.31310515;3.580464;0.053975012
322;18.59556344;3.465873;0.046945886
324;20.05355047;3.464624;0.059429453
326;20.27826748;3.557563;0.048210749
328;20.73215557;3.484527;0.059640984
330;23.1430696;3.466638;0.047171189
332;24.22387465;3.559596;0.056993361
334;23.32409484;3.578793;0.042286507
336;22.61223048;3.466711;0.049582121
338;19.80919341;3.467296;0.05607183
340;18.67840672;3.469179;0.052968525
342;19.97768765;3.387688;0.064487881
344;19.51829554;3.455489;0.044798757
346;18.83510909;3.400383;0.053762482
348;19.27498588;3.443886;0.055751717
350;17.80928375;3.39354;0.041042066
352;17.18049078;3.388485;0.051442362
354;17.13080141;3.455179;0.068272421
