Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-2;Curtain and sunblind in driver's cab;;ISO 5660;TRANSFEU;sample prepared according ISO 5660 like test a, but a grid is inserted on the top to maintain the sample.;TRANSFEU;1;2011-03-28 15:49:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;12;106.2;3.2;;;3.0;2.7;10.5;;207;;61.4;0.00884;Retracting;;C_LNE_IN8-2_1c;0.74;;;;;;;;;;0.30;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
366;0.9;0.00;0.0
368;0.7;0.00;0.0
370;0.3;0.00;0.0
372;0.9;0.00;0.0
374;1.6;0.00;0.0
376;2.6;0.00;0.0
378;3.0;0.00;0.0
380;2.5;0.00;0.0
382;2.2;0.00;0.0
384;2.8;0.00;0.0
386;2.9;0.00;0.0
388;2.9;0.00;0.0
390;3.4;0.00;0.0
392;2.9;0.00;0.0
394;3.6;0.00;0.0
396;4.6;0.00;0.0
398;4.1;0.00;0.0
400;4.5;0.00;0.0
402;4.4;0.00;0.0
404;4.5;0.00;0.0
406;5.4;0.00;0.0
408;6.0;0.00;0.0
410;6.4;0.00;0.0
412;6.6;0.00;0.0
414;7.3;0.00;0.0
416;5.8;0.00;0.0
418;5.4;0.00;0.0
420;4.6;0.00;0.0
422;3.2;0.00;0.0
424;2.8;0.00;0.0
426;2.6;0.00;0.0
428;2.5;0.00;0.0
430;2.6;0.00;0.0
432;3.3;0.00;0.0
434;3.4;0.00;0.0
436;4.7;0.00;0.0
438;4.2;0.00;0.0
440;4.6;0.00;0.0
442;5.2;0.00;0.0
444;5.5;0.00;0.0
446;5.6;0.00;0.0
448;6.2;0.00;0.0
450;4.8;0.00;0.0
452;3.0;0.00;0.0
454;2.5;0.00;0.0
456;1.2;0.00;0.0
458;1.2;0.00;0.0
460;1.8;0.00;0.0
462;1.9;0.00;0.0
464;0.5;0.00;0.0
466;0.0;0.00;0.0
468;0.0;0.00;0.0
470;0.6;0.00;0.0
472;1.6;0.00;0.0
474;0.3;0.00;0.0
476;0.6;0.00;0.0
478;1.2;0.00;0.0
480;0.7;0.00;0.0
482;0.3;0.00;0.0
484;0.4;0.00;0.0
486;0.0;0.00;0.0
488;0.0;0.00;0.0
490;0.0;0.00;0.0
492;0.0;0.00;0.0
494;0.3;0.00;0.0
496;0.0;0.00;0.0
498;0.0;0.00;0.0
500;0.0;0.00;0.0
502;0.0;0.00;0.0
504;0.0;0.00;0.0
506;0.2;0.00;0.0
508;0.0;0.00;0.0
510;0.0;0.00;0.0
512;0.0;0.00;0.0
514;0.0;0.00;0.0
516;0.0;0.00;0.0
518;0.0;0.00;0.0
520;0.0;0.00;0.0
522;0.0;0.00;0.0
524;0.8;0.00;0.0
526;0.6;0.00;0.0
528;0.3;0.00;0.0
530;1.0;0.00;0.0
532;1.0;0.00;0.0
534;1.2;0.00;0.0
536;1.5;0.00;0.0
538;0.7;0.00;0.0
540;0.4;0.00;0.0
