Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;X;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 12:58:08
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;;;41.99;;;;13.50;;;;;84.73;;;;EX11-2_1;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g)
0;1.91312753;68.8
5;4.167379335;69.14102
10;7.742045079;69.272681
15;5.073934419;69.457292
20;0.536817647;69.47316
25;-1.124204471;69.478596
30;-2.497028356;69.477682
35;6.88183043;69.45663
40;99.32734235;69.38318
45;136.3028152;69.26289
50;157.9184762;68.98889
55;197.8374022;68.788828
60;245.8054477;68.48986
65;209.8032172;68.283009
70;120.7114587;67.780679
75;62.97848533;67.574797
80;31.05515005;67.547701
85;6.117814631;67.354648
90;-7.177226295;67.344269
95;-12.07120334;67.350972
100;-4.52951152;67.273938
105;9.531196146;67.25164
110;14.46994855;67.254773
115;10.18128994;67.260692
120;7.293585831;67.14122
125;5.740577821;67.149397
130;1.867176344;67.151792
135;-0.614021538;67.146162
140;-2.457187791;67.140601
145;-2.351219012;67.052345
150;3.449987743;67.151227
155;8.045890481;67.151541
160;5.735153389;67.017913
165;-1.401291944;66.965499
170;-1.755108863;67.040291
175;5.991991983;66.981445
180;3.135104758;66.963613
185;8.500225119;67.129834
190;8.36108817;66.96701
195;7.805121214;66.946425
200;13.38849381;66.853455
205;10.32024592;66.833548
210;7.009369732;66.857844
215;2.452376705;66.858136
220;0.422038463;66.767263
225;-0.56335308;66.769972
230;-0.454414637;66.769374
235;-0.811757073;66.764844
240;6.089615892;66.764713
245;15.14021382;66.741218
250;21.38806377;66.728205
255;28.32390462;66.739523
260;27.62589912;66.7359
265;25.81274121;66.660491
270;27.47862951;66.568098
275;30.91964475;66.526038
280;32.72182473;66.43323
285;36.17216576;66.436772
290;40.30982097;66.2995
295;45.44285068;66.225547
300;52.08644033;66.229977
305;60.76905356;66.135311
310;65.34892023;65.857245
315;69.41468464;65.82004
320;77.17817334;65.641666
325;83.81094638;65.538313
330;92.1715629;65.452731
335;102.7388384;65.343945
340;110.9200256;65.238786
345;125.4546508;64.957875
350;138.0149468;64.755978
355;149.7821605;64.648254
360;160.9737481;64.329461
365;172.9459974;64.056153
370;191.517927;63.857188
375;202.1291452;63.451923
380;214.542007;63.262777
385;220.3028534;62.922065
390;229.1059902;62.542477
395;236.4404223;62.248064
400;309.1419356;61.844058
405;338.6582815;61.44855
410;359.7735714;60.954156
415;360.5767349;60.353555
420;316.6242574;59.858958
425;296.7524208;59.445697
430;270.3169493;59.023546
435;246.0172096;58.547501
440;194.8187642;58.238283
445;172.1410546;57.997233
450;156.6860113;57.647841
455;141.5059097;57.354004
460;128.1548488;57.173485
465;108.6444475;56.959248
470;89.65137251;56.778539
475;75.61163242;56.582786
480;60.86624746;56.561975
485;50.12767622;56.374576
490;40.42693198;56.356408
495;34.36083314;56.170951
500;27.90971753;56.270375
505;24.43884413;56.080054
510;21.20995818;56.063035
515;17.97325869;56.065253
520;15.70129784;56.067292
525;14.17076948;56.064966
530;10.75669218;56.062416
535;8.096682983;55.952832
540;5.302245811;55.954178
545;3.170518593;55.974352
550;1.163971281;55.880999
555;-0.167500269;55.951581
560;-1.224526917;55.877252
565;0.700998735;56.031879
570;-0.981069897;55.955661
575;-1.294636165;55.954955
580;-2.401586256;55.952865
585;-1.379822017;55.954208
590;-4.826340263;55.843149
595;-3.928901723;55.956401
600;-4.275667789;55.95957
605;-3.994954469;55.962386
610;-3.6425917;55.852011
615;-3.033524222;55.949077
620;-3.139718782;55.854132
625;-3.065693814;55.85757
630;-3.033798936;55.856457
635;-2.869783206;55.86264
640;-3.433042636;55.855054
645;-2.983743923;55.856829
650;-2.191352166;55.857258
655;-2.184542708;55.844125
660;-3.667433052;55.778314
665;-4.840099862;55.835108
670;-3.718085696;55.763186
675;-2.422398738;55.829206
680;-3.19726211;55.852981
685;-3.089184341;55.768842
690;-3.413368662;55.764521
695;-4.727844564;55.767242
700;-2.542498596;55.769386
705;-2.538091251;55.767421
710;-2.380086129;55.76572
715;-2.14681636;55.764996
720;-2.110158176;55.68112
725;-0.410417773;55.748158
730;-1.405679265;55.779021
735;-2.009119554;55.762763
740;-2.732301064;55.758704
745;-4.450400584;55.647086
750;-3.189746872;55.654942
755;-4.218280904;55.652538
760;-3.351695744;55.638975
765;-3.498997606;55.654103
770;-3.905069468;55.660623
775;-2.553136327;55.654541
780;-2.515045542;55.583067
785;-1.185298083;55.56755
790;-2.190286044;55.647027
795;-3.500485403;55.566369
800;-4.031885466;55.564103
805;-3.680237873;55.646989
810;-3.626485798;55.559214
815;-3.349202383;55.559045
820;-1.99069377;55.559087
825;-1.891259215;55.566853
830;-3.48478232;55.581047
835;-3.373895292;55.555546
840;-2.376284106;55.565453
845;-2.606920932;55.481428
850;-2.176965922;55.463246
855;-1.966414387;55.460143
860;-2.005306352;55.461364
865;-2.294707527;55.448703
870;-2.454157217;55.454163
875;-3.569534631;55.453917
880;-3.590459123;55.375615
885;-2.350479836;55.368043
890;-3.204722144;55.451588
895;-3.151198545;55.451843
900;-3.951685387;55.360474
905;-4.602065664;55.365529
910;-3.583964632;55.361535
915;-4.127739389;55.362761
920;-3.605928238;55.369023
925;-2.981517354;55.333851
930;-1.927608996;55.368595
935;-2.956077409;55.260431
940;-2.190449504;55.346421
945;-3.415446199;55.252323
950;-2.124530187;55.255265
955;-2.982188238;55.258038
960;-2.740321123;55.344556
965;-2.774074194;55.253689
970;-2.172323572;55.233068
975;-3.405916313;55.253282
980;-3.470994719;55.253236
985;-3.836028565;55.250831
990;-3.799652095;55.182449
995;-4.143725443;55.164739
1000;-3.326954646;55.162167
1005;-1.110166706;55.168914
1010;-1.27859343;55.245851
1015;-1.360053352;55.145629
1020;-2.187434022;55.162767
1025;-3.020680741;55.164765
1030;-4.205466639;55.159294
1035;-4.03683023;55.131753
1040;-4.450508607;55.152776
1045;-5.530467477;55.042756
1050;-4.573246052;55.165331
1055;-3.476858803;55.066016
1060;-3.211540262;55.061686
1065;-4.07609472;55.135339
1070;-4.081087825;55.057031
1075;-3.306782168;55.052483
1080;-2.337674959;54.971131
1085;-3.278877729;54.970432
1090;-2.31999542;54.964987
1095;-2.162343795;54.980511
1100;-1.938447609;54.960607
1105;-1.890258362;54.849479
1110;-3.255045403;54.961702
1115;-4.056108952;54.956151
1120;-4.813937293;54.842214
1125;-6.555952623;54.933258
1130;-5.58392874;54.958003
1135;-6.307747749;54.962281
