Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:36:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;33;46.94;4.05;;;1.81;1.62;22.31;;318.55;;22.01;0.0088;Distortion. Melting. End flame at 135s.
;2010-07-27;c_LSFIRE_IN8-3_50c;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
259;2.164966795;0.61205558;0.200674707
261;2.243871712;0.80624605;0.198969527
263;2.151825161;0.63153588;0.123010062
265;2.2199075;0.58642989;0.068308418
267;2.0854873;0.57525614;0.065811506
269;2.160445341;0.56342947;0.124801065
271;2.086114535;0.57764211;0.198509833
273;2.29542893;0.53454405;0.217532498
275;2.322438227;0.53819589;0.227182044
277;2.516715778;0.5767679;0.180607411
279;2.100281095;0.57480959;0.11381766
281;1.9672235;0.57096499;0.081058441
283;1.678548885;0.55515454;0.062706897
285;1.754521439;0.57490268;0.105048915
287;1.792211577;0.57669325;0.142042325
289;1.810650464;0.36768026;0.197350171
291;1.899961832;0.54801463;0.201570285
293;1.807444437;0.57472792;0.224193476
295;1.690387876;0.62557622;0.172201913
297;1.437444837;0.58021337;0.139415171
299;1.515575609;0.56970263;0.16069159
301;1.397570836;0.53336643;0.197284849
303;1.624649724;0.54771474;0.264377541
305;1.644792313;0.55877477;0.289577481
307;1.675123908;0.58059493;0.285430873
309;1.473422614;0.61720557;0.197409927
311;1.424217516;0.56964599;0.151321792
313;1.45313863;0.57516349;0.072174265
315;1.357932804;0.57398983;0.077892192
317;1.691471576;0.53391308;0.126104959
319;1.584791061;0.53672716;0.179595684
321;1.477419951;0.52691544;0.187175915
323;1.45944593;0.55957082;0.175936437
325;1.435150425;0.57374043;0.196298924
327;1.230220643;0.58682243;0.148026097
329;1.265664911;0.53704066;0.181011787
331;1.524506286;0.50384301;0.19257451
333;1.431248172;0.49513031;0.305141649
335;1.697068222;0.4907294;0.261688794
337;1.762596342;0.55213805;0.288629082
339;1.597905715;0.53029286;0.202152667
341;1.273289846;0.55829749;0.147334926
343;1.208225136;0.5043967;0.120915274
345;1.228605903;0.51185011;0.184357065
347;1.420998783;0.50500263;0.184649482
349;1.438552167;0.47840701;0.211193688
351;1.447092847;0.47878857;0.211193688
353;1.214639539;0.48458752;0.143791119
355;1.249063613;0.5333818;0.072521829
357;1.232788943;0.56674981;0.062637904
359;1.21135924;0.47931284;0.04329135
361;1.231267698;0.47007543;0.080290943
363;1.22635032;0.46888421;0.118910628
365;1.315736342;0.481492;0.170523833
367;1.221890878;0.48813267;0.153175053
369;1.237496131;0.50580834;0.145977401
371;1.232008856;0.5094716;0.108977808
373;1.239411877;0.51599855;0.111227951
375;1.232719795;0.50344784;0.107058195
377;1.230469616;0.4825695;0.22689664
379;1.223792672;0.51702908;0.231760764
381;1.22000703;0.50854777;0.231760764
383;1.227101983;0.48551135;0.172146019
385;1.241229548;0.47629898;0.19128696
387;1.235692607;0.48232274;0.106098092
389;1.243472026;0.46176186;0.120814672
391;1.226606254;0.44254545;0.156975747
393;1.234734839;0.49681375;0.156975747
395;1.216056856;0.46306023;0.090391356
397;1.235905029;0.499068;0.05574178
399;1.236730176;0.53287158;0.036161075
401;1.231653197;0.49037286;0.07016502
403;1.24764827;0.45768587;0.134825895
405;1.218457555;0.40812188;0.20035179
407;1.227100358;0.41012585;0.266481929
409;1.249427561;0.43594034;0.266481929
411;1.202784132;0.47898133;0.210454143
413;1.234934329;0.46357746;0.151717585
415;1.221066621;0.49406774;0.090197178
417;1.239872794;0.4675472;0.079955082
419;1.232761271;0.45339867;0.138523275
421;1.234318156;0.45210031;0.168163551
423;1.22271112;0.43252034;0.200283827
425;1.243505152;0.46220446;0.20355769
427;1.247098767;0.50835897;0.161305641
429;1.247777431;0.46596036;0.10860769
431;1.210638462;0.44764231;0.090984446
433;1.235898076;0.41971979;0.082059527
435;1.218442108;0.41306067;0.142315528
437;1.23475742;0.38905081;0.210307604
439;1.244331984;0.4517328;0.216226881
441;1.236188196;0.4373274;0.190072615
443;1.227353341;0.45838488;0.160952941
445;1.228308757;0.47505506;0.155290424
447;1.228915524;0.44305566;0.083970142
449;1.225172971;0.38141518;0.12249274
451;1.224806297;0.41631734;0.191907773
453;1.22364064;0.41745896;0.227171239
455;1.218461052;0.40715503;0.22033941
457;1.226649063;0.37851241;0.210031622
459;1.204555441;0.39361682;0.17937651
461;1.214915754;0.47431301;0.109961477
463;1.21546926;0.50816621;0.082811335
465;1.231845851;0.42924962;0.073156178
467;1.242631044;0.38579546;0.170633536
469;1.235045786;0.3966377;0.194171988
471;1.218748473;0.3603555;0.207162509
473;1.225021662;0.37361226;0.242530026
475;1.227757158;0.45796424;0.197144178
477;1.204355843;0.39793563;0.09966682
479;1.212995455;0.44996418;0.056471363
481;1.242862134;0.41646707;0.077552287
483;1.231513077;0.39838525;0.034071445
485;1.219631723;0.44744297;0.11570998
487;1.199577695;0.42475606;0.143451123
489;1.218820145;0.40442701;0.19416827
491;1.197363049;0.38370543;0.207104076
493;1.224763177;0.39441551;0.253838586
