Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Acrylic Pile- FR Treated Backcoated- Cellulosic Ground; Interliner: Kevlar;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:46:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;335;18;;;23.6;7.320;0.137;12.0405;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
0; 0.0; 0.000; 0.0010
5; 0.0; 0.007; 0.0010
10; 0.0; 0.009; 0.0012
15; 0.0; 0.004; 0.0064
20; 110.9; 0.040; 0.0147
25; 335.4; 0.225; 0.0703
30; 334.5; 0.272; 0.1370
35; 272.0; 0.161; 0.1068
40; 238.5; 0.139; 0.0733
45; 219.6; 0.127; 0.0580
50; 194.1; 0.119; 0.0514
55; 169.2; 0.110; 0.0461
60; 147.3; 0.093; 0.0393
65; 126.4; 0.076; 0.0303
70; 108.8; 0.074; 0.0223
75; 94.7; 0.061; 0.0166
80; 83.4; 0.059; 0.0150
85; 75.2; 0.058; 0.0131
90; 68.0; 0.050; 0.0111
95; 62.0; 0.050; 0.0102
100; 58.0; 0.045; 0.0095
105; 55.1; 0.047; 0.0067
110; 51.2; 0.045; 0.0051
115; 45.2; 0.041; 0.0050
120; 38.1; 0.041; 0.0091
125; 30.5; 0.038; 0.0101
130; 25.2; 0.032; 0.0135
135; 18.0; 0.035; 0.0178
140; 11.6; 0.031; 0.0287
145; 8.8; 0.030; 0.0279
150; 8.1; 0.029; 0.0264
155; 7.6; 0.027; 0.0269
160; 7.3; 0.031; 0.0274
