Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber and epoxy adhesive;Aluminium plate;;;IN16-2;Floor composite for passenger trains;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:40:57
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;35;64.56;36.8;;;;;15.66;;694.55;;35.38;;;2011-06-18;c_EW_in16-2_3;6;3;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
360;45.50402895;0.708903045
362;46.098506;0.721367409
364;45.40268445;0.711378649
366;45.62559733;0.681836168
368;45.64273447;0.691921568
370;46.4203519;0.631683462
372;46.30534338;0.692122556
374;47.40594939;0.682168293
376;47.07544049;0.661354487
378;47.61041636;0.672378673
380;46.97307246;0.651293264
382;47.07944136;0.61287102
384;46.95955376;0.642715186
386;46.99649494;0.593304621
388;47.68868302;0.612867254
390;47.02145833;0.633073534
392;47.25402803;0.622171637
394;47.43382341;0.594229458
396;47.24739672;0.514923455
398;47.02249313;0.604190827
400;47.84356744;0.603983615
402;47.75326014;0.573606636
404;48.26385955;0.573381934
406;48.29987548;0.584180874
408;49.14268426;0.624000362
410;48.51291571;0.534073702
412;49.10951866;0.533103183
414;48.99946629;0.503288816
416;49.11304531;0.572592308
418;49.15495936;0.613402373
420;49.9078941;0.563906836
422;48.12219277;0.592244414
424;48.80529551;0.542170543
426;49.27766265;0.612168535
428;49.71334424;0.552924517
430;49.79312319;0.514261906
432;50.05391941;0.581598748
434;50.07374977;0.543183113
436;50.10810639;0.553004107
438;50.20768533;0.513503206
440;50.04533165;0.560965418
442;49.98318556;0.531230388
444;50.20888095;0.542190512
446;51.44295723;0.622463083
448;50.30325874;0.593871498
450;50.88651734;0.620013558
452;51.12837346;0.619765771
454;52.06402366;0.650849451
456;51.37107179;0.660615797
458;52.09763433;0.651782188
460;51.62437289;0.652966869
462;51.92966423;0.573819369
464;52.1329525;0.582708917
466;52.58719637;0.573057798
468;52.61600024;0.593836804
470;52.68427351;0.612728743
472;52.60385046;0.563121332
474;53.02494931;0.533613281
476;53.45987097;0.533610429
478;53.49140846;0.542610768
480;54.0228513;0.523909018
482;53.12653423;0.455294448
484;54.14590767;0.48524706
486;53.66220595;0.425014827
488;54.82409304;0.533081642
490;54.62804432;0.514195889
492;55.28124388;0.474595681
494;55.34492449;0.533972654
496;55.53687334;0.533311073
498;56.21569787;0.514318102
500;56.184506;0.553661694
502;56.35728906;0.504896536
504;57.07491079;0.474075478
506;57.41375632;0.504821071
508;57.88959731;0.475169281
510;58.72310562;0.505065933
512;58.96479824;0.503248349
514;59.56401477;0.513928178
516;58.42111414;0.494232407
518;60.01141433;0.573448901
520;59.5438468;0.543005867
522;59.69047462;0.562835559
524;59.12198886;0.545016914
526;60.71158075;0.474786768
528;59.9703354;0.465605684
530;60.43730677;0.474878036
532;59.55133471;0.49466462
534;60.48508527;0.436033429
536;60.1359405;0.486296933
538;60.69490733;0.454955684
540;59.9741142;0.465648529
542;60.32488385;0.474851614
544;59.88268575;0.434337155
546;59.61314787;0.463370919
548;60.56520519;0.455041822
550;60.84722582;0.406242109
552;61.04998016;0.395745036
554;60.78458996;0.415452461
556;60.51089274;0.426077759
558;60.22121034;0.474942876
560;59.92064928;0.484813607
562;60.05502745;0.444909374
564;61.12886282;0.483712355
566;61.0460877;0.505446621
568;61.84246626;0.486318799
570;60.2385674;0.463948203
572;59.6053672;0.431981087
574;60.13754141;0.365884713
576;60.7074528;0.365974628
578;60.64131244;0.357328258
580;60.47830713;0.356065858
582;59.72315257;0.394905978
584;59.69646611;0.385033329
586;60.62524199;0.50353005
588;59.98895825;0.464701176
590;60.59129126;0.39492553
592;60.63281826;0.445632294
594;60.54353594;0.445126232
596;60.45066376;0.4152667
598;60.94913727;0.453984456
600;60.4784301;0.434914304
602;60.62985138;0.444928608
604;59.98574984;0.394712502
606;59.85419946;0.404341957
608;60.28702698;0.395360661
610;59.30933095;0.395261185
612;59.95552174;0.355717506
614;59.43784466;0.355190282
616;60.07486273;0.356297626
618;59.74010572;0.386272729
620;59.45501108;0.336635678
622;59.9311396;0.395261185
624;59.80839014;0.364823532
626;60.0516019;0.346039594
628;60.1744105;0.345887352
630;59.46803754;0.336054587
632;60.62074357;0.404502054
634;60.07669512;0.416006455
636;61.26184225;0.404382033
638;60.51186531;0.559089812
640;60.87744389;0.600832526
642;62.16782035;0.623640779
644;61.26308881;0.591833929
646;61.85147147;0.640008619
648;62.55070621;0.671910237
650;61.42003263;0.652499619
652;62.47360615;0.622443624
654;61.59205119;0.611443733
656;62.55021294;0.573437041
658;62.62590587;0.621579343
660;62.4460581;0.55161137
662;62.66274954;0.573292712
664;62.55348509;0.592091382
666;63.5515572;0.513374669
668;63.26197685;0.633906177
670;63.3817226;0.603032004
672;63.01228881;0.611706232
674;62.2330307;0.563488921
676;63.1197956;0.543932055
678;61.4545533;0.582223042
680;61.54279382;0.473722555
682;61.60446657;0.513069464
684;61.7887985;0.532961135
686;61.23431958;0.532620908
688;61.0901381;0.531802243
690;60.62890836;0.512207551
692;60.22340918;0.522912933
694;60.64306437;0.484169737
696;59.18552943;0.484169737
698;59.83481988;0.542517033
700;59.6737564;0.49412432
702;59.41667529;0.444558316
704;59.19027095;0.414779423
706;59.11272688;0.434680947
708;58.43960721;0.425450947
710;58.48365992;0.454912343
712;57.47596156;0.474082228
714;57.90067894;0.473665275
716;57.71180879;0.424513633
718;56.52815321;0.463820144
720;56.71366736;0.454870122
722;56.56136487;0.435755135
724;55.90620417;0.42361427
726;56.22272119;0.414460452
728;54.75354643;0.375468085
730;55.00432329;0.404532071
732;55.70264309;0.335333221
734;54.37956856;0.355165382
736;55.06764231;0.405052105
738;54.28062865;0.385331364
740;54.3054038;0.365644046
742;53.83578028;0.374896792
744;53.30694491;0.344347986
746;53.96819352;0.335186911
748;53.45901206;0.373198046
750;52.73219227;0.382997894
752;52.66725861;0.4140183
754;51.95859774;0.404957879
756;51.90042654;0.474585451
758;52.12390488;0.523894617
760;50.76992628;0.503087385
