Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR particle board;;;;;;;ISO 5660;EUREFIC;Type B1, EUREFIC6;;1;2003-08-06 10:00:02
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;70;65;2.0;10;6.3;NA;3.6;NA;NA;137;0.01;16;628
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; -6.97265; -0.0591777; 0
5; -1.72603; -0.0355026; 0
10; -1.72806; 0.0118327; 0
15; 3.4374; 0.0207108; 0
20; -6.8591; 0.00739899; 0
25; -1.72358; 0.008874; 0
30; -6.89008; 0.008874; 0
35; -6.88862; 0.00739899; 0
40; -6.60495; 0.0192312; 0
45; -6.86477; 0.0177516; 0
50; -6.89697; 0.0162766; 0
55; -1.72619; 0.0281092; 0
60; 8.60383; 0.0281052; 0
65; 34.4052; 0.0133138; 0
70; 54.7357; 0.0340286; 199.868
75; 64.4676; 0.0636129; 27.5651
80; 63.6802; 0.0798859; 4.01584
85; 53.0682; 0.100597; 3.22904
90; 33.097; 0.100597; 5.18885
95; 23.3415; 0.081365; 8.55636
100; 13.4718; 0.0532598; 47.0379
105; 8.55195; 0.0207123; 571.509
110; 3.42764; 0.0355036; 335.594
115; 3.42407; 0.04882; 201.628
120; 3.43951; 0.0251505; 371.192
125; 3.4278; 0.0118347; 780.573
130; 3.42336; 0.0488159; 181.359
135; 8.53793; 0.0473409; 182.927
140; 8.55942; 0.0221919; 364.568
145; 3.44104; 0.0369832; 227.282
150; 3.41963; 0.0547358; 159.236
155; 3.43143; 0.0399414; 229.357
