Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber and epoxy adhesive;Aluminium plate;;;IN16-2;Floor composite for passenger trains;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:40:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;23;50.53;30;;;;;12.25;;609.45;;29.24;0.00943;;2011-06-18;c_EW_in16-2_2;6;3;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
362;38.03628163;0.432555514
364;38.18413562;0.522803778
366;39.09640502;0.473505865
368;39.28304024;0.464729392
370;40.08539943;0.4449112
372;39.9173731;0.513214804
374;39.26009276;0.503393917
376;40.22741584;0.404967141
378;39.86293101;0.414619598
380;40.68201157;0.395087603
382;41.00818532;0.414821974
384;41.3246398;0.424136465
386;42.10073299;0.462883519
388;42.75061265;0.47412745
390;42.89004377;0.552387667
392;41.87685485;0.472661129
394;41.39949279;0.481411508
396;42.22575159;0.492257161
398;41.85692117;0.52163813
400;41.76908845;0.570932626
402;41.20830914;0.464294031
404;40.48685716;0.572928439
406;41.17011166;0.493879646
408;41.03466264;0.444491912
410;40.72122419;0.474076809
412;41.31717359;0.50370661
414;40.77236385;0.543159789
416;41.50026204;0.511819094
418;41.77679559;0.553089611
420;41.93514116;0.542147573
422;41.79161551;0.503830186
424;41.64097424;0.492811755
426;42.70202642;0.512649868
428;42.01317051;0.462581974
430;41.18436159;0.542439107
432;41.79571026;0.482454073
434;41.34434056;0.552138772
436;41.48449518;0.543451072
438;41.68084477;0.562164166
440;40.56789942;0.601584266
442;42.11696752;0.53247017
444;42.05951731;0.612525732
446;42.33213462;0.552842616
448;42.76263762;0.553059417
450;42.22161476;0.553059417
452;42.11960771;0.551946122
454;42.36617597;0.582659053
456;41.41325773;0.513706108
458;41.51023331;0.553085043
460;42.0903529;0.453294095
462;42.1474104;0.57261183
464;42.42937672;0.503997248
466;41.90053768;0.464945806
468;41.6714311;0.47393344
470;41.20570809;0.454296303
472;41.27660914;0.484162789
474;41.58889109;0.473304565
476;41.40463293;0.463444053
478;42.64758349;0.433840819
480;42.07734913;0.385371977
482;42.20582796;0.355657271
484;43.67754134;0.385502997
486;43.04715063;0.394477036
488;43.17357865;0.403860729
490;43.8043664;0.365607267
492;43.54382191;0.345148534
494;44.57537345;0.324977187
496;44.51544765;0.305777795
498;45.71099114;0.316169037
500;44.97257894;0.325649448
502;44.37396733;0.315765057
504;45.42176077;0.325617047
506;45.14607347;0.295650181
508;45.93140859;0.296043575
510;45.49071687;0.335630812
512;45.28192496;0.326319933
514;45.49318057;0.296581047
516;45.86171058;0.325950631
518;45.46656582;0.276564172
520;46.06567465;0.325934126
522;45.91371722;0.295778343
524;46.56809254;0.335777698
526;46.63047313;0.346179609
528;46.51119677;0.296157957
530;47.15346551;0.286468598
532;46.34866958;0.296201032
534;45.96489303;0.306555365
536;46.15978864;0.2867776
538;45.56850065;0.306735453
540;45.42752854;0.31596282
542;45.84607651;0.246469413
544;45.76941615;0.267025189
546;45.12028007;0.296141743
548;45.79207097;0.306013135
550;45.02851426;0.286931274
552;45.38364672;0.31659832
554;44.94051029;0.306675489
556;44.49959756;0.305502269
558;44.9609905;0.257136142
560;44.62516715;0.21743838
562;43.98659765;0.275707547
564;43.94493723;0.256934222
566;43.4080262;0.226909827
568;43.10825475;0.276115866
570;43.01948531;0.3256459
572;42.97250606;0.237646421
574;42.9272856;0.306825508
576;42.93930566;0.335976261
578;42.5873371;0.345179177
580;43.21654403;0.326110572
582;43.48975657;0.35507708
584;42.88266086;0.345687666
586;43.22730137;0.315996196
588;42.68078966;0.295795756
590;42.25682308;0.286048371
592;42.59153878;0.345874849
594;42.1994906;0.306166276
596;43.08007149;0.277119501
598;43.17616737;0.355652461
600;42.93344643;0.364742283
602;43.50783921;0.3649762
604;43.03764237;0.404155298
606;43.26295686;0.385271302
608;43.00986401;0.365461031
610;42.31548175;0.325152145
612;43.17026593;0.345723307
614;42.16260563;0.365316909
616;42.36537491;0.33581171
618;42.5609764;0.316074405
620;43.0689396;0.267104091
622;43.13954678;0.307169339
624;42.18001737;0.326986716
626;42.67308394;0.286792531
628;42.93504784;0.316089881
630;42.40084359;0.296189151
632;42.55928704;0.285740644
634;42.39991257;0.3158414
636;43.02337701;0.315345865
638;42.27399401;0.403260918
640;42.27330414;0.480993418
642;42.9109997;0.493332592
644;43.26510482;0.473366779
646;44.29766561;0.483867945
648;44.139745;0.51376922
650;44.67950164;0.463526323
652;45.6316498;0.523700673
654;45.28837757;0.503220441
656;45.88854532;0.532533582
658;45.76662981;0.473363184
660;46.21607416;0.473339012
662;46.83667162;0.463978923
664;46.664402;0.542818708
666;47.69256118;0.533813921
668;47.31980158;0.564711595
670;47.11686115;0.502475082
672;48.26821015;0.504230216
674;47.47770666;0.484480217
676;48.32820566;0.483577444
678;48.51539455;0.454192297
680;48.25396761;0.493493163
682;48.89355481;0.464019629
684;49.22519689;0.464156528
686;49.84095847;0.455083595
688;49.70781711;0.433800994
690;48.803427;0.454234551
692;48.88078631;0.463195434
694;49.2911588;0.443790156
696;49.43947512;0.463354082
698;49.57799533;0.542251243
700;49.16657458;0.552164824
702;49.48037013;0.681351827
