Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Plywood;;;;;;;ISO 5660;EUREFIC;CS000001_EUREFIC2;;1;2003-07-24 14:53:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;143;263;72.5;146;132;61.6;11.8;NA;NA;44;0.01;12;600
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
301.638; 107.219; 0.106; 8.0192
304.14; 106.321; 0.1031; 9.2351
306.138; 104.803; 0.1006; 10.1797
308.142; 103.363; 0.0986; 10.8887
310.14; 104.017; 0.0999; 11.596
312.162; 103.203; 0.0986; 11.8553
314.64; 101.473; 0.0999; 11.9827
316.638; 103.194; 0.1015; 12.6974
318.642; 102.931; 0.1015; 13.1791
320.64; 100.516; 0.1003; 14.1384
322.86; 100.521; 0.1008; 15.4654
325.398; 101.081; 0.1007; 16.0186
327.378; 102.397; 0.1012; 16.2201
329.382; 100.647; 0.1007; 16.3907
331.338; 101.646; 0.1019; 15.9544
333.342; 102.919; 0.1026; 15.1458
335.838; 103.504; 0.1021; 14.7503
337.842; 104.327; 0.0994; 14.3431
339.822; 104.555; 0.1001; 14.5008
341.778; 103.147; 0.099; 14.7814
345.342; 105.347; 0.0999; 14.5874
347.898; 107.171; 0.1004; 14.8837
349.878; 105.905; 0.1035; 15.1845
351.858; 105.997; 0.103; 15.2625
353.862; 108.215; 0.1034; 14.9839
355.86; 108.39; 0.1023; 15.5839
358.398; 107.629; 0.1021; 15.8028
360.378; 107.423; 0.1014; 15.8926
362.382; 106.463; 0.1027; 16.1412
364.398; 105.829; 0.1018; 16.6642
366.378; 104.293; 0.1009; 16.856
369.282; 105.248; 0.1011; 16.9642
371.262; 105.185; 0.1008; 16.8116
373.26; 104.813; 0.0995; 16.8017
375.258; 103.421; 0.098; 16.1934
377.262; 102.922; 0.0982; 15.4065
379.8; 103.312; 0.0986; 14.8585
381.798; 101.882; 0.0973; 14.6823
383.778; 103.21; 0.0968; 14.3846
385.782; 105.056; 0.0972; 14.9219
387.78; 106.887; 0.0977; 15.8028
390.282; 106.598; 0.0959; 16.6223
392.58; 105.555; 0.0968; 17.2969
394.602; 109.873; 0.0964; 18.3082
396.6; 108.779; 0.0979; 18.9007
398.598; 110.046; 0.0972; 19.7731
401.16; 111.594; 0.102; 20.4034
403.2; 111.777; 0.0947; 21.515
407.34; 114.459; 0.0998; 22.8716
411.342; 117.958; 0.1015; 24.8501
415.338; 117.877; 0.1111; 26.0993
417.318; 120.152; 0.1042; 28.8506
419.7; 123.731; 0.1085; 31.3423
421.698; 124.788; 0.1124; 33.1634
424.278; 127.605; 0.1148; 33.8106
426.258; 129.308; 0.1164; 34.3293
428.262; 130.487; 0.1187; 33.8165
430.26; 131.018; 0.1208; 33.7458
432.24; 135.016; 0.1228; 34.4931
434.802; 143.387; 0.1246; 37.1972
436.8; 144.122; 0.1258; 40.3722
438.822; 143.185; 0.1261; 43.7956
440.82; 144.468; 0.1282; 47.1136
443.16; 144.654; 0.1292; 50.4648
445.68; 147.564; 0.1303; 52.2322
447.66; 153.45; 0.1254; 54.4962
450.36; 154.442; 0.1323; 55.7502
452.382; 152.886; 0.1332; 55.7518
454.878; 155.874; 0.1337; 55.1523
