Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-2;Curtain and sunblind in driver's cab;;ISO 5660;TRANSFEU;Sample prepard according ISO 5660 stricly. ;TRANSFEU;1;2011-03-28 15:40:44
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;4;87.1;3.1;;;3.0;1.7;15.7;;237;;54.9;0.00884;When exposed to the flux, the material immidiately retract . The melt material gather in a corner of the stainless steel frame. Ignition by the sparck is not well ensured.;;C_LNE_IN8-2_1a;0.74;;;;;;;;;;0.30;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;6.0;3.00;0.0
2;14.9;3.00;0.0
4;23.6;3.00;0.0
6;26.9;3.00;0.1
8;28.8;3.00;0.8
10;34.1;3.14;5.1
12;48.5;3.15;9.2
14;66.7;3.15;7.5
16;81.1;3.15;5.7
18;86.1;3.30;6.9
20;87.1;3.30;8.5
22;85.4;3.22;8.7
24;79.4;2.90;10.6
26;70.3;2.70;7.7
28;61.2;2.55;7.8
30;51.7;2.41;6.5
32;42.5;2.31;5.5
34;34.6;2.14;3.7
36;26.4;2.14;3.0
38;19.7;2.06;3.5
40;15.3;1.94;2.9
42;13.7;1.94;2.7
44;12.9;1.85;2.3
46;12.5;1.85;1.8
48;12.9;1.91;1.3
50;15.3;1.65;1.2
52;17.4;1.65;0.9
54;18.9;1.82;0.6
56;18.8;1.65;0.6
58;15.8;1.74;0.6
60;14.7;1.71;0.4
62;12.7;1.65;0.2
64;11.6;1.71;0.2
66;11.2;1.53;0.2
68;9.3;1.55;0.1
70;8.3;1.58;0.2
72;8.9;1.45;0.1
74;8.8;1.64;0.1
76;8.8;1.58;0.1
78;8.1;1.55;0.1
80;7.0;1.62;0.1
82;6.3;1.53;0.1
84;6.5;1.64;0.1
86;6.1;1.51;0.0
88;6.1;1.36;0.0
90;6.4;1.51;0.0
92;6.0;1.40;0.1
94;5.7;1.36;0.1
96;5.9;1.52;0.0
98;4.9;1.43;0.0
100;5.4;1.53;0.0
102;6.3;1.44;0.0
104;6.1;1.38;0.0
106;6.7;1.42;0.0
108;6.8;1.33;0.0
110;6.3;1.36;0.0
112;6.6;1.44;0.0
114;6.3;1.40;0.0
116;6.2;1.44;0.0
118;9.1;1.44;0.0
120;10.5;1.44;0.0
122;11.8;1.44;0.0
124;13.2;1.42;0.0
126;13.0;1.33;0.0
128;11.3;1.33;0.0
130;9.4;1.41;0.0
132;6.6;1.31;0.0
134;4.4;1.34;0.0
136;4.6;1.39;0.0
138;3.6;1.35;0.0
140;3.7;1.44;0.0
142;5.3;1.32;0.0
144;4.7;1.35;0.0
146;3.9;1.31;0.0
148;4.3;1.18;0.0
150;3.9;1.33;0.0
152;4.0;1.39;0.0
154;3.5;1.27;0.0
156;3.2;1.41;0.0
158;3.1;1.27;0.0
160;3.5;1.35;0.0
162;3.2;1.30;0.0
164;2.5;1.18;0.0
166;2.3;1.31;0.0
168;1.9;1.23;0.0
170;3.0;1.25;0.0
172;3.2;1.33;0.0
174;3.2;1.27;0.0
176;2.5;1.42;0.0
178;2.8;1.31;0.0
180;2.4;1.26;0.0
182;2.5;1.31;0.0
184;2.7;1.23;0.0
186;2.4;1.24;0.0
188;2.9;1.24;0.0
190;3.6;1.22;0.0
192;4.8;1.26;0.0
194;6.8;1.31;0.0
196;7.5;1.27;0.0
198;8.2;1.31;0.0
200;8.9;1.26;0.0
202;6.9;1.26;0.0
204;4.2;1.32;0.0
206;3.7;1.22;0.0
208;3.3;1.17;0.0
210;3.8;1.24;0.0
212;5.3;1.23;0.0
214;5.6;1.32;0.0
216;5.9;1.17;0.0
218;7.1;1.24;0.0
220;7.6;1.24;0.0
222;7.3;1.15;0.0
224;8.3;1.06;0.0
226;7.7;1.15;0.0
228;8.4;1.22;0.0
230;9.9;1.17;0.0
232;9.7;1.17;0.0
234;8.5;1.17;0.0
236;6.5;1.24;0.0
238;5.1;1.17;0.0
240;4.5;1.23;0.0
242;5.7;1.24;0.0
244;7.1;1.31;0.0
246;8.6;1.39;0.0
248;9.0;1.37;0.0
250;8.9;1.35;0.0
252;10.4;1.33;0.0
254;11.1;1.31;0.0
256;12.4;1.29;0.0
258;13.9;1.27;0.0
260;13.0;1.26;0.0
262;10.3;1.26;0.0
264;8.0;1.48;0.0
266;5.0;1.33;0.0
268;3.6;1.17;0.0
270;2.7;1.18;0.0
272;0.9;1.32;0.0
274;0.7;1.17;0.0
276;0.4;1.24;0.0
278;0.9;1.15;0.0
280;1.0;1.17;0.0
282;1.3;1.21;0.0
284;1.7;1.06;0.0
286;1.9;1.17;0.0
288;2.5;1.17;0.0
290;2.2;1.06;0.0
292;2.1;1.24;0.0
294;2.2;1.22;0.0
296;1.3;1.26;0.0
