Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber and epoxy adhesive;Aluminium plate;;;IN16-2;Floor composite for passenger trains;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:34:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;19;64.56;36.8;;;;;15.12;;685.42;;37.57;0.00943;;2011-06-18;c_EW_in16-2_1;6;3;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
314;44.10365757;0.432103712
316;45.647831;0.443235738
318;46.22183111;0.443407468
320;47.33209267;0.493984336
322;49.42765121;0.483985868
324;49.76065682;0.444512624
326;51.15654001;0.473717965
328;52.02850408;0.501497426
330;52.7320704;0.542983804
332;53.63660248;0.523440597
334;53.7562077;0.523694085
336;54.30831481;0.523875292
338;55.1156723;0.563766436
340;54.88898096;0.513417591
342;54.45524457;0.454918592
344;55.37952788;0.483793999
346;55.36148819;0.474859028
348;54.66433608;0.444341746
350;55.39874821;0.493976253
352;54.33664682;0.433877324
354;54.32316253;0.474072406
356;54.23083061;0.455109575
358;53.68412566;0.415720129
360;53.19781537;0.44373511
362;54.07927805;0.543447366
364;53.6522161;0.484021269
366;53.02041948;0.436142978
368;53.71520936;0.426167556
370;53.39757401;0.435949304
372;53.15400653;0.425262361
374;54.09406841;0.435152183
376;53.71444211;0.435324657
378;53.54230681;0.385757946
380;53.92681148;0.435087375
382;54.13216031;0.464127043
384;54.60009587;0.425407027
386;54.83055285;0.455063913
388;54.0834502;0.473931534
390;53.94856277;0.503227028
392;54.76081045;0.483805108
394;54.43412547;0.514493288
396;54.8388337;0.494536601
398;54.8062083;0.534069832
400;54.33123766;0.534410549
402;54.33549859;0.523374046
404;55.78235484;0.435081719
406;54.95749861;0.436027112
408;55.03620742;0.465574441
410;55.43267667;0.465597714
412;54.51028208;0.425298769
414;54.70898013;0.415449312
416;55.47177327;0.48463984
418;56.03811621;0.484426763
420;54.94081115;0.484450752
422;55.27216443;0.494487519
424;55.61802666;0.445916766
426;55.01473002;0.425130267
428;55.36935234;0.385599939
430;55.25103463;0.37519099
432;55.29954807;0.375150913
434;55.56751599;0.366002227
436;55.95611121;0.37526304
438;55.5854302;0.425925109
440;55.59200964;0.336794483
442;55.51617738;0.356834982
444;54.51700914;0.326278897
446;54.76948777;0.325486449
448;54.04203438;0.325048629
450;54.40080656;0.374951709
452;54.65097134;0.354528128
454;55.63715167;0.306504418
456;55.43118072;0.316829901
458;55.30527266;0.355799578
460;55.46892052;0.286204103
462;54.99360174;0.315856414
464;56.12673715;0.296497841
466;57.11441412;0.336777712
468;56.98309589;0.296701684
470;57.17107177;0.3262587
472;57.53132407;0.374513975
474;57.3601599;0.345549171
476;57.12843571;0.365963691
478;57.14466668;0.325233812
480;56.88279214;0.306190396
482;57.27946524;0.36601575
484;57.73097767;0.316114432
486;57.40446364;0.356002281
488;57.20784221;0.326351597
490;57.71799145;0.365095344
492;58.08568616;0.346213958
494;58.35438154;0.366249113
496;58.60302031;0.38514682
498;59.11647838;0.335886177
500;59.29225398;0.29631146
502;59.27123683;0.36557516
504;59.36238998;0.374599546
506;58.76488674;0.385106449
508;58.94371414;0.395177413
510;58.82358189;0.326539322
512;59.26780455;0.385278829
514;59.52878195;0.375959209
516;59.28545025;0.375394257
518;59.24502229;0.32579478
520;59.66335409;0.386096174
522;59.87420261;0.396133401
524;59.87810664;0.376270933
526;60.10680046;0.405416318
528;60.3787812;0.316105753
530;59.54805675;0.335795872
532;59.3102354;0.335926783
534;59.69527039;0.365040149
536;59.78818877;0.355793664
538;60.10461693;0.355793664
540;60.02765239;0.376029012
542;59.93498981;0.335979609
544;59.59615104;0.307383104
546;59.59780225;0.405916357
548;59.77001955;0.376664208
550;59.48576388;0.404954112
552;59.63765764;0.425548488
554;60.53589853;0.375991746
556;60.16072445;0.414951509
558;59.9970854;0.414992759
560;60.11012081;0.385312115
562;59.9396863;0.435358864
564;60.0572909;0.424933519
566;60.33150003;0.384714473
568;59.6968087;0.40492786
570;59.84656606;0.366400713
572;60.0508809;0.355740958
574;60.05450504;0.355632321
576;59.81805215;0.425672413
578;60.1649691;0.445515251
580;60.26842711;0.435315943
582;59.86002668;0.473947877
584;59.32137082;0.434816114
586;60.60972029;0.485836686
588;59.44789266;0.493244524
590;59.90033111;0.47566609
592;59.91336622;0.483143706
594;60.68239328;0.513771953
596;60.0774062;0.483890581
598;60.8353546;0.464993838
600;61.15829982;0.512898337
602;61.15032072;0.523726615
604;61.30999961;0.475119032
606;61.58423468;0.553425948
608;61.53462811;0.545111579
610;62.21237772;0.514814549
612;61.63206956;0.484756786
614;62.01964062;0.533316436
616;61.50394439;0.48414795
618;62.06610239;0.534297722
620;62.02617611;0.532648594
