Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;IN6-1;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 15:32:25
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;42;448.6;44.01;;;22.5;18.9;20.55;;16.4;;203.4;0.0884;;2011-02-16;c_CID_IN6-1_50b;1.95;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
274;22.34573324;4.344967;0.024432825
276;21.61934488;4.270344;0.020334204
278;20.89268792;4.24831;0.012961886
280;22.39758781;4.253774;0.027225768
282;21.98218868;4.252791;0.015122597
284;21.46535974;4.18043;0.016706177
286;22.41805538;4.19191;0.027771688
288;21.75227036;4.249444;0.017581032
290;21.68854417;4.178391;0.017039196
292;22.26052134;4.17694;0.04851235
294;21.65919034;4.17995;0.023010688
296;21.80413498;4.177602;0.03520885
298;22.51381773;4.183553;0.012765168
300;21.98671303;4.179079;0.02597638
302;21.9496619;4.177072;0.026433737
304;21.63986191;4.153762;0.031174383
306;20.64522658;4.089794;0.025538876
308;20.44167452;4.179282;0.02287151
310;20.49372194;3.971634;0.019863151
312;19.94266755;3.953394;0.02772258
314;20.13559469;4.048741;0.023663531
316;21.12331386;3.97966;0.021350481
318;20.85153719;3.956917;0.012234384
320;21.75864693;3.951979;0.029642993
322;21.50902057;3.955041;0.02751099
324;20.16256699;3.951585;0.027656185
326;20.35420533;3.954122;0.023452885
328;19.96654154;3.843496;0.014742351
330;19.80766176;3.955699;0.021153521
332;21.19596613;3.842112;0.019746414
334;21.53858223;3.782758;0.00222028
336;20.01952777;3.84518;0.015965991
338;20.97073059;3.781046;0.023454522
340;21.58407931;3.841226;0.014295961
342;24.13989082;3.843698;0.015198378
344;26.56598496;3.839227;0.024915524
346;26.714778;3.842346;0.013645662
348;27.55889277;3.779361;0.00901592
350;32.4000869;3.831726;0.016838851
352;35.57616815;3.783458;0.017275331
354;36.67050351;3.765972;0.025532882
356;35.84627721;3.781374;0.022320914
358;33.48604052;3.701264;0.020252938
360;30.2967961;3.768511;0.024300182
362;27.23246959;3.7408;0.02011909
364;24.21255009;3.672967;0.102722549
366;22.3286881;3.649169;0.029511551
368;21.95405004;3.651013;0.018029684
370;20.58001462;3.652593;0.005071675
372;19.85207795;3.648113;0.00792888
374;19.55082843;3.64976;0.022172027
376;18.17827631;3.651079;0.008878102
378;18.27275581;3.649892;0.024729482
380;18.44987291;3.560038;0.008309769
382;17.31601151;3.651243;0.00763747
384;17.98612976;3.652265;0.01806402
386;17.49365358;3.633828;0.002283967
388;17.30090607;3.650543;0.012461661
390;16.87070924;3.560388;0.014538388
392;15.39880565;3.53769;0.00412446
394;15.23419676;3.53822;0.023227641
396;15.80708913;3.535945;0.019498462
398;16.25418674;3.5362;0.014351541
400;16.82879312;3.537591;0.019774569
402;16.91768085;3.539766;0.02156999
404;15.26724888;3.465603;0.016412087
406;15.8429529;3.520285;0.023338404
408;16.79259045;3.478823;0.013884105
410;17.73304734;3.525989;0.011042021
