Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
PUR rigid;Plastic faced steel sheet;;;;;;ISO 5660;EUREFIC;CDK09501_EUREFIC9;;1;2003-07-24 14:11:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;242;29;0.5;10;29;NA;7.9;NA;NA;714;0.01;79;170
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
0; -0.411674; 0.0295919; 0
5; -0.406697; -0.0177551; 0
10; 4.44628; -0.0118368; 0
15; -0.40597; 0.0133163; 0
20; -0.405718; -0.00147959; 0
25; -0.404599; -0.00147959; 143.137
30; -0.406396; 0.0118368; 521.265
35; 4.45367; -0.00147959; 545.147
40; -0.406112; 0; 856.272
45; -0.406265; 0; 575.864
50; -0.404931; -0.00147959; 456.569
55; -0.404449; 0.00887807; 1133.58
60; -0.406024; 0.0192312; 488.238
65; -0.405402; 0.0162725; 631.647
70; 9.28408; 0.0295888; 629.88
75; 4.43652; 0.0192312; 419.488
80; -0.405643; -0.00591736; 310.825
85; 4.45009; 0.0192312; 342.074
90; 4.46122; 0.0310679; 396.741
95; 4.46205; 0.00591939; 522.94
100; 4.44049; 0.008874; 611.289
105; 4.43039; 0.00739492; 506.133
110; 4.4441; 0.0177521; 506.16
115; -0.404474; 0.0295888; 491.859
120; 4.43942; 0.0177521; 444.379
125; -0.403029; 0.008874; 1743.16
130; 4.44398; -0.00295868; 422.392
135; 4.42848; 0.00887756; 302.379
140; 4.44853; 0.0207143; 1093.1
145; 4.44434; 0.00591888; 560.032
150; 4.44673; 0.0192312; 384.123
155; 9.29515; 0.0192317; 860.406
160; 4.41438; 0.0103536; 344.359
165; -0.402997; -0.0133158; 336.578
170; 4.42644; -0.00295868; 753.695
175; -0.40247; 0.0340266; 413.922
180; 4.43594; 0.00739848; 692.166
185; 4.43571; -0.00443827; 314.626
190; 4.44434; 0.0221903; 377.037
195; -0.402604; 0.008874; 8602.6
200; -0.40313; -0.00443827; 533.28
205; 4.44148; 0.0221939; 272.81
210; -0.403482; 0.00887756; 2070.96
215; 4.42756; -0.00295868; 483.012
220; -0.404946; 0.008874; 486.121
225; 4.43907; 0.0207108; 470.639
230; 4.4225; 0.00887807; 475.59
235; 9.25077; -0.00295868; 446.063
240; 28.6106; 0.00739492; 569.525
245; 23.6273; 0.0295848; 380.909
250; 18.7591; 0.0295888; 701.385
255; 14.0397; 0.00739848; 1953.05
