Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Plywood;;;;;;;ISO 5660;EUREFIC;CS000008_EUREFIC2;;1;2003-07-24 15:08:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;26;271;75.1;133;129;65.2;11.5;NA;NA;22;0.01;12;600
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.338; 1.5232; -23.8208; 0.0085
3.342; 2.6269; -22.6534; 0.0222
5.862; 3.1682; -6.6208; 0.0477
7.86; 3.4914; -1.9885; 0.0661
10.122; 1.7018; -0.9332; -0.0509
12.102; 1.8084; -0.3642; -1.6911
14.118; 1.0948; -0.1414; -50.7693
16.602; 0.9632; -0.0503; 1.3671
18.6; 1.2406; -0.0042; 34.7876
20.58; 1.301; 0.0094; 63.1661
22.578; 0.8921; 0.0236; 79.3536
24.558; 1.6286; 0.0414; 132.265
27.042; 11.8619; 0.0594; 82.0834
29.04; 34.3279; 0.0835; 50.8409
31.038; 73.082; 0.0989; 26.1039
33.24; 93.8575; 0.1088; 15.984
35.238; 110.14; 0.1246; 17.1938
37.758; 121.868; 0.1344; 20.7906
39.738; 136.878; 0.144; 26.2057
41.778; 149.717; 0.1501; 30.8759
43.782; 157.259; 0.1607; 35.2815
45.798; 164.611; 0.1689; 39.5351
48.222; 173.477; 0.1779; 43.8559
50.202; 182.512; 0.1874; 45.8378
52.182; 197.505; 0.1898; 44.5521
54.42; 204.831; 0.1867; 41.0858
56.418; 205.062; 0.1812; 36.3974
58.86; 198.423; 0.1697; 30.3015
60.858; 189.273; 0.1575; 24.3642
62.838; 172.058; 0.1502; 20.7056
64.818; 163.685; 0.143; 19.2815
66.84; 156.781; 0.1354; 18.9179
69.258; 154.756; 0.1344; 19.0443
71.22; 150.208; 0.1291; 19.8601
73.218; 147.579; 0.1293; 22.2676
75.24; 145.53; 0.1281; 24.2992
77.46; 145.321; 0.1281; 25.9218
79.902; 144.388; 0.1284; 27.7353
81.882; 145.941; 0.13; 29.6437
83.88; 145.51; 0.1305; 30.6938
85.878; 147.063; 0.1344; 31.0239
87.882; 148.346; 0.1385; 31.6179
90.342; 150.734; 0.1401; 31.9921
92.34; 152.605; 0.1433; 30.792
94.338; 153.793; 0.1433; 28.0114
96.318; 152.243; 0.1423; 24.4212
98.322; 152.053; 0.1387; 20.0224
101.082; 149.744; 0.1348; 16.2952
103.08; 149.635; 0.1282; 12.8484
105.078; 142.19; 0.1259; 10.067
107.082; 136.865; 0.1191; 8.3626
109.062; 132.348; 0.1184; 7.1852
111.54; 130.313; 0.1157; 5.6992
113.538; 129.148; 0.1143; 4.6244
115.518; 125.798; 0.1141; 4.118
117.522; 124.424; 0.1164; 3.6167
119.502; 124.747; 0.1162; 3.2068
122.238; 125.801; 0.1171; 2.9746
124.242; 124.159; 0.1192; 3.26
126.24; 123.228; 0.1171; 3.911
128.238; 124.263; 0.118; 4.9378
130.26; 124.974; 0.1189; 5.9727
132.702; 124.378; 0.1212; 7.3192
134.7; 125.543; 0.1246; 8.5398
136.698; 127.297; 0.128; 9.599
138.702; 128.579; 0.1306; 10.3618
140.682; 130.267; 0.1317; 11.245
143.16; 132.911; 0.1322; 11.2087
145.338; 133.197; 0.134; 10.9089
147.318; 135.229; 0.134; 9.9916
149.322; 135.385; 0.1325; 8.8295
151.302; 136.93; 0.1332; 7.1473
153.738; 134.6; 0.1336; 5.9195
155.76; 133.702; 0.1301; 4.4704
157.758; 129.855; 0.1284; 3.2583
