Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Plastic faced steel sheet;Mineral wool;;;;;;ISO 5660;EUREFIC;CS000033_EUREFIC5;;1;2003-08-06 08:57:03
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;85;34;0.8;4;NA;1.0;7.9;NA;NA;92;0.01;25;640
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.182; 0.1852; 0.0002; -100000
5.82; 0.6487; 0.0046; -100000
8.382; 0.167; 0.0028; -100000
10.422; 1.4568; 0.0011; -100000
12.438; 2.5149; 0.0016; -100000
14.442; 1.702; 0.0007; -100000
16.482; 1.5045; -0.0074; -100000
19.38; 2.246; -0.0006; -100000
21.378; 3.8127; -0.0006; -100000
23.358; 5.5687; -0.0018; -100000
25.362; 7.642; -0.0004; -100000
27.36; 8.2656; 0.0005; -100000
29.88; 7.7857; -0.0018; -100000
31.86; 7.0503; 0.0014; -100000
33.84; 4.6971; 0.0021; -100000
35.862; 1.6485; 0.0028; -100000
37.86; 1.0942; 0.001; -100000
40.44; 0.6353; 0.0056; -100000
42.738; 1.2324; 0.0019; -100000
44.742; 2.1594; 0.0047; -100000
46.722; 4.2153; 0.0004; -100000
48.72; 7.8185; 0.0036; -100000
51.342; 9.8431; 0.0036; -100000
53.358; 10.6188; 0.0063; 474.901
55.338; 9.5159; 0.0067; 538.794
57.36; 7.2526; 0.0171; 615.687
59.358; 5.7649; 0.0228; 710.608
61.902; 5.3468; 0.0287; 850.432
64.158; 5.545; 0.0415; 1025.63
66.222; 6.1098; 0.0494; 1034.69
68.22; 6.1588; 0.0559; 955.601
70.218; 4.6397; 0.0616; 95.3199
72.738; 4.4942; 0.0681; 938.862
74.742; 4.4067; -0.0111; 973.809
76.74; 6.4156; 0.0057; 1027.13
78.72; 15.0747; 0.0213; 1227.71
80.718; 28.2352; 0.0235; 1987.11
83.322; 34.0913; 0.0115; 1029.99
85.962; 30.8704; 0.0798; 840.009
88.26; 25.7773; 0.0515; 717.719
92.718; 20.8749; 0.0259; 458.709
95.298; 9.4094; 0.0086; 391.433
