Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polypropylene floor covering 8.5 mm;Minerit board;;;Floor;;;ISO 5660;SP Report 2007:29 The Influence of floor materials on room fires;;;1;2007-06-28 14:04:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;12;582;36.7;143.2;98.3;17.4;18.23;11.2;387;205;0.0088;8.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);MLR (g/s);SPR (m2/s)
;;;;
Time (s);HRR (kW/m);SEA (m/kg);MLR (g/s);SPR (m/s)
182;38.28821028;-33.81988484;0.022544083;-0.000762438
184;38.7157955;9.89057781;0.024448792;0.000241813
186;39.67949166;2.792504005;0.051166375;0.000142882
188;39.91666911;3.311612276;0.076572792;0.000253579
190;39.76469297;-20.01895947;0.023049333;-0.000461424
192;40.95495046;-48.35772339;0.026286333;-0.001271147
194;40.12516507;-4.200753112;0.027483375;-0.000115451
196;40.16924274;-11.03301585;0.03056725;-0.000337249
198;39.28982192;7.202437124;0.030012042;0.00021616
200;38.95244039;7.896825527;0.021758333;0.000171822
202;38.92161487;-50.92201202;0.018737458;-0.000954149
204;39.5037475;-47.54323571;0.019439125;-0.000924199
206;38.36207911;-15.98999022;0.031696833;-0.000506832
208;38.06233996;-4.387372067;0.038047708;-0.000166929
210;38.14024641;-43.99661321;0.009495;-0.000417748
212;37.7891373;-24.87748253;0.015091208;-0.000375431
214;37.82208397;-0.781821721;0.089101917;-6.97E-05
216;37.53606601;-14.26736383;0.026558333;-0.000378917
218;35.45483569;0;-0.033615458;-0.000592671
220;34.75066171;-12.41809943;0.05200275;-0.000645775
222;33.45288163;-15.79167078;0.055800417;-0.000881182
224;34.11298834;-46.41147606;0.015322167;-0.000711124
226;33.13353222;3.451914316;0.016365875;5.65E-05
228;31.66667395;-8.832610548;0.061884083;-0.000546598
230;30.86844199;3.156265595;0.028478792;8.99E-05
232;31.68138576;0;-0.013180375;0.00088236
234;32.43179039;-23.70444795;0.051033208;-0.001209714
236;30.43400268;-4.233279397;0.044735083;-0.000189376
238;30.14246165;115.69286;0.000964333;0.000111566
240;29.27590881;-19.22816113;0.006646958;-0.000127809
242;28.24428005;-11.31456356;0.048504792;-0.000548811
244;29.11404872;-3.367863462;0.040702542;-0.000137081
246;29.41021158;-14.27824148;0.031222667;-0.000445805
248;28.51799258;0;-0.01200525;-0.000495373
250;28.87314504;0;-0.004389792;-0.000873973
252;29.44819545;-9.338573466;0.047901292;-0.00044733
254;28.21873231;-8.829943664;0.0481225;-0.000424919
256;28.45692768;5.978909399;0.081673208;0.000488317
258;26.86509626;-0.45406348;0.052772125;-2.40E-05
260;25.89852019;0;-0.00158775;-0.000386439
262;27.00278096;-5952.629119;0.000122667;-0.000730189
264;27.97506722;0;-2.34E-05;-0.000238667
266;27.63865379;0;-0.001368208;-0.000820963
268;27.83823939;-187.5625401;0.004885417;-0.000916321
270;26.92939979;-16.03593837;0.02919;-0.000468089
272;27.36837406;1.10163559;0.039357833;4.34E-05
274;27.87961742;-9.667607528;0.046583708;-0.000450353
276;27.57278914;-17.84293969;0.028757417;-0.000513117
278;27.97427785;13.32753864;0.039384458;0.000524898
280;27.67106304;4.840436155;0.048726083;0.000235855
282;27.6663196;8.739590121;0.01188825;0.000103898
284;28.60060014;0;-0.000519917;-0.000304067
286;28.09667406;-13.42168376;0.031803292;-0.000426854
288;27.52562568;-1.018323876;0.028449875;-2.90E-05
290;28.07392236;-24.50511024;0.023097667;-0.000566011
292;27.70885153;-37.14200839;0.022050875;-0.000819014
294;26.88525006;0;-0.027019083;2.01E-06
296;25.90051043;-12.52593958;0.012475208;-0.000156264
298;26.72264053;-4.541993648;0.014422917;-6.55E-05
300;26.52305648;5.14585114;0.044800042;0.000230534
302;26.89136614;-3.030572993;0.051528042;-0.000156159
304;27.43909897;0;-0.005015125;-0.000253357
306;26.27653358;-14.57396367;0.022834417;-0.000332788
308;24.94909501;-7.31218241;0.080659625;-0.000589798
310;25.98465358;-3.980332564;0.061706042;-0.000245611
312;25.39112706;-129.5787367;0.006936333;-0.000898801
314;25.47009715;0;-0.005127667;0.000177806
316;25.62563706;-26.36630548;0.015786458;-0.000416231
318;25.57208047;0.369941983;0.054145458;2.00E-05
320;25.78142293;0;-0.001744208;-0.000602429
322;25.55635526;-16.29451764;0.023642208;-0.000385238
324;26.55099738;-19.992488;0.047343292;-0.00094651
326;26.7212771;18.60917809;0.018859708;0.000350964
328;26.98524613;-19.35660118;0.052547875;-0.001017148
330;26.28847097;-12.18561001;0.012043625;-0.000146759
332;27.18827771;0;-0.031800625;-0.00047566
334;27.7791927;-5.774163894;0.053848125;-0.000310928
336;27.33529043;-2.112675439;0.050723292;-0.000107162
338;27.03291478;0;-0.016804;3.99E-05
340;27.23560035;0;-0.00449325;1.53E-05
342;27.22928398;-21.91805497;0.029695958;-0.000650878
344;27.15309532;-8.979215953;0.057068667;-0.000512432
346;27.39966391;-11.03504618;0.032561333;-0.000359316
348;26.56181739;0;-0.009399292;-0.000572748
350;26.65904256;-25.02061987;0.018093792;-0.000452718
352;27.38106443;-2.078797233;0.064562583;-0.000134213
354;26.83949301;0;-0.007748208;-0.000496037
356;26.20140788;0;-0.005907667;-0.001496582
358;25.84680866;9.061466757;0.040833625;0.000370013
360;25.60246812;-33.01171094;0.027413417;-0.000904964
362;25.24820498;0;-0.013565333;-0.00032007
364;24.85224951;-349.1670803;0.00244275;-0.000852928
366;24.58495268;-9.698968564;0.048810667;-0.000473413
368;25.44279341;-12.4085979;0.050448375;-0.000625994
370;24.8886561;5.253049721;0.024242458;0.000127347
372;24.68731974;-10.43413904;0.053685417;-0.000560161
374;24.5636681;-18.4683477;0.030446208;-0.000562291
376;25.16277909;0;-0.022086958;-0.000739184
378;26.17340315;1.77610053;0.023264542;4.13E-05
380;26.033122;0;-0.002573375;-0.000952438
382;25.27390731;-1104.915853;0.000389667;-0.000430549
384;25.00796064;0;-0.005381125;-0.000195565
386;26.1704751;-34.31021267;0.027910542;-0.000957617
388;24.90337613;-9.398978761;0.049693625;-0.000467069
390;24.28749424;5.311931957;0.030978542;0.000164556
392;24.27232582;-91.08831545;0.004050375;-0.000368942
394;22.34119244;0;-0.010469458;-0.000401945
396;22.10446695;-38.20394128;0.022829333;-0.000872171
398;23.07906409;-31.99724927;0.003672542;-0.000117511
400;22.81227905;0;-0.006300292;-0.00010363
402;22.83928716;-7.61366368;0.032599167;-0.000248199
404;24.42936884;9.335281078;0.028717625;0.000268087
406;22.80892972;-66.95951522;0.015615458;-0.001045604
408;22.16582201;0;-9.56E-05;-0.00029195
