Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:24:31
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;9;397.03;92.85;;;39.41;39.07;21.97;;1407;;263.65;0.0088;Melting of the surface. Shrinkage. End flame at 346s.;2010-11-09;c_LSFIRE_F1A-2-2_75c;28.0;2;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
259;248.4943289;7.52091802;4.508106346
261;241.1205213;7.52091802;4.250097222
263;228.0707739;7.52091802;3.929715718
265;222.0409173;7.52091802;3.750361799
267;211.3394986;6.9013132;3.427083966
269;203.4802355;6.9013132;3.131849978
271;196.352294;6.9013132;2.942685015
273;190.4707127;6.60696047;2.769641359
275;185.752437;6.47058234;2.475624176
277;177.2535935;6.29717677;2.307238034
279;171.4844661;6.19378991;2.155214948
281;165.6121615;6.11326902;2.007741169
283;160.7387974;6.07145368;1.761582765
285;153.8507581;6.05166891;1.627171745
287;149.5966605;5.93604353;1.42013631
289;141.5559907;5.83706143;1.219001487
291;137.5339025;5.683005;1.021860076
293;130.9221678;5.63201675;0.915879519
295;120.8317577;5.63201675;0.811284778
297;119.5047669;5.94548209;0.753565055
299;110.1729106;5.4630539;0.687532831
301;106.9538616;5.42236197;0.577952642
303;103.1534672;5.34244776;0.492721941
305;97.06293292;5.27986407;0.372297158
307;93.30930813;5.27169761;0.294421769
309;86.95803544;4.64288402;0.233335885
311;82.89652124;5.22637895;0.196172367
313;78.7031809;5.19885608;0.141352062
315;75.93887046;5.32845057;0.093027026
317;69.68252534;5.08487917;0.046676382
319;66.33270248;5.07444353;0.033441491
321;62.76646859;5.09731783;0.016521108
323;60.31102452;5.09731783;0.016521108
325;57.73230511;5.12580868;0.016521108
327;53.92515451;4.86867573;0.016521108
329;51.68759458;4.35576928;-6.7224E-15
331;47.24798903;4.91821513;0.022270987
333;45.56757353;4.88717438;0.023533226
335;42.11159357;4.91732825;0.023533226
337;40.31146744;4.91732825;0.023533226
339;37.81947448;4.51601931;0.023533226
341;36.7646675;4.8438291;0.017917104
343;35.10936666;4.55129587;0.036352686
345;33.78401607;4.55129587;0.036352686
347;32.01092463;4.81155524;0.036352686
349;32.6417083;4.70325415;0.036352686
351;31.19881509;4.70325415;0.019697821
353;31.7281142;4.70325415;0.001435875
355;30.63840145;4.704703;0.036165997
357;30.34667401;4.704703;0.041940537
359;30.86377457;4.74008197;0.041940537
361;30.4477093;4.68328535;0.043667125
363;30.96839595;4.68328535;0.04223125
365;31.10689423;4.63450078;0.011082298
367;30.54380658;4.66476539;0.024046143
369;31.06420369;4.66476539;0.024046143
371;30.35297039;4.66476539;0.022319556
373;31.10122134;4.40629537;0.033270227
375;31.18494681;5.05306643;0.044607316
377;30.52398207;4.6173179;0.039716451
379;30.68344017;4.6173179;0.067445713
381;31.03456511;4.6173179;0.067445713
383;31.50179722;4.54075989;0.056495042
385;32.11999737;4.5275976;0.053992047
387;31.71888559;4.51562473;0.064219818
389;31.31070599;4.50028215;0.060253675
391;32.02444248;4.50028215;0.072258712
393;32.5328948;4.48045423;0.072258712
395;32.34724253;4.54076145;0.059843447
397;32.41425548;4.54076145;0.050305416
399;32.24762237;4.39491618;0.039668248
401;32.45270798;4.40902463;0.048492055
403;32.35954611;4.40902463;0.048492055
405;31.65738604;4.42619295;0.055226215
407;32.24740297;4.42619295;0.057088407
409;32.54820415;4.42619295;0.063162583
411;31.84092514;4.33733717;0.044296063
413;31.67551294;4.33733717;0.044417829
415;31.84048393;4.29818975;0.040516946
417;31.82382321;4.26439323;0.025947456
419;31.75762393;4.26439323;0.00674733
421;31.75219902;4.21170608;0.037480232
423;32.06728596;4.22866075;0.059299223
425;31.15698899;4.22155896;0.07965253
427;31.12708289;4.21843201;0.077822567
429;31.0574309;4.21178094;0.083054533
431;31.12863139;4.14941144;0.056800531
433;31.50031804;4.14733512;0.064179515
435;31.15777453;4.14715785;0.073539277
437;30.7050849;4.08087225;0.101912506
439;30.68850447;4.12910368;0.101422192
441;30.7662204;4.17196862;0.098116339
443;30.64814079;4.13324228;0.094010463
445;30.34032928;4.06793245;0.078980843
447;29.62931041;4.05876111;0.088123483
449;30.1023652;4.03081767;0.128162421
451;29.3106313;4.04645606;0.146518884
453;29.4533288;3.99521048;0.121305019
455;30.17620602;3.99521048;0.128049385
457;29.49695875;3.99521048;0.123772549
459;29.07176087;3.94326258;0.128398023
461;29.09777605;3.95833952;0.14054414
463;29.42982444;3.95833952;0.151598515
465;29.21621206;3.9346532;0.127337423
467;28.63618869;3.57662456;0.121611226
469;28.89923673;3.84093363;0.104370696
471;28.44826833;4.29282221;0.084001744
473;28.31470197;3.85816122;0.086979095
475;28.09120195;3.85816122;0.098122881
477;27.75554515;3.78759666;0.077082632
479;27.98356269;3.78759666;0.069932132
481;27.28113269;3.77860259;0.104498339
483;27.36086564;3.77586034;0.104501189
485;27.66801229;3.77586034;0.093357403
487;27.49213757;3.74282541;0.094732328
489;27.10032635;3.72839206;0.085756711
491;26.96327491;3.72839206;0.080983249
493;26.57688347;3.70984246;0.089840496
495;26.05516505;3.70984246;0.089840496
497;26.59036504;3.71993864;0.081992985
499;26.65689331;3.67252078;0.087002371
501;26.45864039;3.64815449;0.081826276
503;26.21400207;3.68715428;0.082966705
505;25.90517804;3.68715428;0.105861942
507;25.79907078;3.66153201;0.105861942
509;25.6195027;3.65507225;0.084813139
511;25.27325305;3.58393845;0.064961014
513;25.38923748;3.56906166;0.060067649
515;25.14610886;3.53441465;0.067877488
517;24.76497634;3.53441465;0.100777727
519;25.23230095;3.55954409;0.112543164
521;24.93292113;3.52783116;0.094509638
523;25.15030252;3.52448327;0.095193527
525;24.90025845;3.44298713;0.071136818
527;25.43090164;3.54676648;0.052808301
529;24.32996257;3.47614214;0.060143249
531;24.89726462;3.47614214;0.075145926
533;24.39118002;3.47614214;0.055323152
535;23.81315118;3.47614214;0.055739623
537;23.89047144;3.44888752;0.046669919
539;24.27915962;3.47079332;0.055730515
541;24.51848548;3.45151177;0.079272516
543;23.43825541;3.45151177;0.103613287
545;23.7119888;3.45322626;0.109205901
547;22.96592338;3.4244916;0.103703882
549;23.0861139;3.4244916;0.08560087
551;23.2585751;3.87078494;0.055662518
553;23.53599509;3.32768407;0.068767797
555;23.2546678;3.35800793;0.069531016
557;22.74452606;3.18507648;0.071233612
559;23.17969343;3.34265807;0.061175643
561;23.28394423;3.26606264;0.067820749
563;23.03040585;3.26352729;0.049909727
565;22.68445852;3.26352729;0.082769677
567;22.95026163;3.65779943;0.109778915
569;22.49323884;3.28485032;0.116927436
571;23.02539123;3.21264405;0.112344475
573;22.41084689;3.21240024;0.099953676
575;22.46670078;3.21240024;0.057856653
577;22.75599711;3.29627525;0.053084867
579;22.19456403;3.18555111;0.071738353
581;21.79463734;3.23896293;0.072933731
583;21.78478852;3.49151228;0.101091009
585;21.94304674;3.26278285;0.096907411
587;22.05188272;2.77617604;0.072967362
589;22.01742552;3.15797105;0.068918605
591;22.46820538;3.09508533;0.088534108
593;22.02327196;3.12778131;0.094123896
595;22.02689127;3.12778131;0.10771172
597;21.54632161;3.12778131;0.112653593
599;22.13018905;3.52354544;0.090900343
601;21.28820239;3.0510242;0.078262056
603;21.21588629;2.99330483;0.057928474
605;21.37612607;3.02266696;0.05850953
607;21.38961135;2.98133196;0.053567656
609;21.22657616;2.9185263;0.054027258
611;20.8838739;3.1380116;0.045091832
613;21.26567378;3.1380116;0.024534118
615;20.74471521;3.1380116;0.03514961
617;20.71554732;2.93846703;0.067860469
619;20.26968724;2.97476251;0.106186652
621;20.06838367;2.97476251;0.107986628
623;20.10770741;3.01436897;0.120847645
625;20.12086886;2.90512278;0.105254873
627;20.51236677;2.93084175;0.106492608
629;20.20877382;2.88138448;0.108926494
631;20.10703253;2.96453586;0.112650761
633;19.7660179;2.90813121;0.101275382
635;19.84036805;2.90813121;0.097704159
637;20.2430119;2.85603566;0.072638198
639;20.31196146;2.90773299;0.043962573
641;20.31126366;2.80867031;0.06556091
643;20.1273897;2.80867031;0.084657763
645;19.25440882;2.84824714;0.083881498
647;19.61037082;2.84824714;0.088938484
649;19.76842168;2.78072012;0.084921725
651;20.11654946;2.78072012;0.068154401
653;20.38393925;2.74653942;0.07970049
655;19.39766233;2.74653942;0.125366427
657;19.53903679;2.74653942;0.144729468
659;19.38715065;2.70213727;0.148760205
661;19.86572524;2.69952862;0.133879732
663;19.60602378;2.72187785;0.118818803
665;19.26605352;2.63968094;0.102282831
667;19.54212057;2.63968094;0.12186935
669;19.28236862;2.979291;0.109311326
671;18.84926229;2.5494439;0.114209971
673;18.93852014;2.60683056;0.104806352
675;19.47255375;2.60573002;0.075577289
677;19.03672136;2.60573002;0.070354503
679;19.12431498;2.61145834;0.102912755
681;18.86373684;2.61145834;0.117633584
683;18.56730579;2.62929989;0.109969554
685;18.60696944;2.59840054;0.114735624
687;18.77736658;2.59840054;0.083867582
689;18.79338357;2.59840054;0.093687238
691;18.72928713;2.5327658;0.113600327
693;18.21804974;2.5327658;0.130581031
695;18.25192782;2.5327658;0.121069948
697;18.60466317;2.5208522;0.104271597
699;18.59288876;2.4888731;0.073166947
701;18.68354171;2.48913199;0.043303476
703;18.56438804;2.46607367;0.059660911
705;18.04969416;2.46607367;0.092698583
707;18.00411991;2.44999185;0.102426874
709;17.80373424;2.42940285;0.091153616
711;18.03636988;2.42940285;0.091231585
713;17.93287654;2.42059333;0.073580514
715;17.99921004;2.42059333;0.049068438
717;18.1276808;2.42059333;0.058266534
719;17.51656748;2.44067494;0.064222308
721;17.50094817;2.89723185;0.049094825
723;17.89319016;2.43842811;0.034199201
725;17.51341081;2.73197974;0.035946828
727;17.85707076;2.224799011;0.026926486
729;17.62300836;2.328768636;0.057853456
731;17.1538483;2.328768636;0.097498851
733;17.15834777;2.321741709;0.120948456
735;16.89253036;2.307574524;0.117164981
737;17.26317274;2.251850369;0.107258935
739;17.40628142;2.209842162;0.096056464
741;17.05841474;2.209842162;0.071850831
743;17.18093907;2.85110273;0.058475459
745;17.03427358;2.266276443;0.085831398
747;16.52160927;2.233166654;0.11351236
749;16.32659889;2.23718724;0.091385796
751;16.35969867;2.214276555;0.075946034
753;16.58585641;2.214276555;0.065080357
755;16.74477972;2.214276555;0.055811211
757;16.71683263;2.73708216;0.057307888
759;16.5943325;2.167413908;0.081743643
761;16.35064637;2.205594398;0.096944126
763;16.39834192;2.165501349;0.096944126
765;16.38384279;2.104485034;0.072367586
767;16.13023733;2.117574552;0.043189946
769;16.30545609;2.067348421;0.030622137
771;15.88804188;2.02935456;0.045424466
773;16.21949654;1.92228034;0.060094028
775;15.88135345;2.221544177;0.077763542
777;15.52273095;2.77771794;0.077763542
779;15.87973659;2.380285576;0.089333622
781;15.90239071;2.0324446;0.069817928
783;15.9858645;2.0324446;0.061127622
785;15.70154189;2.0324446;0.063157165
787;15.18759202;1.998736973;0.082954754
789;15.30090491;2.026472985;0.05596302
791;15.21896832;2.046125196;0.054169398
793;15.62513664;2.046125196;0.058210964
795;15.41085752;1.889298436;0.038511908
797;15.29166051;1.901987143;0.043433283
799;15.31879467;1.914662333;0.081237152
801;15.39014099;1.90372451;0.094980544
803;14.9301881;2.41984837;0.087441466
805;14.86054896;1.857859992;0.087441466
807;14.96137986;1.84566671;0.062722501
809;15.00792766;1.84566671;0.06463562
811;14.81482699;1.84566671;0.070955199
813;14.7887802;1.815152055;0.083833993
815;14.69045703;1.844136247;0.116001325
817;14.62364963;2.222612486;0.116043826
819;14.66389424;1.790977074;0.078494995
821;14.86160551;2.201445927;0.049738529
823;14.6329885;1.709615576;0.039848834
825;14.5387957;2.253077235;0.016961304
827;14.74483584;1.757462834;0.033855925
829;14.41315142;1.95564642;0.03191367
831;14.36013432;1.76038236;0.03191367
833;14.56133366;1.6637443;0.033160016
835;14.73312651;1.632526795;0.035096992
837;14.21340531;1.670389131;0.030134677
839;14.16050346;1.667255424;0.053123763
841;14.20830696;1.687609965;0.066190695
843;13.98058949;1.687609965;0.062081558
845;13.92202739;1.662009012;0.053952417
847;14.16627145;1.59741607;0.045016432
849;14.12887966;1.59741607;0.023251034
851;13.83399516;1.644058297;0.064365222
853;13.87684356;1.642964515;0.061757169
855;13.63770876;1.642964515;0.060679127
857;13.38556429;1.617284023;0.057640305
859;13.86231354;1.617284023;0.065504821
861;13.71281729;1.519463285;0.049526845
863;13.96274815;1.514194519;0.073725276
865;13.61943285;1.540970872;0.091207359
867;13.57699429;1.563763029;0.110398014
869;13.00398724;1.539019843;0.101083909
871;13.27366409;1.737226302;0.062880765
873;13.71827382;1.467308998;0.06013268
