Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seat, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:15:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;23;313.55;85.02;;;41.47;38.97;19.32;;1541;;172.18;0.0088;Melting of the surface. Shrinkage. End flame at 904s.;2010-11-03;c_LSFIRE_F1A-2-2_50b;28.0;3;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
257;239.7453571;18.81342698;2.789408274
259;236.3819968;18.62268065;2.643906678
261;226.2118072;18.42470974;2.583867952
263;221.4953567;18.33439817;2.499443822
265;215.0398293;18.1203174;2.451337754
267;213.9201394;17.93688641;2.502862341
269;215.2074218;17.80305437;2.534937414
271;212.5144792;17.60424164;2.550354902
273;216.521246;17.46144746;2.58309119
275;210.7077661;17.31285558;2.59445691
277;207.8348216;16.65284008;2.645385448
279;209.4225501;16.94836904;2.778636037
281;211.3179197;16.8336143;2.654003785
283;211.9049902;16.68509075;2.700766473
285;209.011745;16.67527185;2.668600536
287;203.432864;16.40453409;2.631155641
289;204.156131;16.22074704;2.514063217
291;200.2972501;16.05394209;2.716180273
293;196.6430406;15.87472286;2.700704399
295;190.0225612;15.7951035;2.70624504
297;183.4027841;15.61741737;2.645801453
299;185.7317476;15.49966582;2.659345584
301;180.7132072;15.34234721;2.454298942
303;179.5656909;15.18954356;2.388754436
305;183.716751;15.06023449;2.327224406
307;183.0787674;14.9676238;2.296063004
309;184.3255103;14.81629987;2.240157051
311;181.5030502;14.68144345;2.272547716
313;180.4140001;14.55091249;2.187059669
315;183.2153345;14.38290167;2.26071428
317;183.4008095;14.30061913;2.289634832
319;184.3600633;14.1696403;2.388388836
321;181.2952835;14.02834133;2.451186644
323;183.9579003;13.9217368;2.568181365
325;186.2354449;13.74675976;2.673291898
327;188.7088199;13.57304197;2.707480269
329;191.0799933;13.45796161;2.64639435
331;191.0686676;13.25159814;2.607297162
333;193.0570355;13.1459881;2.629499651
335;195.2869581;12.94888249;2.491165548
337;195.5010706;12.79936498;2.505581388
339;196.2078573;12.69042343;2.506617184
341;193.6050122;12.5378931;2.552290164
343;197.529767;12.32831983;2.466609527
345;199.5578647;12.22037971;2.432788474
347;201.5069263;12.04003787;2.430162135
349;202.1988124;11.90626669;2.436956803
351;201.137933;11.78473523;2.34556851
353;198.1672114;11.65331708;2.388801445
355;190.8388564;11.51074284;2.524241456
357;188.5741274;11.36602107;2.532532336
359;186.6320617;11.27404027;2.563468781
361;185.7212431;11.10263014;2.747494896
363;185.2655466;10.95920607;2.79653079
365;184.3222502;10.83649917;2.739515218
367;182.7075074;10.64885641;2.716761478
369;180.0624382;10.54506827;2.644085109
371;177.3972547;10.39408598;2.561834284
373;171.841042;10.21812939;2.455110719
375;167.2670714;10.10511328;2.406535458
377;169.415756;9.97218498;2.447693006
379;163.9005973;9.89162451;2.384912802
381;168.5585939;9.79331432;2.390257745
383;157.6975158;9.67001542;2.398321152
385;161.3979142;9.51596052;2.314628629
387;154.7147152;9.48105309;2.181570633
389;149.9377223;9.34539115;2.237747412
391;150.4703738;9.25453348;2.076977893
