Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:21:30
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;10;439.39;96.43;;;40.20;39.87;21.35;;1377;;293.44;0.0088;Melting of the surface. Shrinkage. End flame at 374s.;2010-11-08;c_LSFIRE_F1A-2-2_75b;28.0;3;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
257;171.4112075;6.621678;2.184430047
259;168.4661029;6.47197;1.960030593
261;159.74882;6.41919698;1.720435291
263;152.7473017;6.31274315;1.614270867
265;148.4002546;6.27582266;1.501705272
267;144.0286385;6.12850354;1.360569203
269;138.0045284;6.05074027;1.215471844
271;133.0569694;6.04416105;1.051848967
273;129.0625718;5.91785176;0.963131339
275;121.4951993;5.83342028;0.819666536
277;118.1159014;5.8007938;0.725344151
279;113.9645625;5.71505924;0.617728333
281;109.4010574;5.68270709;0.550163786
283;105.8142326;5.63879118;0.440454156
285;101.1629132;5.55547482;0.419735742
287;99.37870667;5.49140557;0.361005853
289;92.61412334;5.49140557;0.30646202
291;91.17233782;5.44095389;0.241601147
293;87.10521851;5.41681124;0.207973033
295;84.51363514;5.33652455;0.136690238
297;77.92439442;5.29385883;0.127660281
299;76.05575332;5.25432593;0.122119792
301;74.59451214;5.31016527;0.086593132
303;72.65621758;5.31016527;0.086658559
305;67.64499583;5.12214471;0.099404599
307;65.23724434;5.12899198;0.10071118
309;62.22579145;5.12896894;0.121834338
311;62.188075;5.100324444;0.126534953
313;60.43418096;5.007088207;0.115821619
315;60.53787667;4.990790674;0.135532272
317;58.45512937;5.048244584;0.10120428
319;56.88090751;5.010981187;0.053773288
321;53.12647193;4.933135204;0.049072672
323;52.7598306;4.933135204;0.064324765
325;49.12547372;4.816136922;0.031868073
327;47.95023154;4.816136922;0.03493571
329;46.87723691;4.913421628;0.03493571
331;44.55461517;4.987374108;0.03493571
333;42.76610841;4.839013152;0.020967966
335;42.04427185;4.839013152;0.020967966
337;41.43524313;4.85270664;0.017900328
339;40.55481668;4.874229541;0.017900328
341;39.23082013;4.786940098;0.017900328
343;38.50020434;4.694828406;0.020271476
345;37.25036382;4.693280324;0.020271476
347;36.80756551;4.858117861;0.020271476
349;35.98240737;4.650628742;0.020271476
351;35.3176222;4.650628742;0.020271476
353;35.24198587;4.696026246;0.007036567
355;35.05688629;4.66235061;0.007036567
357;34.55235106;4.670642301;0.007036567
359;34.26015315;4.727084225;0.007036567
361;33.47302319;4.616923264;0.007036567
363;34.01425591;4.773983742;0.028007926
365;34.09717179;4.831920872;0.032758811
367;33.93662206;4.73741193;0.032758811
369;34.51055606;4.749170446;0.032758811
371;33.96184051;4.569670887;0.074444693
373;33.88521662;4.633154309;0.077018232
375;33.91341062;4.777897139;0.081141569
377;33.88901111;4.508333421;0.081141569
379;33.86931296;4.829473362;0.111896926
381;33.52854966;4.461827077;0.108845918
383;33.41673334;4.467430957;0.101417107
385;35.16473907;4.467430957;0.092542886
387;33.63252619;4.52652195;0.092542886
389;33.69287918;4.604688335;0.061787528
391;33.59957862;4.485374473;0.034822866
393;34.34117514;4.387375148;0.011670213
395;33.60060383;4.328932287;0.011670213
397;33.20141691;4.248592723;0.018444454
399;33.53298754;4.322561432;0.042744804
401;34.48800392;4.189732607;0.031074591
403;33.88629975;4.189732607;0.031074591
405;34.21842088;4.223484155;0.031074591
407;33.802636;4.192874843;0.02430035
409;33.03680434;4.21421922;0.018821123
411;33.13347222;4.221317782;0.032383486
413;33.87973964;4.182290608;0.032383486
415;33.14747073;4.182290608;0.032383486
417;33.68702528;4.148175206;0.041985549
419;33.14503258;4.271768936;0.049054356
421;32.83009608;4.140607559;0.04499878
423;33.31339128;4.346280548;0.04499878
425;33.194528;4.343184906;0.04499878
427;33.03175511;4.028772344;0.035396718
429;32.68072919;4.071751657;0.035714577
431;33.08547075;4.065232644;0.037455487
433;32.76849471;4.021971671;0.037455487
435;31.95501023;3.969846263;0.037455487
437;32.08899637;3.941714825;0.085248034
439;31.70686764;4.575434969;0.090441676
441;31.20721746;3.98193251;0.079193978
443;32.51746241;3.873729033;0.079193978
445;31.38170545;3.863108674;0.079193978
