Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Textile wall covering;paper plasterboard;;;;;;ISO 5660;EUREFIC;CS000020_EUREFIC3;;1;2003-08-05 13:14:15
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
35;45;222;10.0;55;NA;12.9;7.7;NA;NA;32;0.01;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
1.26; -0.6606; 0.0141; 22.3847
3.258; -0.6753; 0.0141; 30.0996
5.718; -1.8751; 0.0178; 23.9067
7.998; -1.3299; 0.016; 24.1342
10.002; -0.7777; 0.0164; 28.3374
12; -0.9607; 0.0131; 36.4989
13.998; -0.8886; 0.0113; 50.6875
16.44; -0.8129; 0.0113; 73.2938
18.438; -0.1931; 0.0086; 110.208
20.442; 0.3691; 0.0092; 140.04
22.422; 0.9153; 0.0073; 184.972
24.42; 0.6161; 0.0124; 212.003
26.922; -0.1855; 0.011; 236.615
29.142; 0.3616; 0.0178; 244.514
31.122; 0.4822; 0.016; 253.197
33.12; 0.3452; 0.0197; 240.916
35.118; 0.4768; 0.0219; 235.774
37.602; 0.4672; 0.0246; 214.491
39.6; 0.4901; 0.0282; 183.56
41.622; 0.7657; 0.0401; 144.897
43.638; 16.3191; 0.0697; 103.593
45.642; 58.5148; 0.0928; 65.6238
48.102; 117.111; 0.1297; 37.6012
50.1; 161.893; 0.1639; 22.374
52.422; 194.776; 0.1857; 19.5934
54.42; 217.038; 0.1851; 23.302
56.4; 221.872; 0.1917; 31.8365
58.842; 220.956; 0.1835; 47.7773
60.822; 215.55; 0.1762; 66.0387
62.82; 205.507; 0.1633; 94.9282
64.818; 193.053; 0.1555; 125.392
66.822; 182.462; 0.143; 149.191
69.24; 169.533; 0.1327; 161.072
71.22; 150.296; 0.1216; 171.541
73.242; 133.858; 0.1157; 165.247
75.462; 125.418; 0.1086; 153.444
77.442; 117.297; 0.1036; 140.401
79.902; 109.35; 0.0992; 127.808
81.9; 99.7652; 0.0946; 109.109
83.88; 87.171; 0.0913; 88.3511
85.878; 75.598; 0.0885; 67.8804
87.858; 67.9131; 0.0839; 50.9656
90.318; 60.1704; 0.0794; 41.8411
92.322; 50.1703; 0.0751; 36.3237
94.302; 40.2162; 0.0723; 34.9026
96.498; 36.8718; 0.0704; 34.0904
98.502; 34.2961; 0.0694; 32.4796
100.92; 32.5986; 0.0684; 26.6496
102.918; 31.0883; 0.0665; 20.1671
104.922; 30.0572; 0.0663; 15.4973
106.938; 28.1653; 0.0645; 12.0374
108.942; 29.7316; 0.0632; 9.8214
111.42; 29.2645; 0.0611; 8.2544
113.418; 28.3183; 0.0588; 7.4654
115.398; 29.2975; 0.058; 7.4491
117.402; 28.9438; 0.0571; 7.7642
119.658; 27.642; 0.0556; 7.8207
122.16; 26.5038; 0.0556; 7.9792
124.158; 25.8249; 0.0553; 8.1604
126.162; 27.5547; 0.0543; 7.8095
128.16; 26.4095; 0.0534; 7.4865
130.2; 26.3773; 0.053; 7.44
132.66; 26.2557; 0.0534; 8.1627
134.658; 25.5371; 0.0528; 8.5358
136.662; 26.2306; 0.0528; 8.894
138.66; 25.8611; 0.0523; 9.021
140.658; 25.5969; 0.0519; 9.3982
143.442; 25.8307; 0.0506; 9.0939
145.458; 25.9571; 0.0506; 8.6601
147.438; 24.4438; 0.0495; 8.2507
149.442; 24.4414; 0.0492; 8.1523
151.44; 24.3462; 0.05; 7.4257
153.882; 25.5447; 0.0496; 6.8333
155.862; 24.9857; 0.0477; 6.5322
157.86; 24.1506; 0.0479; 6.0196
159.858; 23.9264; 0.0464; 5.6763
161.862; 22.5352; 0.0455; 5.8595
164.64; 22.8766; 0.0455; 5.7287
166.638; 21.8085; 0.0447; 5.8542
168.642; 22.0956; 0.0437; 6.3423
170.64; 21.8954; 0.0446; 6.8592
172.62; 21.3565; 0.0433; 7.1585
175.098; 21.2117; 0.0423; 7.387
177.102; 20.2272; 0.0441; 6.9709
179.1; 19.5752; 0.0445; 6.4999
181.098; 20.1141; 0.0427; 5.6479
183.102; 20.5327; 0.0436; 5.2634
185.538; 19.1362; 0.0436; 5.0236
187.8; 18.6406; 0.0409; 5.5285
189.798; 17.9347; 0.0405; 6.3691
191.802; 17.1133; 0.0406; 7.1441
193.8; 17.304; 0.0392; 7.0252
196.242; 17.043; 0.0393; 6.7615
198.222; 17.5171; 0.0407; 6.5957
200.22; 17.0615; 0.0406; 6.3625
202.2; 16.2875; 0.0397; 6.4007
204.198; 16.2388; 0.0412; 6.9536
206.658; 16.5939; 0.0392; 7.8113
208.638; 15.4945; 0.038; 8.2435
210.822; 15.1308; 0.0376; 8.4415
212.82; 14.2971; 0.039; 8.8479
214.8; 13.9391; 0.0371; 8.6716
217.26; 13.3306; 0.0375; 8.1465
219.24; 13.0046; 0.0365; 7.7579
221.238; 12.3324; 0.0368; 7.7152
223.242; 12.9524; 0.0359; 7.5914
225.24; 12.3703; 0.0347; 6.0644
227.718; 11.9861; 0.0348; 4.8158
