Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyurethane, type PUR B3;;;;Polyurethane thermal insulation board;;;ISO 5660;SURSHIP-FIRE project, VTT Research Report No. VTT-S-11586-09;test date 9.10.2008; Owner SPU Systems Oy, Finland;;1;2009-04-06 13:36:04
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;2;178;14.9;82.2;;14.13;9.3;22.6;1686;1054;0.00884;48;36
VectorData
Time (s);HRR (kW/m2);SPR (m2/s)
170;0.537740308;0.00269947
171;0.505812651;0.000690369
172;0.616091044;-0.001599188
173;0.608174208;-0.001167053
174;0.378342387;0.00243445
175;0.273280009;0.000727845
176;0.040546043;-0.001343391
177;0.215736597;-0.001845409
178;0.264527195;0.001861938
179;0.370291369;0.00133856
180;0.400011458;-0.001528071
181;0.12640977;-0.002993794
182;-0.047342968;0.00122639
183;0.032617133;0.002053538
184;0.272073005;0.000717835
185;0.43739655;-0.002908694
186;0.185465619;-0.001369007
187;0.011859418;0.002324457
188;0.342879;0.00066707
189;0.212460362;-0.002638582
190;0.477137873;-0.001943786
191;0.718650438;0.001630458
192;0.329087709;0.001868289
193;0.223123742;-0.000474681
194;0.169340957;-0.003782566
195;0.367200854;-0.000167312
196;1.17133629;0.002365651
197;1.670975258;0.002797836
198;1.380015864;-0.001894777
199;1.069183788;-0.002827234
200;1.129556478;0.000981773
201;1.148910151;0.003159788
202;1.481809686;-0.000983037
203;1.343500253;-0.002930625
204;1.125004553;-2.66E-05
205;1.077231576;0.002718597
206;0.973305543;-0.000459276
207;1.063573814;-0.002486566
208;1.20990619;-0.000420452
209;1.456630923;0.002469637
210;1.62005726;0.000444539
211;1.838987358;-0.003406239
212;1.65244731;-0.001970053
213;1.92013717;0.000940569
214;2.231940558;0.002689331
215;2.173769857;-0.001889745
216;2.19507406;-0.002169107
217;1.88461561;-0.000162254
218;1.699112711;0.002118178
219;1.994424373;-0.00116993
220;2.12683035;-0.002694345
221;1.915975906;-0.001321721
222;1.762664433;0.002925492
223;1.679933449;0.001604001
224;1.762398072;-0.002378741
225;2.012421591;-0.002424606
226;2.123676682;0.001112366
227;1.811192803;0.00231378
228;1.56500478;-0.000273253
229;1.632630163;-0.002148669
230;1.609407024;-0.00187033
