Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber;;;;IN2-2;Limited surfaces;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 15:55:56
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;22;346.0;61.3;;;29.0;22.3;24.3;;1247;;215.3;0.00884;;2010-08-20;C_LNE_IN2-2_1b;2.2;;;;;;;;;;2.85;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;4.4;29.0;0.0
2;4.2;29.0;0.0
4;4.1;29.0;0.0
6;4.3;28.9;0.0
8;4.7;28.9;0.0
10;5.3;28.9;0.1
12;8.1;28.9;0.2
14;14.7;28.8;0.3
16;24.2;28.7;0.4
18;35.5;28.6;0.5
20;46.7;28.4;0.6
22;56.1;28.2;0.8
24;63.9;28.0;1.0
26;71.0;27.8;2.2
28;83.3;27.6;3.8
30;101.6;27.4;4.3
32;129.1;27.2;6.8
34;163.8;26.9;7.9
36;202.3;26.7;9.0
38;243.7;26.4;10.0
40;284.3;26.0;10.2
42;316.5;25.8;9.9
44;338.3;25.5;10.9
46;346.0;25.2;9.7
48;343.1;25.0;9.8
50;336.0;24.7;9.9
52;325.6;24.4;9.8
54;314.9;24.1;9.7
56;301.8;23.9;9.3
58;289.7;23.6;8.9
60;281.1;23.4;8.7
62;274.7;23.1;8.4
64;270.8;22.8;8.3
66;267.7;22.5;8.1
68;263.3;22.3;7.9
70;261.4;22.1;7.9
72;259.8;21.9;8.0
74;257.0;21.6;8.1
76;253.8;21.4;8.0
78;249.8;21.2;7.8
80;246.1;21.0;7.7
82;242.7;20.8;7.6
84;237.8;20.6;7.4
86;231.9;20.3;7.2
88;225.5;20.1;6.8
90;220.3;19.9;6.7
92;215.1;19.8;6.6
94;209.3;19.6;6.4
96;204.2;19.4;6.3
98;199.7;19.2;6.0
100;197.0;19.0;5.9
102;196.6;18.8;5.6
104;196.4;18.6;5.6
106;198.0;18.3;5.6
108;200.9;18.1;5.7
110;204.0;17.9;5.8
112;208.5;17.7;6.1
114;214.0;17.5;6.2
116;218.5;17.3;6.7
118;223.5;17.1;6.9
120;227.5;16.9;7.0
122;233.0;16.7;7.0
124;238.9;16.5;7.2
126;246.0;16.3;7.2
128;253.0;16.1;7.4
130;261.7;15.9;7.4
132;270.8;15.7;7.9
134;280.3;15.4;8.4
136;288.3;15.2;8.9
138;296.7;15.0;9.4
140;301.7;14.8;9.8
142;305.9;14.6;9.9
144;307.1;14.4;10.0
146;308.1;14.3;9.9
148;305.8;14.1;9.6
150;303.1;13.9;9.5
152;297.9;13.8;9.1
154;290.9;13.6;8.9
156;282.3;13.5;8.7
158;273.6;13.3;8.3
160;262.7;13.1;7.9
162;252.1;12.9;7.5
164;240.3;12.8;6.9
166;228.7;12.6;6.4
168;218.5;12.5;5.8
170;208.4;12.4;5.2
172;198.8;12.2;4.8
174;190.7;12.1;4.4
176;184.3;12.1;4.1
178;178.6;12.0;3.8
180;173.6;11.9;3.5
182;169.5;11.8;3.4
184;165.8;11.7;3.2
186;161.8;11.7;3.0
188;157.7;11.6;2.8
190;152.9;11.5;2.6
192;147.8;11.5;2.4
194;142.1;11.4;2.2
196;136.0;11.3;2.0
198;129.3;11.3;1.8
200;123.0;11.2;1.6
202;116.1;11.2;1.4
204;109.8;11.2;1.2
206;103.2;11.1;1.0
208;97.6;11.1;0.9
210;92.5;11.0;0.7
212;88.3;11.0;0.5
214;85.0;10.9;0.4
216;81.9;10.9;0.4
218;79.4;10.8;0.3
220;77.9;10.8;0.3
222;76.4;10.8;0.2
224;74.8;10.7;0.2
226;73.5;10.7;0.2
228;71.9;10.6;0.2
230;70.3;10.6;0.1
232;68.8;10.6;0.1
234;67.5;10.5;0.1
236;66.5;10.5;0.1
238;65.4;10.5;0.1
240;64.4;10.4;0.0
242;63.7;10.4;0.0
244;62.9;10.4;0.0
246;62.1;10.3;0.0
248;61.0;10.2;0.0
250;60.2;10.2;0.0
252;59.8;10.2;0.0
254;59.4;10.1;0.0
256;58.9;10.1;0.0
258;58.6;10.1;0.0
260;58.3;10.1;0.0
262;58.4;10.0;0.0
264;58.5;10.0;0.0
266;58.4;9.9;0.0
268;58.4;9.9;0.0
270;58.5;9.8;0.0
272;58.4;9.7;0.0
274;58.4;9.7;0.0
276;58.0;9.6;0.0
278;57.6;9.6;0.0
280;57.1;9.6;0.0
282;56.5;9.6;0.0
284;55.9;9.5;0.0
286;55.5;9.5;0.0
288;55.3;9.5;0.0
290;55.2;9.5;0.0
292;55.1;9.4;0.0
294;55.1;9.4;0.0
296;54.9;9.4;0.0
298;54.6;9.3;0.0
300;54.1;9.3;0.0
302;53.6;9.3;0.0
304;53.3;9.3;0.0
306;53.2;9.2;0.0
308;53.3;9.2;0.0
310;53.6;9.2;0.0
312;54.0;9.2;0.0
314;54.3;9.1;0.0
316;54.3;9.1;0.0
318;54.2;9.1;0.0
320;53.4;9.1;0.0
322;52.7;9.0;0.0
324;51.7;9.0;0.0
326;50.7;9.0;0.0
328;49.9;8.9;0.0
330;49.3;8.9;0.0
332;49.0;8.9;0.0
334;49.0;8.9;0.0
336;49.0;8.9;0.0
338;49.1;8.8;0.0
340;49.5;8.8;0.0
342;49.6;8.8;0.0
344;49.8;8.8;0.0
346;50.1;8.7;0.0
348;50.5;8.7;0.0
350;50.5;8.7;0.0
352;50.5;8.6;0.0
354;50.1;8.6;0.0
356;49.7;8.6;0.0
358;49.2;8.5;0.0
360;48.2;8.4;0.0
362;47.0;8.4;0.0
364;46.1;8.4;0.0
366;45.3;8.4;0.1
368;44.6;8.3;0.1
370;44.3;8.3;0.0
372;43.8;8.3;0.0
374;43.8;8.3;0.0
376;43.8;8.2;0.0
378;43.9;8.2;0.0
380;44.0;8.2;0.0
382;44.0;8.2;0.0
384;43.9;8.1;0.1
386;44.0;8.1;0.1
388;43.8;8.1;0.1
390;43.5;8.0;0.1
392;43.4;8.0;0.1
394;43.1;8.0;0.1
396;42.7;8.0;0.1
398;42.5;7.9;0.1
400;42.1;7.9;0.1
402;41.7;7.9;0.1
404;41.3;7.9;0.0
406;40.9;7.8;0.0
408;40.7;7.8;0.0
410;40.7;7.8;0.0
412;40.5;7.8;0.0
414;40.3;7.8;0.0
416;40.1;7.8;0.0
418;39.8;7.8;0.0
420;39.4;7.8;0.0
422;38.6;7.8;0.0
424;37.7;7.7;0.0
426;36.7;7.7;0.0
428;35.9;7.7;0.0
430;34.9;7.6;0.0
432;34.1;7.6;0.0
434;33.5;7.5;0.0
436;33.0;7.5;0.0
438;32.7;7.5;0.0
440;32.3;7.5;0.0
442;31.6;7.5;0.0
444;31.5;7.5;0.0
446;31.5;7.5;0.0
448;31.4;7.5;0.0
450;31.6;7.5;0.0
452;31.6;7.4;0.0
454;31.7;7.4;0.0
456;32.0;7.4;0.0
458;31.9;7.4;0.0
460;31.6;7.4;0.0
462;31.3;7.4;0.0
464;31.0;7.4;0.0
466;30.8;7.3;0.0
468;30.8;7.3;0.0
470;30.7;7.3;0.0
472;30.5;7.3;0.0
474;30.6;7.3;0.0
476;30.6;7.3;0.0
478;30.5;7.3;0.0
480;30.4;7.2;0.0
482;29.9;7.2;0.0
484;29.7;7.2;0.0
486;29.7;7.1;0.0
488;29.5;7.1;0.0
490;29.5;7.1;0.0
492;29.5;7.1;0.0
494;29.3;7.1;0.0
496;29.4;7.1;0.0
498;29.6;7.1;0.0
500;29.7;7.1;0.0
502;29.9;7.1;0.0
504;30.0;7.0;0.0
506;29.8;7.0;0.0
508;29.9;7.0;0.0
510;29.9;6.9;0.0
512;29.6;6.9;0.0
514;29.5;6.9;0.0
516;29.1;6.9;0.0
518;28.7;6.9;0.0
520;28.4;6.9;0.0
522;28.0;6.9;0.0
524;27.6;6.9;0.0
526;27.4;6.8;0.0
528;26.9;6.8;0.0
530;26.5;6.8;0.0
532;26.2;6.8;0.0
534;25.8;6.8;0.0
536;25.3;6.8;0.0
538;25.0;6.7;0.0
540;24.7;6.7;0.0
542;24.5;6.7;0.0
544;24.4;6.7;0.0
546;24.3;6.7;0.0
548;24.3;6.7;0.0
550;24.3;6.7;0.0
552;24.2;6.7;0.0
554;24.1;6.7;0.0
556;24.0;6.7;0.0
558;23.8;6.7;0.0
560;23.6;6.6;0.0
562;23.5;6.6;0.0
564;23.4;6.6;0.0
566;23.1;6.5;0.0
568;22.9;6.5;0.0
570;22.6;6.5;0.0
572;22.3;6.5;0.0
574;22.2;6.5;0.0
576;22.0;6.5;0.0
578;21.8;6.5;0.0
580;21.6;6.5;0.0
582;21.4;6.5;0.0
584;21.1;6.5;0.0
586;21.0;6.5;0.0
588;20.8;6.5;0.0
590;20.7;6.4;0.0
592;20.8;6.4;0.0
594;21.0;6.4;0.0
596;21.3;6.4;0.0
598;21.6;6.4;0.0
600;21.7;6.4;0.0
602;21.8;6.4;0.0
604;21.9;6.4;0.0
606;21.7;6.4;0.0
608;21.2;6.4;0.0
610;20.7;6.4;0.0
612;20.3;6.4;0.0
614;19.9;6.4;0.0
616;19.4;6.3;0.0
618;18.8;6.3;0.0
620;18.5;6.3;0.0
622;18.4;6.3;0.0
624;18.3;6.3;0.0
626;18.2;6.3;0.0
628;18.2;6.3;0.0
630;18.3;6.3;0.0
632;18.4;6.3;0.0
634;18.3;6.4;0.0
636;18.3;6.4;0.0
638;18.1;6.3;0.0
640;17.6;6.3;0.0
642;17.2;6.3;0.0
644;16.8;6.3;0.0
646;16.3;6.2;0.0
648;16.1;6.2;0.0
650;15.9;6.2;0.0
652;15.7;6.2;0.0
654;15.7;6.2;0.0
656;15.8;6.2;0.0
658;15.8;6.2;0.0
660;15.9;6.2;0.0
662;15.9;6.2;0.0
664;15.8;6.2;0.0
666;15.8;6.2;0.0
668;15.6;6.2;0.0
670;15.5;6.2;0.0
672;15.3;6.2;0.0
674;15.0;6.1;0.0
676;14.6;6.1;0.0
678;14.3;6.1;0.0
680;14.0;6.1;0.0
682;13.8;6.1;0.0
684;13.5;6.1;0.0
686;13.3;6.1;0.0
688;13.1;6.1;0.0
690;13.0;6.1;0.0
692;12.8;6.1;0.0
694;12.8;6.1;0.0
696;12.7;6.1;0.0
698;12.5;6.1;0.0
700;12.3;6.1;0.0
702;12.3;6.1;0.0
704;12.2;6.0;0.0
706;12.1;6.0;0.0
708;12.0;6.0;0.0
710;11.9;6.0;0.0
712;11.7;6.0;0.0
714;11.6;6.0;0.0
716;11.4;6.0;0.0
718;11.3;6.0;0.0
720;11.1;6.0;0.0
722;10.8;6.0;0.0
724;10.5;6.0;0.0
726;10.3;6.0;0.0
728;10.3;6.0;0.0
730;10.5;6.0;0.0
732;10.5;6.0;0.0
734;10.8;6.0;0.0
736;11.2;6.0;0.0
738;11.5;6.0;0.0
740;11.8;6.0;0.0
742;12.2;6.0;0.0
744;12.1;6.0;0.0
746;12.2;6.0;0.0
748;12.1;6.0;0.0
750;11.7;6.0;0.0
752;11.3;6.0;0.0
754;11.0;6.0;0.0
756;10.4;5.9;0.0
758;10.1;5.9;0.0
760;9.9;5.9;0.0
762;9.7;6.0;0.0
764;9.6;6.0;0.0
766;9.5;6.0;0.0
768;9.4;6.0;0.0
770;9.2;6.0;0.0
772;9.1;6.0;0.0
774;8.8;6.0;0.0
776;8.6;6.0;0.0
778;8.5;6.0;0.0
780;8.3;6.0;0.0
782;8.0;6.0;0.0
784;7.9;5.9;0.0
786;7.6;5.9;0.0
788;7.4;5.9;0.0
790;7.0;5.9;0.0
792;6.5;5.9;0.0
794;6.2;5.9;0.0
796;6.1;5.9;0.0
798;6.0;5.9;0.0
800;6.1;5.9;0.0
802;6.0;5.9;0.0
804;6.0;5.9;0.0
806;6.3;5.9;0.0
808;6.4;5.9;0.0
810;6.4;5.9;0.0
812;6.4;5.8;0.0
814;6.3;5.8;0.0
816;6.5;5.8;0.0
818;6.5;5.8;0.0
820;6.3;5.8;0.0
822;6.1;5.8;0.0
824;6.0;5.9;0.0
826;5.9;5.9;0.0
828;5.8;5.9;0.0
830;5.7;5.9;0.0
832;5.6;5.8;0.0
834;5.6;5.8;0.0
836;5.7;5.8;0.0
838;5.7;5.8;0.0
840;5.8;5.8;0.0
842;5.9;5.8;0.0
844;5.9;5.8;0.0
846;5.8;5.8;0.0
848;5.6;5.8;0.0
850;5.4;5.9;0.0
852;5.3;5.9;0.0
854;5.2;5.9;0.0
856;5.0;5.9;0.0
858;4.9;5.9;0.0
860;4.9;5.9;0.0
862;5.0;5.8;0.0
864;5.2;5.8;0.0
866;5.3;5.8;0.0
868;5.5;5.8;0.0
870;5.7;5.8;0.0
872;5.8;5.8;0.0
874;6.0;5.9;0.0
876;6.2;5.9;0.0
878;6.2;5.9;0.0
880;6.0;5.9;0.0
882;5.9;5.9;0.0
884;5.8;5.9;0.0
886;5.6;5.8;0.0
888;5.4;5.8;0.0
890;5.2;5.8;0.0
892;5.1;5.8;0.0
894;5.1;5.8;0.0
896;4.9;5.8;0.0
898;4.7;5.8;0.0
900;4.6;5.8;0.0
902;4.5;5.8;0.0
904;4.3;5.8;0.0
906;4.0;5.8;0.0
908;3.6;5.8;0.0
910;3.4;5.8;0.0
912;3.2;5.9;0.0
914;2.9;5.9;0.0
916;2.8;5.9;0.0
918;2.7;5.9;0.0
920;2.6;5.8;0.0
922;2.5;5.8;0.0
924;2.5;5.8;0.0
926;2.4;5.8;0.0
928;2.5;5.8;0.0
930;2.3;5.8;0.0
932;2.1;5.8;0.0
934;2.2;5.8;0.0
936;2.3;5.9;0.0
938;2.5;5.9;0.0
940;2.7;5.9;0.0
942;2.8;5.9;0.0
944;3.0;5.9;0.0
946;3.3;5.9;0.0
948;3.3;5.9;0.0
950;3.3;5.9;0.0
952;3.3;5.9;0.0
954;3.2;5.9;0.0
956;3.0;5.9;0.0
958;3.1;5.9;0.0
960;3.0;5.9;0.0
962;2.9;5.9;0.0
964;2.7;5.9;0.0
966;2.5;5.9;0.0
968;2.3;5.9;0.0
970;2.1;5.8;0.0
972;1.7;5.8;0.0
974;1.5;5.8;0.0
976;1.4;5.8;0.0
978;1.3;5.8;0.0
980;1.1;5.8;0.0
982;1.2;5.8;0.0
984;1.3;5.8;0.0
986;1.5;5.8;0.0
988;1.7;5.8;0.0
990;1.8;5.8;0.0
992;2.1;5.8;0.0
994;2.4;5.8;0.0
996;2.4;5.8;0.0
998;2.5;5.9;0.0
1000;2.4;5.9;0.0
1002;2.3;5.9;0.0
1004;2.2;5.8;0.0
1006;2.0;5.8;0.0
1008;1.9;5.8;0.0
1010;2.0;5.8;0.0
1012;1.9;5.8;0.0
1014;2.0;5.8;0.0
1016;2.1;5.8;0.0
1018;2.1;5.8;0.0
1020;2.2;5.8;0.0
1022;2.4;5.8;0.0
1024;2.4;5.8;0.0
1026;2.5;5.8;0.0
1028;2.8;5.8;0.0
1030;3.0;5.8;0.0
1032;3.1;5.8;0.0
1034;3.2;5.8;0.0
1036;3.1;5.8;0.0
1038;3.1;5.8;0.0
1040;3.0;5.9;0.0
1042;2.7;5.9;0.0
1044;2.6;5.9;0.0
1046;2.7;5.9;0.0
1048;2.5;5.9;0.0
1050;2.4;5.9;0.0
1052;2.4;5.9;0.0
1054;2.4;5.8;0.0
1056;2.4;5.8;0.0
1058;2.3;5.8;0.0
1060;2.1;5.8;0.0
1062;2.0;5.8;0.0
1064;1.9;5.8;0.0
1066;1.7;5.8;0.0
1068;1.6;5.8;0.0
1070;1.5;5.8;0.0
1072;1.2;5.8;0.0
1074;1.0;5.8;0.0
1076;1.0;5.9;0.0
1078;1.0;5.8;0.0
1080;1.1;5.8;0.0
1082;1.3;5.8;0.0
1084;1.5;5.8;0.0
1086;1.9;5.8;0.0
1088;2.1;5.8;0.0
1090;2.3;5.8;0.0
1092;2.6;5.8;0.0
1094;2.7;5.8;0.0
1096;2.7;5.8;0.0
1098;2.7;5.8;0.0
1100;2.4;5.8;0.0
1102;2.3;5.9;0.0
1104;2.4;5.9;0.0
1106;2.2;5.9;0.0
1108;2.3;5.9;0.0
1110;2.3;5.9;0.0
1112;2.2;5.9;0.0
1114;2.3;5.9;0.0
1116;2.2;5.9;0.0
1118;2.0;5.8;0.0
1120;1.9;5.8;0.0
1122;1.6;5.8;0.0
1124;1.3;5.8;0.0
1126;1.0;5.8;0.0
1128;0.8;5.8;0.0
1130;0.5;5.8;0.0
1132;0.4;5.8;0.0
1134;0.1;5.8;0.0
1136;0.0;5.8;0.0
1138;0.0;5.8;0.0
1140;0.0;5.8;0.0
1142;0.0;5.8;0.0
1144;0.0;5.8;0.0
1146;0.0;5.8;0.0
1148;0.0;5.8;0.0
1150;0.2;5.8;0.0
1152;0.1;5.8;0.0
1154;0.1;5.8;0.0
1156;0.1;5.8;0.0
1158;0.0;5.8;0.0
1160;0.2;5.8;0.0
1162;0.4;5.8;0.0
1164;0.7;5.8;0.0
1166;0.9;5.8;0.0
1168;1.2;5.8;0.0
1170;1.3;5.8;0.0
1172;1.3;5.8;0.0
1174;1.2;5.8;0.0
1176;0.9;5.8;0.0
1178;0.7;5.8;0.0
1180;0.4;5.9;0.0
1182;0.3;5.9;0.0
1184;0.2;5.9;0.0
1186;0.2;5.9;0.0
1188;0.2;5.9;0.0
1190;0.0;5.9;0.0
